"Field","Extraction"
"Title","A Multi-Agent System for Cybersecurity Threat Detection and Correlation Using Large Language Models"
"Authors","Yasser Hmimou; Mohamed Tabaa; Azeddine Khiat; Zineb Hidila"
"Year & Venue","2025; IEEE Access, vol. 13 (published 25 August 2025; DOI 10.1109/ACCESS.2025.3602681)"
"Core Problem Addressed","Traditional rule-based IDS and signature-based tools detect known threats but lack contextual understanding and semantic interpretation, creating ""a critical gap in detecting coordinated or subtle attack patterns that span multiple systems and domains"" (e.g., spear-phishing, APTs, multi-stage attacks); siloed detection cannot correlate indicators across email, logs, and IP communications (Abstract, p. 1; Sec. I, p. 2)"
"Proposed Solution / Agentic AI Role","Modular, workflow-driven multi-agent architecture with four layers: a task dispatcher agent (input validation, task classification, asynchronous routing), three specialized agents — email verification (FAISS vector similarity, RegEx, tldextract, dns.resolver + RAG), log analyzer (ELK stack normalization, Suricata signatures + LLM contextual interpretation, memory module), IP range analyzer (Nmap, NVD/CVE lookup + LLM risk explanation) — and a central contextual recommendation system that normalizes agent outputs, applies RegEx entity matching and temporal correlation, assigns correlation confidence, and synthesizes narrative threat reports; all agents use LLaMA 3.3-70B via the Groq API with chain-of-thought prompting and selective RAG; LLMs act as deterministic, prompt-driven semantic processors ""not as autonomous decision makers"", keeping human analysts in oversight (Sec. III, pp. 4-8; Sec. IV-A/D, pp. 8, 10-11; Sec. VI, p. 15)"
"Methodology","Prototype implementation with controlled experimental evaluation in two stages: (1) independent agent validation on domain datasets — SpamAssassin public corpus (~6,000 labeled emails), ~2,000 synthetic LLM-generated phishing emails (not public), CIC-IDS 2017 logs, and a simulated VM environment with vulnerable services for IP scanning; (2) integrated pipeline testing on 60 anonymized mixed-dataset tasks whose final reports were rated by three human analysts blind to ground truth (clarity, reliability, usefulness, time saved vs. manual inspection); metrics: accuracy, precision, recall, F1, FPR, correlation accuracy, analyst response-time reduction (Sec. IV-C, pp. 9-10; Sec. V-A/B, pp. 11-13)"
"Impact on MTTD & MTTR Metrics","MTTD and MTTR are not measured by name (Not specified as formal metrics); adjacent incident-handling results: analyst triage time ""decreased by 38.5% on average due to clear, contextual explanations""; false positive alerts reduced by 41.3% versus a traditional SIEM baseline (alert-fatigue proxy); analyst confidence averaged 4.6 on a 5-point scale; outputs are said to accelerate ""informed decision-making and incident response"" (Sec. V-B, pp. 12-13; Fig. 10, p. 14; Sec. III-E, p. 8)"
"General Impact on Agentic AI / Multi-Agent Systems","Full pipeline: 93.6% detection accuracy, 87.0% multi-agent correlation accuracy, F1 score 0.94, outperforming 12 compared LLM/multi-agent systems; agent-level classification accuracy 91.8%-94.1%; over 90% of LLM-generated explanations judged technically valid and useful (IP agent highest explanation success at 93.2%; log analyzer lower FPR performance); in most of the 60 tasks two or more agents jointly contributed to the final decision; Groq inference API ""significantly reduces latency and computational overhead compared to local deployments""; constraining LLMs to deterministic workflows is credited with interpretability, reproducibility, and reduced inter-module inconsistency (Sec. V-B, pp. 12-14; Tables 5-7; Fig. 12, p. 15; Sec. III-B, p. 5)"
"Limitations / Future Work","Limitations: reliance on third-party tools/APIs (Nmap, Groq) can ""cause latency issues"" and become single points of failure; LLM explanation generation adds computational cost and potential unpredictability across prompt construction or model updates; legacy datasets (SpamAssassin, CIC-IDS 2017) limit evaluation against emerging threats. Future work: multimodal inputs (attachments, links, visual payloads), real-time continuous log-stream analysis, federated deployment for distributed/privacy-constrained infrastructure, lighter LLM variants for edge/low-bandwidth deployment, asynchronous execution and resilience strategies (Sec. VI, p. 15)"
"Relevance to My Thesis","This paper is a strong architectural analogue for an Agentic AI copilot in incident response: specialized LLM-enhanced agents plus a central correlation layer mirror the detect-correlate-explain loop that drives MTTD/MTTR. Its quantified 38.5% analyst triage-time reduction and 41.3% false-positive reduction versus a SIEM baseline are directly reusable evidence that agentic correlation reduces alert fatigue and resolution effort, even though MTTD/MTTR are not measured explicitly. The deliberate design choice of workflow-constrained (non-autonomous) LLMs with chain-of-thought, RAG, and full prompt/output audit trails offers a concrete human-in-the-loop pattern for a copilot the thesis can adopt. Its two-stage evaluation protocol (per-agent validation plus blind analyst rating of 60 end-to-end tasks) is a transferable methodology for measuring copilot impact on incident metrics."
"Relevance Score","Medium — adjacent security-operations domain with an LLM multi-agent system that quantifies triage-time (38.5%) and false-positive (41.3%) reductions, but does not directly measure MTTD or MTTR."
"Paper ID","P28"
