"Field","Extraction"
"Title","An LLM-Based Agentic Network Traffic Incident-Report Approach Towards Explainable-AI Network Defense"
"Authors","Chia-Hong Chou; Arjun Sudheer; Younghee Park"
"Year & Venue","2026; Journal of Sensor and Actuator Networks (J. Sens. Actuator Netw., MDPI), vol. 15, article 32"
"Core Problem Addressed","Traditional ML/DL-based Intrusion Detection Systems (IDSs) for IoT networks achieve high classification accuracy but operate as black boxes, lacking interpretability and actionable incident-response capabilities, which undermines analyst trust and slows incident response; existing LLM-based security tools (ChatIDS, HuntGPT) explain alerts but do not produce evidence-grounded incident reports nor undergo rigorous faithfulness/groundedness evaluation (Sec. 1, pp. 1-2)."
"Proposed Solution / Agentic AI Role","Graph-based multi-agent framework with three sequential phases sharing a centralized pipeline state: (1) lightweight binary Random Forest pre-detection (top-10 MDI features, 6 MB, 99.49% accuracy) with early exit for benign traffic; (2) ensemble multi-class classification (MLP, Random Forest, XGBoost) aggregated by soft voting plus SHAP feature attribution for explainability; (3) a ReAct-based summary agent (LangGraph, Llama-3.1-8b-instant via Groq API, temperature 0.0, max 300 tokens) performing RAG with three tools — Tavily Web Search, ArXiv Search, and a Chroma DB internal knowledge base (all-MiniLM-L6-v2 embeddings) — to generate structured, evidence-grounded incident reports with mitigation recommendations; the authors advise treating reports as analyst-assistive drafts with human-in-the-loop review before dissemination (Sec. 3.1, pp. 6-8; Sec. 3.6, pp. 10-11; Sec. 4.5, pp. 28-29)."
"Methodology","Empirical prototype evaluation (controlled experiment) on the ACI IoT Network Dataset 2023: 1,170,570 network-flow records, 11 classes, 71 numerical features; 80/20 stratified train-test split with leakage-controlled preprocessing, 10-fold stratified cross-validation, and Optuna hyperparameter tuning; RAG output quality assessed via LLM-as-Judge (RAGAs framework, Llama-3.1-8b-instant judge) with custom faithfulness and groundedness metrics on 176 test samples (from 200 evaluation attempts, 24 errors excluded) (Sec. 3.2-3.3, p. 8; Sec. 3.7, pp. 11-14; Sec. 4.3, p. 23)."
"Impact on MTTD & MTTR Metrics","Not specified — MTTD, MTTR, alert fatigue, and resolution-time metrics are not reported; as efficiency proxies, end-to-end inference from traffic ingestion to final report takes 2.9-11.6 s per malicious sample, pre-detection alone rendered 0.3 s latency, and the summary agent is framed as ""reducing cognitive load and moving a step towards explainable and actionable network defense"" (Sec. 4.4, p. 28; Sec. 4.5, p. 28; Sec. 3.6.3, p. 11)."
"General Impact on Agentic AI / Multi-Agent Systems","Ensemble soft voting mitigates individual model weaknesses, improving the UDP Flood F1 score from 48% (MLP alone, 0.4828) to 95% (ensemble, 0.9515); the ensemble reached 99.7971% accuracy and 99.2284% macro F1; the RAG summary agent scored perfect groundedness (1.0000) and moderate faithfulness (0.6391, std 0.14) across 176 samples; agent overhead: average 5247 tokens per malicious sample (4689 prompt + 557 completion), ~560 tokens/s throughput, LLM cost $0.05/1M input and $0.08/1M output tokens, with the 2.9-11.6 s latency driven primarily by external tool calls (Sec. 4.2, pp. 16-22; Sec. 4.3, p. 23; Sec. 4.4, p. 28; Sec. 3.6, p. 10; Sec. 4.6, p. 29)."
"Limitations / Future Work","End-to-end latency of 2.9-11.6 s may not meet sub-second production IDS requirements (future: response caching, model distillation, asynchronous tool calls); SHAP and RAG contributions not formally ablated; SHAP unsupported for the MLP model (future: Integrated Gradients) and MLP remains weak on UDP Flood (F1: 0.4828); evaluation limited to the 11 known attack classes of a single dataset — zero-day/out-of-distribution detection not assessed (future: leave-one-class-out design); reliance on external cloud APIs (Groq, Tavily) introduces privacy risks and network dependency (future: quantized, fine-tuned local LLMs on edge devices) (Sec. 4.6, pp. 29-30)."
"Relevance to My Thesis","This paper instantiates the Agentic AI copilot pattern central to my thesis: a ReAct-based LLM agent that converts detections into evidence-grounded incident reports explicitly positioned as analyst-assistive drafts with human-in-the-loop review, supporting the copilot (not fully autonomous) framing. Its faithfulness/groundedness LLM-as-Judge evaluation provides a reusable blueprint for assessing the quality of copilot-generated incident reports, a dimension complementary to MTTD/MTTR. The reported pipeline latency (2.9-11.6 s) and token/cost figures offer concrete proxies for the detection-to-report interval in incident response. However, the absence of incident-management metrics (MTTD, MTTR, resolution time) marks precisely the measurement gap my research addresses."
"Relevance Score","Medium — an agentic LLM incident-report copilot with rigorous RAG evaluation directly adjacent to the thesis topic, but it does not measure MTTD/MTTR or other incident-management time metrics."
"Paper ID","P87"
