"Field","Extraction"
"Title","The Rise of Agentic AI: A Review of Definitions, Frameworks, Architectures, Applications, Evaluation Metrics, and Challenges"
"Authors","Ajay Bandi; Bhavani Kongari; Roshini Naguru; Sahitya Pasnoor; Sri Vidya Vilipala"
"Year & Venue","2025; Future Internet (MDPI journal), vol. 17, article 404"
"Core Problem Addressed","Existing surveys on agentic AI cover only selected dimensions, leaving ""standardized benchmarks, performance evaluation, and input-output modeling less developed""; the paper targets the lack of a structured, unified foundation for defining, architecting, evaluating, and deploying agentic AI systems (Sec. 1.1, p. 3; Sec. 2, p. 6). It is a general agentic AI review, not specific to IT operations or incident response."
"Proposed Solution / Agentic AI Role","A comprehensive review answering 7 RQs: taxonomy distinguishing agentic AI from GenAI, MAS, and autonomic computing (Sec. 3.1, pp. 7-10); comparison of LLM-based frameworks (LangChain, AutoGPT, BabyAGI, AutoGen, OpenAgents, CAMEL, MetaGPT, SuperAGI, TB-CSPN) on planning, memory, reflection, goal pursuit, tool use (Table 3, Sec. 3.2, pp. 10-12); core components (perception, memory STM/LTM/episodic, planning, execution, reflection, orchestration) (Sec. 3.3.1, pp. 13-14); five architectural models: ReAct single-agent, supervisor/hierarchical, hybrid reactive-deliberative, BDI, layered neuro-symbolic, with centralized vs. decentralized orchestration and human-in-the-loop approval gates/guardrails (Sec. 3.3.2-3.3.4, pp. 14-21)."
"Methodology","Literature review (survey): searched Library Search, ACM Digital Library, ScienceDirect, Google Scholar, and Semantic Scholar with a defined query; 143 primary studies (published 2005-present; more than 90% from 2024-2025; 17% conference, 46% journals, 28% preprints) plus 21 survey/review articles rated L/M/H/NA across six dimensions (Sec. 2, pp. 5-6; Tables A1-A3). No formal Kitchenham SLR protocol (e.g., explicit inclusion/exclusion criteria table or quality assessment) is reported."
"Impact on MTTD & MTTR Metrics","Not applicable (review paper; MTTD/MTTR are never measured or named). Related qualitative content: agentic AI for ""real-time incident detection, prediction, and resolution"" in autonomous IT operations and SOC automation (Table 5, Sec. 3.4, p. 23); alert-based inputs trigger autonomous ""Tier 1 and Tier 2 Incident response actions"" (Sec. 3.5.11, p. 32); runtime/heartbeat monitoring, fault injection, and automated recovery as testing methods (Sec. 3.6.1, p. 35). Only adjacent number: Task Completion Time for LangGraph, Autogen, GoEX ""averaged 12 ± 2 min TCT, which is a 34.2% improvement against traditional AI"" (Sec. 3.6.2, p. 37)."
"General Impact on Agentic AI / Multi-Agent Systems","Architecture trade-offs: ReAct offers fast iteration but ""little parallelism, weak long-horizon coordination""; supervisor/hierarchical scales but risks supervisor bottleneck/single point of failure; hybrid needs arbitration design; reflection reduces hallucination ""while adding computational overhead"" (Sec. 3.3.2, pp. 14-17; Table 4, p. 21). Reported figures: LangGraph and CrewAI ""show around 94% accuracy in complex task execution""; Claude 3.5/LLaMa-3.2 96% accuracy with plan caching; ~94% rule fidelity for neuro-symbolic agents; ECG AI 96-97% accuracy (Sec. 3.6.2, pp. 36-38). Failure modes: coordination breakdowns, communication latency, correlated failures/collusion, cascading faults; ""Metrics for error recovery remain underdeveloped"" (Sec. 3.6.2, p. 38; Sec. 3.7, p. 39)."
"Limitations / Future Work","Challenges identified: architectural/technical limits in dynamic task decomposition and long-term planning; ethical/governance issues (""almost 78% of organizations reported problems with data safety""); performance and tool-integration delays with no standard interfaces; multi-agent coordination and synchronization failures; human-AI interaction transparency gaps; security risks (adversarial attacks, data poisoning) (Sec. 3.7, pp. 38-40). Future directions: modular, transparent, scalable architectures; secure-by-design, continuous audits, guardrails; automatic error recovery via RL, dynamic replanning, fault-tolerant architectures (Sec. 3.6.2, p. 38; Sec. 4, pp. 40-41). Limitations of the review itself: Not specified."
"Relevance to My Thesis","This review supplies the conceptual backbone for the thesis: precise definitions separating AI agents, agentic AI, MAS, GenAI, and autonomic computing, plus five architectural models (ReAct, supervisor/hierarchical, hybrid, BDI, neuro-symbolic) that can frame the design of an incident-response copilot. Its component stack (planning, memory, reflection, orchestration, human-in-the-loop approval gates) and centralized vs. decentralized orchestration trade-offs map directly onto choices for an AIOps copilot architecture. The catalog of testing methods (runtime monitoring, fault injection, automated recovery) and metric classification supports building an evaluation plan, although the paper never measures MTTD/MTTR, so it serves as background/taxonomy rather than empirical evidence. Its application tables also cite agentic SOC automation and autonomous IT incident detection/resolution studies useful for snowballing."
"Relevance Score","Medium - a broad, high-quality taxonomy/architecture reference that touches autonomous IT operations, incident response, and evaluation metrics, but provides no MTTD/MTTR measurement or incident-management experiment."
"Paper ID","P15"
