"Campo","Extração"
"Título","Anomaly Detection and Root Cause Analysis in Cloud-Native Environments Using Large Language Models and Bayesian Networks"
"Autores","Diego Frazatto Pedroso; Luís Almeida; Lucas Eduardo Gulka Pulcinelli; William Akihiro Alves Aisawa; Inês Dutra; Sarita Mazzini Bruschi"
"Ano e Veículo","2025; IEEE Access, vol. 13, pp. 77550-77564; DOI 10.1109/ACCESS.2025.3565220"
"Problema Central Abordado","Sistemas cloud-native orientados a microservices geram volumes exponencialmente crescentes de logs não estruturados de múltiplas camadas, tornando a análise manual de root cause trabalhosa e sujeita a downtime prolongado, enquanto deploys constantes tornam thresholds estáticos de alerta ineficazes; as ferramentas existentes também produzem relatórios de root cause complexos e extensos que usuários sem contexto profundo do ecossistema não conseguem interpretar (Sec. I, pp. 77550-77551)"
"Solução Proposta / Papel da Agentic AI","Framework MAIA: Llama-3 8b com fine-tuning em logs não estruturados de execução normal prediz a próxima mensagem de log a partir de uma sequência de 10 logs anteriores; uma anomalia é sinalizada quando a similaridade de cosseno (modelo de sentence similarity MPNet) entre os blocos de logs registrados e gerados cai abaixo do threshold de 0.8; anomalias detectadas são enfileiradas via Amazon SQS para o Baynet, uma Bayesian network dinâmica (pgmpy) que analisa traces do Grafana Tempo/Istio, pontua a saúde dos serviços (duração, taxa 2xx, P99, códigos 5xx, TTL de deploy recente) e infere probabilidades de outage por microservice exibidas em um NodeGraph do Grafana; um ChatBot alimentado pelo mesmo LLM permite ao usuário fazer perguntas sobre o incidente detectado — um pipeline de LLM único, não uma orquestração multiagente (Abstract; Sec. IV-V, pp. 77554-77560)"
"Metodologia","Deployment de protótipo com experimentos controlados de chaos engineering: aplicação de e-commerce sock-shop do Istio (12 microservices; Java/JavaScript/Go; MySQL, MongoDB, RabbitMQ) em AWS EKS com Istio; load tests de ~1 hora com Locust geraram logs de treinamento de execução normal coletados via Grafana Loki para o S3; o Chaos Mesh injetou 13 cenários de falha (pod kill, partição de rede, IO, memória, bandwidth, falhas HTTP) em testes de 30 minutos (10 min de baseline, 10 min de falhas com média de ~10 min, 10 min de recuperação), automatizados via CircleCI; ~10% do dataset de logs foi classificado manualmente como ground truth; avaliação via heatmap de accuracy, precision, recall e F1 por cenário (Sec. III-V, pp. 77554-77558; Sec. VI, p. 77561)"
"Impacto nas Métricas de MTTD e MTTR","Not specified — MTTD/MTTR não são medidos; a motivação afirma que ML pode ajudar a ""decrease the incident time, including: find root cause, mitigation and system repair time"" (Sec. I, p. 77551); resultados de detecção: precision ~1.00 em quase todos os testes, recall variável — Cache Disconnected Failure 1.00 em todas as métricas, Mongo IO Failure o pior (recall 0.71, accuracy 0.78, F1 0.83), Queue Network Disconnect recall 0.83 com 64 falsos negativos, a maioria dos demais cenários acima de 0.95; os autores observam que os falsos positivos ""remain within acceptable limits"" e que o refinamento não supervisionado é necessário para ""mitigate alert fatigue"" (Abstract; Sec. II, p. 77554; Sec. VI, pp. 77561-77562)"
"Impacto Geral em Agentic AI / Sistemas Multiagente","Not applicable — nenhuma arquitetura agêntica ou multiagente é avaliada; a contribuição reivindica novidade ao combinar insights de LLM e Bayesian networks com uma interface de chat interativa para engajamento do usuário, e o related work aponta limitações de LLMs em custo computacional, interpretabilidade e viés; a RCA bayesiana ranqueou corretamente o serviço injetado como root cause (front-end com 90.0% de probabilidade de outage; shipping com 78% e o dependente orders com 12.16%, evidenciando efeitos em cascata de dependências) (Sec. II-A, p. 77552; Sec. VI-B, pp. 77562-77563)"
"Limitações / Trabalhos Futuros","Falsos positivos persistem e falsos negativos são o problema principal (recall baixo em Mongo IO 0.71 e Queue Disconnect 0.83); o score perfeito em Cache Disconnected pode indicar overfitting e requer validação; o LLM negligencia valores numéricos significativos dos logs (IPs, tempos de resposta, status codes), para os quais redes LSTM são sugeridas; trabalhos futuros: mapear todas as relações entre tipos de erro e microservices, conduzir experimentos sistemáticos aplicando cada tipo de erro a todos os microservices, aprimorar o treinamento do modelo com cenários de erro mais amplos, iterar a avaliação e, opcionalmente, trocar a cabeça de language modeling por uma cabeça de classificação (Sec. VI, pp. 77561-77562; Sec. VII, pp. 77563)"
"Relevância para Minha Dissertação","Este artigo é uma referência forte de AIOps para as etapas de detecção e diagnóstico que precedem a redução de MTTD/MTTR: demonstra um LLM com fine-tuning em logs normais como detector de anomalias não supervisionado mais uma Bayesian network dinâmica para localização probabilística de root cause em um ambiente de microservices em Kubernetes. Seu ChatBot para consultar incidentes detectados antecipa a interação humana no estilo copilot central à minha pesquisa, embora sem orquestração de agentes ou autonomia. O protocolo experimental — sock-shop em EKS, geração de carga com Locust, injeção de falhas com Chaos Mesh em janelas de baseline/falha/recuperação e ground truth rotulado manualmente — é diretamente reutilizável no desenho de avaliação da minha dissertação. Sua menção explícita a alert fatigue e o reporte de precision/recall por cenário oferecem métricas de baseline que minha abordagem agêntica pode estender até a medição efetiva de MTTD/MTTR."
"Pontuação de Relevância","Medium — trabalho adjacente de AIOps/observabilidade: detecção de anomalias em logs baseada em LLM com RCA bayesiana e interface de chat, mas mede qualidade de detecção (precision/recall/F1) em vez de MTTD/MTTR e não emprega arquitetura agêntica ou multiagente."
"ID do Artigo","P53"
