"Campo","Extração"
"Título","A Practical Approach to Defining a Framework for Developing an Agentic AIOps System"
"Autores","Răzvan Daniel Zota; Corneliu Bărbulescu; Radu Constantinescu"
"Ano e Veículo","2025; Electronics (periódico MDPI), vol. 14, artigo 1775"
"Problema Central Abordado","Sistemas AIOps convencionais limitam-se a observabilidade e regras predefinidas com respostas reativas, sem a autonomia necessária para detectar e resolver incidentes proativamente sem intervenção humana; tarefas críticas como resolução de incidentes e gestão de problemas ainda exigem intervenção humana significativa, e não existe definição canônica de Agentic AIOps (Sec. 1, pp. 1-3)."
"Solução Proposta / Papel da Agentic AI","Framework de desenvolvimento tridimensional para um sistema Agentic AIOps: (1) dimensão de modelo de processos alinhada ao ITIL via UPF-IT/PRM-IT da IBM (Event Management, Service Execution, Request Fulfillment, Incident Management, Problem Management); (2) dimensão de elementos de serviço (aplicações, plataforma/middleware, infraestrutura); (3) dimensão de capacidades seguindo o paradigma Understand-Decide-Take Action; um componente Orchestrator controla o fluxo entre componentes: AI discriminativa para classificação de incidentes, RAG para diagnóstico, componentes de automação (p.ex., pipeline Jenkins, playbook Ansible) para resolução e um componente AI-LLM para comunicação de encerramento; a autonomia é implantada progressivamente ao longo de dez níveis, com supervisão humana em pontos críticos de decisão (Sec. 4.1-4.3, pp. 11-16; Sec. 3.1, p. 9)."
"Metodologia","Proposta de framework conceitual (artigo de visão) fundamentada em: revisão sistemática da literatura de artigos acadêmicos, relatórios de indústria e white papers dos últimos cinco anos (140+ artigos filtrados para 42 estudos de alto impacto); experiência própria dos autores na indústria de TI (UPF-IT da IBM, Watson AIOps, Splunk); e grupos focais mais entrevistas semiestruturadas com profissionais de TI, pesquisadores de AI e praticantes de AIOps; sem protótipo, implantação ou avaliação experimental (Sec. 2.1-2.4, pp. 4-5)."
"Impacto nas Métricas de MTTD e MTTR","Não especificado quantitativamente — sem baselines nem valores medidos; apenas alegações qualitativas: os autores afirmam que tal sistema ""can significantly reduce incident response time"" e habilita ambientes de TI self-healing, e a Tabela 2 lista ""Reduce Mean Time to Resolution (MTTR)"" como objetivo final de AIOps (Abstract, p. 1; Tabela 2, p. 7)."
"Impacto Geral em Agentic AI / Sistemas Multiagente","Sem resultados empíricos de eficácia; o framework contribui com princípios de projeto para autonomia confiável: autonomia progressiva ao longo de dez níveis definidos conforme tolerância a risco, padronização de processos via ITIL/UPF-IT, projeto ciente de camadas de serviço, laços de feedback de aprendizado contínuo e supervisão humana para ações de alto risco; um orchestrator gerencia o fluxo de controle ponta a ponta entre componentes especializados de AI/automação; o artigo também propõe uma definição de Agentic AIOps como agentes operando em diferentes níveis de autonomia (Sec. 4.3, pp. 14-16; Sec. 4, p. 11; Sec. 3.1, p. 9)."
"Limitações / Trabalhos Futuros","Os autores reconhecem que ""currently we do not have experimental results that materialize the presented view"" (visão do futuro de Agentic AIOps) e que questões de segurança estão fora do escopo; trabalhos futuros: definir capacidades do sistema por processo ITIL de Operações, especificar componentes por tecnologia (infraestrutura, middleware, aplicação) e propor uma arquitetura conceitual; considerações éticas e de governança (accountability, transparência, supervisão, monitoramento por KPIs) são apontadas como necessárias (Sec. 5, pp. 16-17)."
"Relevância para Minha Dissertação","Este artigo fornece uma base conceitual estruturada para posicionar um copiloto de Agentic AI na resposta a incidentes: seu paradigma Understand-Decide-Take Action e o mapeamento de incident management (classificação, diagnóstico via RAG, resolução automatizada, encerramento via LLM) espelham o pipeline que um copiloto apoiaria para reduzir MTTD e MTTR. A escala de dez níveis de autonomia e o princípio de autonomia progressiva oferecem vocabulário para caracterizar o copiloto (human-in-the-loop) versus operação totalmente autônoma. Seu alinhamento com ITIL/UPF-IT ancora a dissertação nas práticas de gestão de serviços. Contudo, não oferece evidência empírica de MTTD/MTTR, servindo como referência de enquadramento e arquitetura, e não como fonte de benchmarks quantitativos."
"Pontuação de Relevância","Medium — propõe diretamente um framework de Agentic AIOps para detecção, diagnóstico e resolução autônomos de incidentes, mas é puramente conceitual e não reporta medições de MTTD/MTTR."
"ID do Artigo","P43"
