"Field","Extraction"
"Title","Advancing Cyber Incident Timeline Analysis Through Retrieval-Augmented Generation and Large Language Models"
"Authors","Fatma Yasmine Loumachi; Mohamed Chahine Ghanem; Mohamed Amine Ferrag"
"Year & Venue","2025; Computers (MDPI journal), vol. 14, article 67"
"Core Problem Addressed","Cyber/forensic timeline analysis in DFIR investigations is time-consuming due to the volume and heterogeneity of artefacts and the reliance on multiple specialised standalone tools; existing solutions present final timelines without sufficient semantic context (only timestamps are correlated) and make it difficult to spot and extract evidence supporting root-cause claims (Sec. 1 and Research Question, pp. 2-3)."
"Proposed Solution / Agentic AI Role","GenDFIR, an LLM-powered framework integrating Llama 3.1 8B in zero-shot with a DFIR context-specific RAG agent (Autonomous Context-Augmented Agent); stage 1 preprocesses incident events (CSV artefacts) into a structured textual knowledge base with event-level chunking; stage 2 embeds events and the DFIR expert's query with mxbai-embed-large, retrieves top-k relevant events via cosine similarity, applies agent-role contextual filtering and attention-based enrichment, and a decoder-based LLM generates a human-readable timeline analysis report; human-in-the-loop design: the DFIR expert's query drives evidence identification and human verification at key stages is stated as essential (Sec. 3, pp. 9-18; Sec. 4.1, pp. 20-21; Sec. 5.2, p. 30)."
"Methodology","Prototype implementation with controlled experiment on 6 synthetic cyber incident scenarios (SYN Flood, 30 events; Rhino Hunt, 8; Phishing Email-1, 15; Phishing Email-2, 20; DNS Spoof, 23; Unauthorised Access, 25), all run locally (Python/PyTorch, NVIDIA GeForce RTX 4060 8 GB VRAM, CUDA 12.6; temperature = 0.1, max tokens = 2000, n = 1); outputs evaluated with DFIR-tailored metrics (accuracy, relevance, exact match, top-k evidence retrieval) cross-referenced against the ground-truth knowledge base, supported by human evaluation; 20 relevance prompts per scenario (240 prompts in total on the project repository) (Sec. 4.2-4.3, pp. 21-22; Sec. 5.2, pp. 23-29)."
"Impact on MTTD & MTTR Metrics","Not specified — MTTD/MTTR are not measured; only a qualitative claim that GenDFIR leverages the LLM's contextual understanding to ""accelerate and improve incident analysis, minimising reliance on manual intervention"" (Sec. 3.4, p. 17); motivation cites investigators spending an average of 45 h per case on digital evidence examination (Sec. 1, p. 2); framework performance instead reported as Accuracy 95.52%, Relevance 94.51%, EM 100%, Top-K 100%, Overall 97.51% (Table 8, p. 32)."
"General Impact on Agentic AI / Multi-Agent Systems","A single autonomous LLM-powered RAG agent (not multi-agent) achieved 97.51% overall performance across the tailored metrics; observed failure modes include a fabricated timestamp (04:30 p.m.) in the Phishing Email-1 report and failed/partial answers on some relevance prompts (e.g., SYN Flood Prompt 4; Rhino Hunt Prompt 13 at 50%); tool comparison shows GenDFIR as the only one producing a full contextual timeline report vs. Splunk, FTK/Autopsy, Velociraptor and Timesketch; authors state LLMs ""should not be regarded as fully autonomous systems"" and plan specialised autonomous LLM agents per task (Sec. 5.2, pp. 24-25; Tables 8-9, p. 32; Sec. 6.2, p. 35; Sec. 6.3, p. 36)."
"Limitations / Future Work","Limitations: novelty of applying LLMs to timeline analysis (few guidelines/benchmarks); synthetic, simplified scenarios excluding anti-forensics techniques; data volume/heterogeneity and scalability challenges (token limits, hardware); privacy and data-security constraints (GDPR, NIS2); evaluation methods still manual and deemed insufficient by the authors; Future work: integrate real-world incident data, implement specialised autonomous LLM agents for timeline analysis, evidence correlation and root-cause identification, develop novel evaluation metrics, deploy larger models with higher token limits, and extend to IoT security, regulatory compliance and legal proceedings (Sec. 6.1, pp. 33-35; Sec. 6.3, p. 36)."
"Relevance to My Thesis","This paper offers a concrete, reproducible architecture (zero-shot LLM + context-specific RAG agent + knowledge-base retrieval) for automating incident event correlation and timeline reconstruction, a task directly analogous to what an Agentic AI copilot must do during incident response. Its qualitative claim of accelerating analysis and minimising manual intervention aligns with the MTTD/MTTR-reduction goal, although the paper never operationalises those metrics. The DFIR-tailored evaluation protocol (accuracy, relevance, exact match, top-k evidence against a ground-truth knowledge base, with human verification) is a useful template for assessing copilot output reliability in my experiments. The documented failure modes (hallucinated timestamp, partial answers) and the human-in-the-loop stance inform the copilot's autonomy-level design. Its focus is DFIR forensics rather than SRE/AIOps operations, so transfer requires adaptation."
"Relevance Score","Medium — adjacent work: a single-agent RAG/LLM framework that automates incident timeline analysis and qualitatively claims faster investigations, but does not measure MTTD/MTTR."
"Paper ID","P78"
