"Campo","Extração"
"Título","From Vulnerability to Defense: The Role of Large Language Models in Enhancing Cybersecurity"
"Autores","Wafaa Kasri; Yassine Himeur; Hamzah Ali Alkhazaleh; Saed Tarapiah; Shadi Atalla; Wathiq Mansoor; Hussain Al-Ahmad"
"Ano e Veículo","2025; Computation (periódico MDPI), vol. 13, artigo 30; DOI 10.3390/computation13020030"
"Problema Central Abordado","A crescente complexidade das ameaças cibernéticas e a rápida evolução dos ambientes digitais superam os mecanismos tradicionais de cibersegurança, que ""often fall short in detecting, mitigating, and responding to complex risks""; a revisão examina como LLMs podem endereçar essas lacunas em threat detection, phishing, análise de malware e incident response (Abstract, p. 1; Sec. 1, pp. 1-2)"
"Solução Proposta / Papel da Agentic AI","Artigo de revisão — nenhum sistema próprio é proposto; examina LLMs (GPT, BERT, PaLM, T5 etc.) aplicados a identificação de ameaças, detecção de phishing/malware/intrusão, vulnerability management, threat intelligence, incident response, cloud security, compliance e endpoint security, e destila frameworks genéricos baseados em LLM (Algorithms 1-3) para detecção de malware, detecção de intrusão e cloud security; elementos agênticos aparecem nos trabalhos revisados: Audit-LLM multiagente para detecção de insider threats, AutoDefense multiagente contra jailbreaks, um framework de LLM agent para detecção dinâmica de phishing e sistemas de incidentes no estilo AIOps (Xpert, IcM BRAIN, RCACopilot, IncidentResponseGPT); propõe-se a futura integração de LLMs com plataformas SOAR para resposta automatizada a incidentes com analistas humanos no loop (Sec. 3, pp. 10-33; Sec. 3.7, p. 25; Sec. 5.3, p. 39; Sec. 8.2, p. 46)"
"Metodologia","Revisão narrativa/crítica da literatura com taxonomia: estruturada por domínio de aplicação (Fig. 1), com 14 tabelas comparativas de estudos primários (modelos, datasets, contribuições, melhor desempenho, limitações), uma tabela de taxonomia (Table 12), estudos de caso e três frameworks passo a passo baseados em LLM (Algorithms 1-3); nenhum protocolo de SLR (p.ex., PRISMA), estratégia de busca ou contagem de estudos revisados é reportado; sem dataset próprio ou experimentos (Sec. 1, pp. 2-3; Fig. 1, p. 4; Sec. 4, pp. 34-35)"
"Impacto nas Métricas de MTTD e MTTR","Nenhuma medição de MTTD/MTTR é reportada (artigo de revisão); apenas afirmações qualitativas: a análise de logs com LLMs ""not only improves detection accuracy but also reduces response times"" e a documentação de incidentes ""streamlines incident management and minimizes response delays"" (Sec. 2.3.1, p. 6); DrSec reduz alert fatigue, atingindo 75.11% de PR AUC em alert triage (Sec. 3.11, pp. 31-32); um recomendador LLM revisado para support requests visa ""to reduce mean resolution times"" sem números informados (Sec. 3.9, p. 29); resultados revisados em gestão de incidentes: 95.2% de acurácia na classificação de severidade de incidentes de trânsito, 87% de acurácia na categorização de tickets, 92% de eficiência na alocação de recursos (Table 7, p. 25); RCACopilot automatiza root cause analysis com RCA accuracy de 0.766 (Sec. 3.9, p. 28)"
"Impacto Geral em Agentic AI / Sistemas Multiagente","Resultados multiagente revisados: Audit-LLM (framework multiagente com COT reasoning) é ""superior to existing baselines"" na detecção de insider threats, mas sofre de ""faithfulness hallucination in LLM conclusions"" (Sec. 3.10, p. 30; Table 10, p. 30); um framework de defesa multiagente filtra colaborativamente respostas nocivas de LLMs, com eficácia ""dependent on the division and coordination of tasks"" (Sec. 5.3, p. 39; Table 13, p. 38); um framework de LLM agent que busca dinamicamente informações online para detecção de phishing alcançou 94.5% de acurácia, mas depende de external data fetching (Sec. 3.2, p. 13; Table 2, p. 14); a conclusão aponta ""collaborative multi-agent systems"" como direção de pesquisa emergente (Sec. 9, p. 48)"
"Limitações / Trabalhos Futuros","Limitações dos LLMs (não da revisão em si): interpretabilidade (""black boxes""), falta de conhecimento específico de domínio, escalabilidade/custo computacional, adversarial attacks, além de questões éticas de viés, privacidade, mau uso e accountability (Sec. 5.6-5.7, pp. 41-43); desafios de implantação: privacidade/memorização de dados, integração com infraestruturas SIEM/IDS/SOAR, robustez a prompt injection, acurácia contextual (""faithfulness""), escalabilidade em tempo real e catastrophic forgetting em continual learning (Sec. 7, pp. 44-46); direções futuras: detecção de social engineering com LLMs, automação de incident responses via integração com SOAR, disrupção de campanhas de phishing e programas personalizados de educação em segurança (Sec. 8, pp. 46-47)"
"Relevância para Minha Dissertação","Este survey é uma fonte secundária útil que mapeia o panorama de LLMs para segurança, incluindo uma seção dedicada a incident response and management cobrindo sistemas adjacentes a AIOps (Xpert para recomendação de queries KQL, IcM BRAIN, RCACopilot, IncidentResponseGPT) que automatizam triagem, root cause analysis e planejamento de resposta — os mesmos estágios operacionais em que minha dissertação visa reduzir MTTD/MTTR. Sua direção futura explícita de acoplar LLMs a plataformas SOAR com resposta orientada por playbooks espelha o papel de copilot da Agentic AI que proponho. Também agrega evidências sobre frameworks multiagente (Audit-LLM, AutoDefense) e seus modos de falha (faithfulness hallucination, dependência de coordenação), o que informa os riscos da minha arquitetura. Contudo, é centrado em cibersegurança e não reporta quantificação de MTTD/MTTR, servindo como background e hub de citações, e não como evidência empírica para minhas métricas."
"Pontuação de Relevância","Medium — adjacente: survey amplo de LLMs em cibersegurança que cobre automação de incident response, sistemas no estilo AIOps e frameworks multiagente, mas não mede MTTD/MTTR com abordagem agêntica"
"ID do Artigo","P72"
