"Field","Extraction"
"Title","Breaking Alert Fatigue: AI-Assisted SIEM Framework for Effective Incident Response"
"Authors","Tao Ban; Takeshi Takahashi; Samuel Ndichu; Daisuke Inoue"
"Year & Venue","2023; Applied Sciences (Appl. Sci.), MDPI, vol. 13, article 6610"
"Core Problem Addressed","Contemporary SIEM solutions struggle to identify critical security incidents because of the overwhelming number of false alerts generated by disparate security products (IDSs), causing alert fatigue that desensitizes SOC analysts, delays incident responses, and leads to overlooked critical incidents (Abstract, p. 1; Sec. 1, p. 2)"
"Proposed Solution / Agentic AI Role","Next-generation SIEM framework integrating SOAR capabilities with a divide-and-conquer strategy splitting alert fatigue into a filtering problem and a correlation problem; four modules (alert generation, feature processing with CEF-to-JSON unification and one-hot encoding, ML, investigation); filtering via IWSVM (instance-weighted SVM, cost-sensitive learning combining class and instance weights, LIBSVM solver); correlation via an entropy-based event segmenting algorithm grouping alerts by three-tuple [source IP, destination IP, service port] plus timeout (tau=7200 s, beta=0.58); augmented tile graph (ATG) visualization to expedite triage; human-in-the-loop: SOC personnel label alerts and AI experts validate labels via visualization; no LLM or agentic component (Sec. 3, pp. 6-10; Sec. 4, pp. 10-14)"
"Methodology","Empirical experimental evaluation (prototype of key components) on real-world alert logs from a class-B enterprise network with over 1000 users and 30,000 network devices; two datasets: NSOC2017 (six IDSs, 1 Jan-31 Oct 2017; 137.77 M total alerts per Table 2, stated as 133.77 million in the text, 593 escalations; after subsampling 2239 positive and 672,000 negative samples, 0.333% positive ratio) and NSOC2022 (two appliances, 18 Jun 2021-30 Nov 2022, 7.3 million alert log lines); five-fold stratified cross validation (SCV) and rolling origin validation (ROV); metrics: accuracy, recall, precision, FPR, TNR, F1, BCR, ARR, GARR; parameter tuning via 10-fold SCV in MATLAB (Sec. 5, pp. 16-22)"
"Impact on MTTD & MTTR Metrics","MTTD/MTTR not measured; alert-fatigue results: IWSVM achieved best filtering on NSOC2017 with Recall 99.643%, Precision 99.687%, FPR 0.001%, F1 99.665% (Table 3, p. 20); on NSOC2022 under ROV, F1 over 99.3% in all settings (Table 5, p. 21); on the preliminary escalation set, Alert Reduction Rate (ARR) of 45.850%, 45.010%, 49.400%, 50.490%, and 47.470% across settings 1-5 (""close to or greater than a 50% ARR value"") (Table 6, p. 22); combining filtering and correlation, GARR of 74.070% to 83.980% — ""reduced the alert volume by nearly or greater than 75%"" — with events to investigate cut to 1512 down to 206 per interval (Table 7, Sec. 5.5.2, p. 22)"
"General Impact on Agentic AI / Multi-Agent Systems","Not applicable — the framework uses conventional supervised ML (cost-sensitive IWSVM), clustering/segmentation heuristics, and visualization rather than agentic or multi-agent AI; SOAR automation is rule/playbook-based, and the authors note SOAR research is still at an early stage requiring further work on orchestration and incident response automation (Sec. 2.1.3, p. 4; Sec. 3, p. 6)"
"Limitations / Future Work","Scope limited to eliminating redundant/irrelevant alerts; results biased by the specific SOC's escalation set, security policy, and analyst condition (including alert fatigue during labeling); eliminating all false positives risks increased false negatives (recommend recall threshold such as 99%); emerging threats and adversarial attacks can cause false negatives; detection performance degrades as the train-test interval grows, requiring regular model updates; future work: pilot study with industry partners in a real-world SOC, scalability assessment, and evaluation on larger datasets covering more attack types and network environments (Sec. 6, pp. 22-24)"
"Relevance to My Thesis","This paper quantifies the alert-fatigue problem that inflates MTTD/MTTR in SOCs and demonstrates that AI-assisted filtering plus correlation can safely remove roughly 75-84% of alert volume before human triage, a concrete baseline for what pre-LLM, non-agentic AIOps achieves. Its divide-and-conquer decomposition (filtering vs. correlation) and its metrics (ARR, GARR, recall-first thresholds) are directly reusable to evaluate an Agentic AI copilot's triage stage. The human-in-the-loop labeling and SOAR integration points map to where an agentic copilot could replace static playbooks. As a non-agentic contrast case, it helps position the thesis gap: high filtering accuracy is achievable, but investigation and response remain manual, which is precisely where an Agentic AI copilot targets MTTD/MTTR."
"Relevance Score","Medium — directly addresses alert fatigue and SOC triage efficiency with AI (adjacent AIOps theme) but has no agentic/LLM component and does not measure MTTD or MTTR."
"Paper ID","P73"
