"Field","Extraction"
"Title","The Chatbot Usability Scale: the Design and Pilot of a Usability Scale for Interaction with AI-Based Conversational Agents"
"Authors","Simone Borsci; Alessio Malizia; Martin Schmettow; Frank van der Velde; Gunay Tariverdiyeva; Divyaa Balaji; Alan Chamberlain"
"Year & Venue","2021 (published online 21 July 2021; issue year 2022); Personal and Ubiquitous Computing (Springer), vol. 26, pp. 95-119"
"Core Problem Addressed","""Standardised tools to assess a user's satisfaction with the experience of using chatbots and conversational agents are currently unavailable""; existing usability scales (SUS, UMUX, UMUX-LITE) were not developed to consider the conversational aspects that characterise interaction with AI-based CRM chatbots (Abstract; Sec. 1, p. 96)"
"Proposed Solution / Agentic AI Role","No agentic framework is proposed; AI-based conversational agents (CRM chatbots) are the object of evaluation, not the solution. Two instruments are developed: (i) BOT-Check, a diagnostic checklist of 14 attributes for short-term CRM agents plus 3 additional attributes for long-term agents, for designers to control chatbot quality; (ii) BUS-15, a 15-item satisfaction questionnaire (5-point Likert) distributed in five factors: perceived accessibility to chatbot functions, perceived quality of chatbot functions, perceived quality of conversation and information provided, perceived privacy and security, and time response (Sec. 5.2.2, p. 108; Sec. 6, p. 109; Appendices 6 and 8)"
"Methodology","Scale development via four sequential studies: (1) systematic literature review following PRISMA guidelines (final database of 34 literature items; revised list of 27 attributes from Radziwill and Benton's 38); (2) online consensus survey with 29 completing participants of 50 invited experts and end-users (Krippendorff's Alpha = 0.780; 17 attributes retained); (3) expert panel (4 members) plus focus groups with 16 volunteers (8 female, 8 male; Age M = 22.1, SD = 2.84) yielding a 42-item BUS over 14 attributes; (4) psychometric pilot with 96 volunteers (22 female, 74 male; Age M = 23.7, SD = 4.8) each interacting with 5 of 10 real CRM chatbots on information-retrieval tasks — 480 questionnaires collected, 385 fully completed — analysed with 50,000-iteration Bayesian Exploratory Factor Analysis (five factors; Metropolis-Hastings acceptance rate = 0.996; items retained with loading over 0.7), reliability analysis, and Pearson correlation with UMUX-LITE on 372 valid measurements (Sec. 2-5, pp. 98-108; Fig. 1, p. 97)"
"Impact on MTTD & MTTR Metrics","Not applicable — HCI scale-design and pilot study; no MTTD, MTTR, alert fatigue, or incident resolution time metrics are reported anywhere in the paper (results report only psychometric properties, Sec. 5.2, pp. 108-109)"
"General Impact on Agentic AI / Multi-Agent Systems","Not applicable for multi-agent orchestration, autonomy, latency, or cost; for the evaluation of AI-based conversational agents it reports: BUS-15 estimated reliability between .76 and .87 across five factors, overall alpha = .87; BUS-15 satisfaction spanned from a min. of 51.9% to a max. of 80.1% versus 46.8% to 88.1% for UMUX-LITE; the overall BUS-15 strongly correlates with UMUX-LITE per chatbot, while factors F1 (accessibility), F4 (privacy and security) and F5 (time response) capture aspects UMUX-LITE does not (Abstract; Sec. 5.2.2-5.2.3, p. 108; Table 7, p. 106)"
"Limitations / Future Work","BUS-15 ""requires further testing and validation"" and ""currently cannot be used as an off-the-shelf product for user research and usability tests""; participants were mainly young (below 35 years old) and people with disabilities were not included (attribute 'Meets neurodiverse needs' postponed); further validation is needed with a larger number of chatbots and a more diverse range of participants; some chatbots closed or were suspended during the study (COVID-19), reflecting market volatility (Abstract; Sec. 4.1, p. 105; Sec. 6, p. 109)"
"Relevance to My Thesis","The paper contains no incident response, AIOps, or observability content, but it provides a piloted instrument (BUS-15) for measuring user satisfaction with AI-based conversational agents. Since the thesis copilot exposes a conversational (LLM-based) interface to SRE/on-call engineers, BUS-15 and its five factors can serve as the human-factors evaluation instrument for operator satisfaction, complementing the objective MTTD/MTTR measurements. The BOT-Check checklist can additionally guide the design and heuristic inspection of the copilot's conversational UX before user testing. The four-study methodology (attribute review, stakeholder consensus, focus groups, psychometric pilot) is also a methodological reference for building operator-facing evaluation questionnaires."
"Relevance Score","Low — tangential: it does not measure MTTD/MTTR nor address AIOps or agentic approaches, serving only as a candidate HCI instrument to evaluate satisfaction with the copilot's conversational interface."
"Paper ID","P63"
