"Field","Extraction"
"Title","GALR: Graph-Based Root Cause Localization and LLM-Assisted Recovery for Microservice Systems"
"Authors","Wenya Zhang; Zhi Yang; Fang Peng; Le Zhang; Yiting Chen; Ruibo Chen"
"Year & Venue","2026; Electronics (MDPI journal), vol. 15, article 243; received 14 November 2025, published 5 January 2026"
"Core Problem Addressed","Fast and accurate root cause localization and recovery in large-scale, complex microservice systems, where multimodal runtime signals (metrics, logs, traces) intertwined with deep dynamic service dependencies lead to noisy alerts, ambiguous fault propagation paths, and brittle manually curated recovery playbooks; additionally, diagnosis and recovery are often treated as separate stages, logs are reduced to coarse templates, and LLM outputs lack structural grounding and verification (Abstract, p. 1; Sec. 1, p. 2)"
"Proposed Solution / Agentic AI Role","GALR, a graph- and LLM-based framework: (1) multimodal service call graph fusing time-series metrics, structured logs, and trace-derived topology; (2) GAT-based root cause localization with temporal decay edge attention; (3) LLM-based node enhancement that infers a probability triplet [anomaly, normal, uncertainty] from log contexts and injects it into node representations and a semantic attention bias term; (4) a retrieval-augmented LLM recovery agent that retrieves similar historical cases from a 500-case library (BGE-M3 embeddings, cosine similarity) and generates structured recovery plans (action steps, verification metrics, rollback strategies), verified via action-overlap consistency checking against expert-standard playbooks; DeepSeek V3 is the LLM used; human-in-the-loop: unsafe plans ""should be rejected or escalated for manual confirmation"" (Sec. 3, pp. 5-11; Sec. 4.3, p. 13; Sec. 5, p. 16)"
"Methodology","Controlled experiments with fault injection on three microservice datasets: Customer Service (23,183 traces, 67 services, 24 injected faults), Power Grid Resource (19,872 traces, 89 services, 32 faults), and SockShop (8,981 traces, 15 services, 30 faults) deployed on Kubernetes with Chaos-Mesh fault injection, Locust load generation, Prometheus metrics, and Fluent Bit logs; six fault types (network delay, network loss, CPU stress, memory stress, pod failure, pod kill), single-node single-fault setting, 6:4 train/test split; GAT with two GATConv layers, 4-head attention, AdamW (lr 0.001, batch 32, 30 epochs), weighted BCEWithLogitsLoss; baselines: GCN, GraphSAGE, DiagFusion, MicroRank, MicorEGRCL, PDiagnose; metrics: Top-1/3/10 accuracy, MRR, and recovery strategy accuracy; results averaged over two runs (Sec. 4.1-4.3, pp. 11-13; Sec. 5, p. 16)"
"Impact on MTTD & MTTR Metrics","MTTD and MTTR are not directly measured; proxies are reported: root cause localization Top-1 accuracy of 0.842 (Customer Service), 0.883 (Power Grid Resource), 0.931 (SockShop), and average MRR of 0.931 vs. ~0.902 for the strongest baseline (PDiagnose), ""a relative improvement of approximately 3.2%""; Top-1 accuracy is stated to reflect ""single-step troubleshooting efficiency""; recovery strategy accuracy: LLM + RAG (GALR) 79.2% (SockShop), 75.8% (Power Grid Resource), 70.1% (Customer Service) vs. zero-shot 62.5%/55.1%/48.9% and few-shot 68.9%/61.5%/54.3% (Tables 3-4, pp. 14-15)"
"General Impact on Agentic AI / Multi-Agent Systems","The retrieval-augmented LLM agent substantially outperforms pure zero-shot and few-shot LLM reasoning for recovery generation, showing that grounding in retrieved historical cases improves specificity and feasibility; ablations show removing edge attention, using average-weighted aggregation, or random aggregation consistently degrades MRR (e.g., Customer Service MRR 0.923 full vs. 0.835/0.812/0.781); identified failure modes: LLMs ""may still produce incomplete or hallucinated strategies under distribution shifts""; scalability concern that LLM-side annotation/retrieval latency ""may hinder near-real-time incident response""; design separates generation from execution with a restricted action space (restart, rollback, migration, scaling) (Sec. 4.4-4.5, pp. 15-16; Table 5, p. 15; Sec. 5, p. 16)"
"Limitations / Future Work","Limitations: fault injection ""does not fully cover the diversity and long-tail characteristics of production incidents""; window-level labels anchored at injection time may miss delayed or cascading effects; recovery plans evaluated offline via action-overlap without live execution, so accuracy reflects action validity not operational success; results averaged over only two runs with no statistical significance testing; scalability/latency bottlenecks for LLM annotation in large graphs; effectiveness depends on multimodal alignment quality and stable logging practices. Future work: (i) selective/incremental LLM annotation with caching and refresh policies, (ii) stricter safety guardrails with constrained action spaces and parameter-level validation, (iii) controlled online verification and better recovery-effectiveness benchmarks (Sec. 5, p. 16; Sec. 6, p. 17)"
"Relevance to My Thesis","This paper directly instantiates the copilot pattern targeted by the thesis: an LLM agent that closes the loop from anomaly perception to root cause localization and recovery planning, the exact activities that drive MTTD and MTTR. Its retrieval-augmented recovery agent with consistency checking against expert playbooks and human escalation of unsafe plans offers a concrete, safety-aware human-in-the-loop design that can be cited as an architectural reference. The Top-1/MRR and recovery-accuracy results provide quantitative evidence that LLM semantic priors improve localization and that RAG grounding beats zero-shot LLM operation, supporting the thesis argument for grounded agentic copilots. However, its lack of direct MTTD/MTTR measurement and offline-only recovery evaluation exemplify the metrics gap the thesis aims to address."
"Relevance Score","Medium — strongly adjacent AIOps/LLM-agent work on root cause localization and automated recovery in microservices, but it does not measure MTTD/MTTR directly, reporting Top-k/MRR and action-overlap accuracy instead"
"Paper ID","P32"
