"Field","Extraction"
"Title","AI Agents vs. Agentic AI: A Conceptual taxonomy, applications and challenges"
"Authors","Ranjan Sapkota; Konstantinos I. Roumeliotis; Manoj Karkee"
"Year & Venue","2026; Information Fusion (Elsevier), vol. 126, article 103599; received 29 May 2025, available online 22 August 2025"
"Core Problem Addressed","Existing surveys conflate AI Agents and Agentic AI under the broad umbrella of intelligent agents, causing conceptual ambiguity and misaligned system design; developers lack a clear framework for choosing between isolated agents and collaborative agentic architectures, risking under-engineering of complex scenarios or over-engineering of simple ones (Sec. 1, pp. 2-3). Not an IT-operations-specific paper, but the gap directly affects benchmarking, safety protocols, and deployment strategy for agent-based systems (Sec. 1, p. 2)."
"Proposed Solution / Agentic AI Role","A structured conceptual taxonomy separating AI Agents (modular, single-entity, LLM/LIM-driven, tool-augmented systems for narrow task automation) from Agentic AI (orchestrated multi-agent ecosystems with goal decomposition, dynamic role assignment, persistent episodic/semantic/vector memory, and coordinated autonomy) (Sec. 3.0.1-3.1, pp. 7-13). Architectural analysis covers perception/reasoning/action/learning modules for AI Agents and enhancements for Agentic AI: ensembles of specialized agents, advanced reasoning/planning (ReAct, CoT, Tree of Thoughts), persistent memory, and orchestration layers/meta-agents, with examples from AutoGPT, LangChain, AutoGen, CrewAI, MetaGPT, and ChatDev (Sec. 3.1.1-3.1.2, pp. 10-13). Ten targeted solutions are proposed, including RAG, tool-augmented reasoning (function calling), agentic ReAct loops, memory architectures, multi-agent orchestration with role specialization, reflexive self-critique, programmatic prompt pipelines, causal modeling, monitoring/auditing/explainability pipelines, and governance-aware architectures (Sec. 6.1, pp. 22-24)."
"Methodology","Literature review (conceptual/taxonomic survey); a hybrid search methodology querying twelve platforms: academic databases (Google Scholar, IEEE Xplore, ACM Digital Library, Scopus, Web of Science, ScienceDirect, arXiv) and AI-powered interfaces (ChatGPT, Perplexity.ai, DeepSeek, Hugging Face Search, Grok), using Boolean combinations of terms such as ""AI Agents"", ""Agentic AI"", ""LLM Agents"", ""Tool-augmented LLMs"", ""Multi-Agent AI Systems"" (Sec. 1.1.1, p. 4). Inclusion based on novelty, empirical evaluation, architectural contribution, and citation impact; the authors explicitly adopt a sequential, layered structure ""[r]ather than organizing the study around formal research questions"" (Sec. 1, p. 2; Sec. 1.1, p. 3). Number of papers included: Not specified. No dataset, experiment, or deployment reported."
"Impact on MTTD & MTTR Metrics","Not applicable (conceptual review; no MTTD/MTTR measurements or baselines reported). Qualitative claims relevant to incident response: in an enterprise cybersecurity incident response example, the agentic model ""enhances decision latency, reduces false positives, and supports proactive threat containment"" versus rule-based systems (Sec. 4.0.2, p. 16); in ICU decision support, coordinated agents are described as ""reducing cognitive load, shortening decision times, and minimizing oversight risks"" (Sec. 4.0.2, p. 16); email-triage AI Agents ""reduce cognitive overload"" (Sec. 4.0.1, pp. 13-14). Table 11 lists Atera AI Copilot for IT Operations, which ""Diagnoses/resolves IT issues, automates ticketing, and learns from evolving infrastructures"" (Table 11, p. 19). No quantitative figures are given for any of these claims."
"General Impact on Agentic AI / Multi-Agent Systems","Provides a multi-dimensional comparative framework (Tables 1-9) distinguishing Generative AI, AI Agents, Agentic AI, and Generative Agents across autonomy, memory, orchestration, and coordination (Sec. 3.0.2, pp. 8-12). Documents Agentic AI failure modes: amplified causality deficits and inter-agent error cascades, communication/coordination bottlenecks, emergent behavior and instability (infinite planning loops, deadlocks), scalability and debugging complexity, compounded opacity in trust/explainability/verification, expanded adversarial attack surface (single point of compromise), and ethical/governance accountability gaps (Sec. 5.0.2, pp. 20-21). Also notes AI Agent computational cost and latency because each decision cycle ""may require several LLM invocations"" (Sec. 5.0.1, p. 17). No quantitative efficacy, overhead, or cost measurements are reported."
"Limitations / Future Work","Authors acknowledge field-wide limitations: overreliance on hallucination-prone LLMs lacking causal reasoning; non-standardized orchestration protocols hindering interoperability and reproducibility; and that ""many benchmark evaluations for agentic systems rely on artificial environments"" while frameworks emphasize ""architectural novelty over rigorous empirical validation"" (Sec. 5.1, p. 22). Real-world Agentic AI implementations in healthcare are ""still lacking due to the nascent nature of the field"" (Sec. 4.0.2, p. 16). Future roadmap: proactive intelligence, tool integration, causal reasoning, continual learning, and trust/safety for AI Agents; multi-agent scaling, unified orchestration, persistent memory, simulation planning, ethical governance, and domain-specific systems for Agentic AI, plus the Absolute Zero (AZR) self-play learning paradigm (Sec. 6.2, pp. 24-25). No explicit section on the review's own methodological limitations (Not specified)."
"Relevance to My Thesis","This paper supplies the core conceptual vocabulary for the thesis: it formally separates single-entity AI Agents from orchestrated Agentic AI, a distinction needed to position an incident-response copilot on the autonomy spectrum. Its cybersecurity incident response use case (threat classification, log correlation, compliance, and mitigation agents under a central orchestrator with human analysts in the loop) is a direct architectural template for an MTTD/MTTR-reduction copilot in SRE/AIOps contexts. The catalog of Agentic AI failure modes (error cascades, coordination bottlenecks, emergent instability) and the ten mitigation mechanisms (RAG, ReAct loops, orchestration, auditing pipelines) can inform both the design and the threat-to-validity discussion of the thesis prototype. However, it offers no incident metrics, so it serves as taxonomic and architectural grounding rather than empirical evidence of MTTD/MTTR impact."
"Relevance Score","Medium; it is a foundational Agentic AI / multi-agent taxonomy with an incident-response application example, but it is purely conceptual and reports no MTTD/MTTR or other incident metrics."
"Paper ID","P09"
