"Campo","Extração"
"Título","Retail Resilience Engine: An Agentic AI Framework for Building Reliable Retail Systems With Test-Driven Development Approach"
"Autores","Lalit Narayan Mishra; Biswaranjan Senapati"
"Ano e Veículo","2025; IEEE Access, vol. 13, pp. 50226-50243; DOI 10.1109/ACCESS.2025.3552592"
"Problema Central Abordado","Sistemas de varejo precisam equilibrar confiabilidade e resiliência com rápida adaptabilidade à demanda de mercado; atualizações tradicionais dependem de regras estáticas ou intervenções manuais, e desenvolver manualmente casos de teste TDD correlacionando muitos elementos de varejo interdependentes é ""time-consuming and error-prone""; a integração de TDD com modelos orientados por IA permanece pouco explorada (Sec. I.B-I.C, pp. 50226-50227)"
"Solução Proposta / Papel da Agentic AI","Retail Resilience Engine (RRE): um framework de Agentic AI integrando Test-Driven Development com um LLM; um transformer no estilo GPT (arquitetura customizada, Table 4) atua como agente único substituindo o especialista humano em TDD; quatro camadas: Data Source, Pre-processing, Feature Management e Software Layer (AI Agent API para execução automatizada de testes em tempo real, Data Flow API, Application Control Unit para verificação contínua); um mecanismo de filtragem de prompts baseado em palavras-chave com similaridade de cosseno bloqueia entradas irrelevantes; especialistas humanos servem como baseline de avaliação e não como operadores in-the-loop (Sec. III.A-III.C, G, pp. 50229-50230, 50235; Fig. 1)"
"Metodologia","Desenvolvimento de protótipo mais avaliação experimental: transformer treinado com 1,00,000 [sic] documentos (5,000 avaliações de feedback de clientes, 10,000 registros de inventário, 50,000 documentos de logs operacionais, 35,000 documentos de analytics de varejo/logs de sistema) com divisão 80-10-10 em treino/validação/teste; treinamento em quatro GPUs NVIDIA A100, learning rate 0.001, batch size 32, 150 épocas, otimizador Adam; validação cruzada 5-fold; experimentos: comparação RDIA com especialistas humanos (>10 anos de experiência) em 10 consultas de varejo, qualidade do plano de implementação avaliada de 1-5 por especialistas não envolvidos, escalabilidade (100/500/1000 consultas), robustez em 10 domínios de varejo, filtragem (5 experimentos), teste t pareado; o artigo também inclui uma SLR Kitchenham/PRISMA (212 artigos recuperados, 48 incluídos) para identificar lacunas (Sec. II-IV, pp. 50227-50239)"
"Impacto nas Métricas de MTTD e MTTR","Não aplicável — o artigo não mede MTTD, MTTR, fadiga de alertas ou tempo de resolução de incidentes; a confiabilidade é avaliada apenas via alinhamento de decisões, qualidade de planos, escalabilidade, robustez e acurácia de filtragem (Sec. IV, pp. 50235-50239)"
"Impacto Geral em Agentic AI / Sistemas Multiagente","Correlação de Pearson RDIA ρ = 0.96 entre as decisões do RRE e dos especialistas humanos (teste t pareado com p-value 0.021, α = 0.05); ⚠ Ambíguo: o abstract e a conclusão declaram, em vez disso, um ""similarity index of 97.5%""; qualidade do plano de implementação 13 de 15, em pé de igualdade com os especialistas; accuracy, precision, recall e F1 consistentes de 100 a 1000 consultas, com accuracy superior a 90% em todos os 10 domínios de varejo; acurácia da filtragem de prompts de 98.20% (abstract: 98.2%; Sec. III.G: 98.22%); inferência de 52 milissegundos por consulta e 4.2 GB de memória em uma NVIDIA A100; os autores apontam a latência de decisão da Agentic AI e o tratamento de cenários imprevisíveis como desafios (Sec. IV.C-H, pp. 50236-50239; Sec. V.I, p. 50241; Abstract)"
"Limitações / Trabalhos Futuros","Preocupações de privacidade de dados/éticas (GDPR, CCPA; futuramente federated learning e differential privacy); efetividade limitada a categorias de varejo predefinidas; falta de explicabilidade black-box (futuramente XAI); processamento em tempo real requer otimização (compressão, quantização, pruning); configuração heurística de hiperparâmetros (futuramente otimização Bayesiana); design centralizado em nuvem (futuramente híbrido IoT/edge); futura detecção de anomalias baseada em saliência; automação completa ainda não alcançada (futuramente reinforcement learning); desafios da Agentic AI: latência de decisão, condições de mercado sem precedentes, dependência de dados de alta qualidade (Sec. V, pp. 50240-50241)"
"Relevância para Minha Dissertação","Este artigo exemplifica um framework de Agentic AI de agente único no qual um LLM substitui um especialista humano em tarefas de engenharia orientadas à confiabilidade, o que é conceitualmente análogo a um copiloto de resposta a incidentes substituindo ou complementando engenheiros de plantão. Sua metodologia de avaliação — correlação de alinhamento com especialistas, pontuação de qualidade de planos, testes de escalabilidade/robustez e filtragem de prompts — oferece padrões de avaliação reutilizáveis para validar um copiloto agêntico frente a decisões humanas de SRE. O uso de logs operacionais e de sistema como dados de treinamento tangencia fontes de dados de observabilidade relevantes para AIOps. Contudo, ele visa a resiliência do desenvolvimento de sistemas de varejo, não a detecção ou recuperação de incidentes, e não reporta MTTD/MTTR nem métricas de gerenciamento de incidentes, de modo que sua contribuição para a dissertação é metodológica e arquitetural, e não baseada em métricas."
"Pontuação de Relevância","Baixa — o artigo aplica Agentic AI à confiabilidade de sistemas de varejo via TDD e não reporta medições de resposta a incidentes, MTTD ou MTTR, sendo apenas tangencial ao tema da dissertação."
"ID do Artigo","P13"
