"Campo","Extração"
"Título","Transforming Cybersecurity with Agentic AI to Combat Emerging Cyber Threats"
"Autores","Nir Kshetri"
"Ano e Veículo","⚠ Ambíguo: nenhum ano de publicação impresso; preprint SSRN no. 5159598, marcado como ""This preprint research paper has not been peer reviewed""; as datas de recuperação das referências indicam 2025"
"Problema Central Abordado","Como a Agentic AI pode transformar as práticas de cibersegurança contra ameaças emergentes e quais riscos de cibersegurança sua integração introduz (RQ1/RQ2); motivado pela carga de trabalho dos SOCs, tempos de breakout de adversários de ""two minutes and seven seconds"" e uma escassez global de quase 4 milhões de profissionais de cibersegurança (Sec. 1, pp. 2-4)"
"Solução Proposta / Papel da Agentic AI","Análise conceitual da Agentic AI automatizando a tomada de decisão em SOCs, detecção de ameaças, triagem de alertas e resposta a incidentes; descreve módulos de AI Agents (Interfaces, Memory, Profile, Planning, Action); examina soluções de fornecedores — ReliaQuest GreyMatter (múltiplos agentes/modelos executando tarefas simultaneamente), CrowdStrike Charlotte AI Detection Triage, o funcionário digital Alex da Twine (cria planos de tarefas e busca aprovação humana antes de executar), Darktrace/ENDPOINT com IA autoaprendente; propõe um Risk Management Framework (ameaça + vulnerabilidade + impacto potencial) para riscos da Agentic AI (Sec. 2, pp. 5-7; Sec. 3, pp. 7-11; Sec. 4, Table 2, pp. 11-17)"
"Metodologia","Revisão conceitual/narrativa (não empírica) estruturada em torno de duas questões de pesquisa, sintetizando relatórios da indústria, alegações de fornecedores, pesquisas de consultorias e fontes de imprensa; nenhum dataset, experimento, protótipo ou tamanho de amostra reportado; não revisado por pares (Sec. 1, p. 4; Secs. 2-6 ao longo do texto)"
"Impacto nas Métricas de MTTD e MTTR","MTTD/MTTR não são nomeados; métricas de tempo alegadas por fornecedores (não medidas independentemente): ReliaQuest GreyMatter ""processes security alerts 20 times faster"", automatiza 98% dos alertas de segurança, ""reduces threat containment time to under five minutes"", melhora a acurácia de detecção em 30%; CrowdStrike Charlotte AI faz triagem de detecções com mais de 98% de acurácia, eliminando mais de 40 horas de trabalho manual por semana; Darktrace/ENDPOINT ""Reduces triage time by 90%""; previsão do Gartner: a IA aumentará a eficiência dos SOCs em 40% até 2026 vs 2024 (Sec. 1, p. 3; Sec. 3 e Table 1, pp. 8-11)"
"Impacto Geral em Agentic AI / Sistemas Multiagente","Sistemas multiagente criam novos vetores de ataque (vazamentos de dados, prompt injection, data poisoning); uma violação em um agente pode se propagar em cascata pelo sistema; ""a bug in the orchestration layer can trigger thousands of actions, causing a denial of service""; o risco total é maior que a soma das vulnerabilidades dos componentes; agentes consomem recursos de CPU/memória/rede e gerenciar centenas ou milhares de agentes é complexo e demorado; sistemas multiagente com papéis bem definidos são mais fáceis de proteger do que agentes únicos; a segurança de agentes requer regras mais monitoramento para o LLM e aplicação de políticas para as ações (Sec. 4, p. 13; Sec. 5, pp. 18-19; Sec. 6, pp. 22-24)"
"Limitações / Trabalhos Futuros","Sem seção explícita de limitações; o artigo se identifica como preprint não revisado por pares; pesquisas futuras propostas: evolução de AI Agents autônomos em organizações de cibercrime, se a assimetria atacante-defensor muda com a Agentic AI, e aplicação da teoria de agência (principal-agent) a como criminosos gerenciam AI Agents; observa que o uso criminoso de agentes autônomos ainda é dificultado pela falta de confiabilidade (Sec. 6, Future research, pp. 24-26)"
"Relevância para Minha Dissertação","Este artigo fornece números concretos, reportados por fornecedores, sobre como a Agentic AI encurta os tempos de detecção, triagem e contenção em SOCs (processamento de alertas 20x mais rápido, contenção em menos de cinco minutos, redução de 90% no tempo de triagem), que mapeiam diretamente para métricas de incidentes no estilo MTTD/MTTR, embora esses termos não sejam usados. Seu enquadramento da Agentic AI automatizando triagem de alertas e resposta a incidentes, com aprovação human-in-the-loop (Twine Alex), tem paralelo com o modelo de copiloto da minha dissertação. O Risk Management Framework e os modos de falha multiagente (violações em cascata, bugs de orquestração) informam as considerações de risco e governança da implantação de um copiloto agêntico em resposta a incidentes em produção. Contudo, todas as alegações quantitativas são números de marketing de fornecedores de um domínio de cibersegurança (não SRE/AIOps) e não são validadas empiricamente, de modo que o artigo serve como motivação e contexto, e não como evidência."
"Pontuação de Relevância","Média — aborda a Agentic AI reduzindo tempos de detecção/resposta/contenção em operações de segurança (adjacente à resposta a incidentes), mas é uma revisão não empírica baseada em alegações de fornecedores não validadas e nunca mede MTTD/MTTR diretamente."
"ID do Artigo","P14"
