Field,Extraction
"Title","Trustworthy agentic AI systems: a cross-layer review of architectures, threat models, and governance strategies for real-world deployment [version 1; peer review: awaiting peer review]"
"Authors","Ibrahim Adabara; Bashir Olaniyi Sadiq; Aliyu Nuhu Shuaibu; Yale Ibrahim Danjuma; Venkateswarlu Maninti"
"Year & Venue","2025; F1000Research, 14:905 (first published 11 Sep 2025; version 1, awaiting peer review); DOI 10.12688/f1000research.169927.1"
"Core Problem Addressed","Agentic AI systems with autonomous reasoning, memory augmentation, and adaptive planning introduce novel security risks, governance challenges, and ethical considerations that current frameworks (EU AI Act, NIST AI RMF, ISO/IEC) inadequately address; conventional layered security models designed for static computing architectures cannot defend adaptive, distributed agents (Sec. 1, p. 3)."
"Proposed Solution / Agentic AI Role","No system is proposed; the paper is a cross-layer narrative review that consolidates: (a) architectural paradigms (mono-agent, multi-agent, decentralized/federated, hybrid/blockchain-enabled) (Sec. 4, pp. 10-13); (b) a layered threat taxonomy (cognitive exploits, memory poisoning, prompt injection, shadow agents, federated governance risks, cross-layer propagation) (Sec. 5, pp. 13-19); (c) governance frameworks (OECD, EU AI Act, NIST AI RMF, ETHOS) (Sec. 6, pp. 20-27); and (d) defense architectures (SHIELD layered defense, Zero-Trust Architecture with runtime monitoring, SAGA cryptographic identity enforcement, ACD/AICA autonomous cyber defense) (Sec. 8, pp. 31-37). LLMs are framed as ""cognitive cores"" of agentic systems when augmented with external memory, planning modules, and orchestration layers (Sec. 3.1, pp. 7-8); human-in-the-loop safeguards are advocated for oversight, e.g., in military lethal decision-making and legal compliance (Sec. 7.2, p. 28; Sec. 9.6, p. 42)."
"Methodology","Narrative review (explicitly ""a narrative synthesis rather than a systematic literature review""); sources: IEEE Xplore, ACM Digital Library, SpringerLink, ScienceDirect, arXiv, plus policy reports (OECD, NIST, European Commission) and NeurIPS/ICML/AAAI proceedings; keyword clusters (""agentic AI"", ""autonomous agents"", ""multi-agent systems"", ""cross-layer security"", ""trustworthy AI"", ""AI governance"", ""threat modeling"") with Boolean operators; no strict temporal filter but priority to last five years; grey literature selectively included; conceptual-relevance inclusion criteria rather than rigid filtering; number of studies reviewed Not specified (full source list in supplementary Table A1) (Abstract, p. 1; Sec. 2.1-2.2, pp. 4-5)."
"Impact on MTTD & MTTR Metrics","Not applicable as quantitative evidence: the paper reports no MTTD, MTTR, alert-fatigue, or resolution-time measurements. Qualitative mentions only: ReliaQuest's agentic AI for threat detection and incident response ""has improved detection speed and reduced human workload"" (Sec. 7.1, pp. 27-28); industries deploying Zero-Trust plus runtime monitoring ""report significant reductions in breach impact and faster incident detection"" (Sec. 8.2, p. 33); military agentic frameworks with 6G networks enhance capabilities ""by reducing response times"" (Sec. 7.2, p. 28). No baselines or percentages published."
"General Impact on Agentic AI / Multi-Agent Systems","Comparative evaluation finds no architecture universally optimal: multi-agent systems gain scalability, emergent intelligence, and redundancy but increase attack surface, coordination complexity, and collusion vulnerability; hybrid/blockchain-enabled systems offer the best security/scalability/governance balance at high computational cost and latency (Sec. 4.5, Table 1, p. 13). Reported failure-mode figures: AI2 attack hijacking action-aware memory bypasses safety filters ""with a success rate of over 99%"" (Sec. 5.3, p. 15); InjecAgent benchmark shows ""up to 24% success rates for indirect injections"" against tool-integrated LLM agents (Sec. 5.3, p. 15); backdoor attacks on embodied LLM agents show ""almost 100% success rates"" (Sec. 5.2, p. 15); ""even a 10% poisoning rate can severely degrade cooperation"" in multi-agent swarms (Sec. 5.2, pp. 14-15). SAGA defense achieved secure enforcement ""with negligible task utility degradation"" across distributed agentic tasks (Sec. 8.3, p. 34)."
"Limitations / Future Work","Authors identify open gaps rather than a study-limitations section: incomplete alignment and meta-reasoning safeguards; hard-to-detect long-term memory corruption; high false negatives against indirect prompt attacks; weak insider governance; lack of holistic cross-layer anomaly correlation (Table 2, p. 19); lack of standardized cross-domain incident reporting; weak operationalization of governance; unpredictable emergent multi-agent behaviors; misaligned risk attitudes and liability voids; underdeveloped benchmarking needing observability-driven, multi-objective safety metrics (Sec. 9.9, Table 5, pp. 44-45). Future directions: adaptive/decentralized governance (e.g., ETHOS), memory-integrity architectures, federated agent revocation mechanisms, and interdisciplinary collaboration (Sec. 9, pp. 38-45; Sec. 10.3, p. 47). The narrative (non-systematic) methodology is acknowledged as deliberately flexible rather than reproducible (Sec. 2.1, p. 4)."
"Relevance to My Thesis","This review does not measure incident metrics, but it frames the trust, security, and governance preconditions for deploying an Agentic AI copilot in production incident response. The ReliaQuest case (autonomous agents for threat detection, incident response, and remediation workflows improving detection speed) is a directly relevant industrial precedent for MTTD/MTTR-oriented copilots, and the Zero-Trust plus runtime-monitoring discussion connects to automated observability pipelines. Its threat taxonomy (hallucination, goal drift, memory poisoning, prompt injection, shadow agents) enumerates failure modes a copilot could introduce into an incident-response loop, arguing for human-in-the-loop oversight. The identified gap in observability-driven benchmarking for non-deterministic agents supports my thesis motivation for empirically measuring MTTD/MTTR impacts of agentic copilots."
"Relevance Score","Medium - directly centered on Agentic AI and multi-agent systems with cybersecurity incident-response deployment cases (ReliaQuest, ZTA), but purely a trustworthiness/governance review with no MTTD/MTTR measurement or AIOps evaluation."
"Paper ID","P01"
