"Campo","Extração"
"Título","A Joint Study of the Challenges, Opportunities, and Roadmap of MLOps and AIOps: A Systematic Survey"
"Autores","Josu Diaz-de-Arcaya; Ana I. Torre-Bastida; Gorka Zárate; Raúl Miñón; Aitor Almeida"
"Ano e Veículo","2023; ACM Computing Surveys (ACM Comput. Surv.), Vol. 56, No. 4, Article 84, October 2023; DOI 10.1145/3625289"
"Problema Central Abordado","Operacionalizar projetos de ciência de dados/IA em produção é muito mais difícil do que a engenharia de software pura, e as organizações têm dificuldade em converter insights de ciência de dados em valor de negócio; os jovens paradigmas de MLOps e AIOps carecem de uma compreensão conjunta e sistemática de suas questões em aberto, oportunidades, frameworks e campos de aplicação, o que dificulta uma adoção mais ampla na indústria e na academia (Sec. 1, pp. 2-3; Sec. 1.2, pp. 3-4)"
"Solução Proposta / Papel da Agentic AI","Nenhum sistema ou agente é proposto; trata-se de um survey que mapeia conjuntamente MLOps e AIOps em torno de cinco questões de pesquisa (desafios, tendências de MLOps, tendências de AIOps, frameworks/arquiteturas, campos de aplicação) e propõe um framework de comparação (Table 1) em que AIOps visa ""reduce human intervention"" e construir ""self-learning and self-healing applications"" para TI (Sec. 1.1, Table 1, p. 3; Table 2, p. 4); o survey examina os papéis de AIOps em detecção de anomalias, análise de causa raiz via logs, triagem/remediação proativa de incidentes, inferência de degradação de KPI e gerenciamento de recursos (Sec. 4.3.1, p. 15; Sec. 4.4.1, p. 17; Sec. 4.5, pp. 19-20). Nenhuma arquitetura de Agentic AI, multiagente ou copiloto LLM é utilizada; LLMs aparecem apenas como preocupação/oportunidade emergente (Sec. 4.1.4, p. 12; Sec. 4.2.2, p. 14)"
"Metodologia","Revisão Sistemática da Literatura seguindo diretrizes no estilo Kitchenham [65] e relato PRISMA; recuperação automatizada via um cliente customizado da API do Scopus (código no GitHub); 600 strings de busca a partir de combinações de termos de tópico/ação/dimensão, além de uma consulta dedicada a AIOps; janela 2018-2023; 44.903 registros identificados, 23.508 passaram à triagem, 21.940 excluídos por título e 1.111 por resumo, 452 artigos completos baixados, 93 estudos incluídos; avaliação de qualidade com 7 métricas ponderadas com pontuação de 0-10 (Sec. 2, pp. 4-6; Sec. 3.1, pp. 7-8, Fig. 3, Table 5; Table 4, p. 7)"
"Impacto nas Métricas de MTTD e MTTR","Não especificado — nenhum número de MTTD/MTTR/fadiga de alertas é relatado. Apenas qualitativo: AIOps prospera no gerenciamento proativo e reativo de falhas (""prevention, prediction, detection, root cause analysis, remediation"") (Sec. 4.5.1, p. 19); AIOps em ITSM mostra ""potential for predicting and resolving IT incidents in the shortest time"" [1] (Sec. 4.5.2, p. 20); a análise de logs apoia a remediação de incidentes [76, 86] e a triagem proativa de incidentes orientada por dados [76] (Sec. 4.5.2, p. 20; Sec. 4.4.1, p. 17)"
"Impacto Geral em Agentic AI / Sistemas Multiagente","Não aplicável — nenhum sistema agêntico ou multiagente é avaliado. Achados relacionados: trabalhos anteriores observam que em AIOps ""many of the solutions focus on detection and root cause analysis, but automation is still limited"" [25] (Sec. 5, p. 21); o monitoramento com AIOps pode liberar profissionais de TI para tarefas mais inovadoras (Sec. 4.3.1, p. 15); os desafios de LLMs agora se concentram em ""the trustworthiness of the results"" (Sec. 4.1.4, p. 12)"
"Limitações / Trabalhos Futuros","Os autores reconhecem que manuscritos relevantes podem ter sido perdidos pelo processo automatizado, e a literatura cinzenta foi excluída (Sec. 3.2, p. 9); viés geográfico (~51% Europa, nenhum da América do Sul/África), plausivelmente devido ao alinhamento das consultas (Sec. 3.3, p. 9); manuscritos de AIOps são escassos/sub-representados, de modo que seus desafios ainda não podem ser distinguidos dos de MLOps — a literatura futura de AIOps deve possibilitar isso; ""the recent upsurge in LLMs will spread to MLOps and AIOps, and further analysis on this subject will be necessary"" (Sec. 6, p. 22); o uso de AIOps em estágios do ciclo de vida de ML, como a implantação, permanece sub-representado (Abstract, p. 1; Sec. 4.4, p. 18)"
"Relevância para Minha Dissertação","Esta SLR fornece o pano de fundo metodológico e conceitual para a dissertação: formaliza AIOps como IA voltada a reduzir a intervenção humana em operações de TI e mapeia onde AIOps já toca a resposta a incidentes (detecção de anomalias, análise de causa raiz, remediação baseada em logs, triagem proativa de incidentes, predição/resolução de incidentes em ITSM). Seu achado de que a automação em AIOps ainda é limitada e centrada em detecção/RCA fundamenta a lacuna que um copiloto agêntico para redução de MTTD/MTTR preencheria. O chamado explícito para analisar a ascensão dos LLMs em AIOps motiva diretamente copilotos agênticos baseados em LLM como próximo passo. Seu protocolo Kitchenham/PRISMA (busca automatizada no Scopus, triagem em estágios, métricas de qualidade) é um modelo reutilizável para a SLR da dissertação, embora não ofereça métricas de incidentes ou arquiteturas de agentes para reutilizar."
"Pontuação de Relevância","Média — um survey fundamental de AIOps/MLOps que enquadra gerenciamento de incidentes, observabilidade e a lacuna AIOps-LLM, mas não mede MTTD/MTTR e não contém nenhuma abordagem agêntica ou multiagente."
"ID do Artigo","P16"
