"Field","Extraction"
"Title","Graph-Augmented Multi-Agent Robust Root Cause Analysis in AIOps"
"Authors","Haodong Zou; Yichen Zhao; Xin Chen; Ling Wang; Jinghang Yu; Long Yuan"
"Year & Venue","2026; Computers, Materials & Continua (CMC), Tech Science Press; vol. 88(1):40; DOI 10.32604/cmc.2026.077908; Published 08 May 2026"
"Core Problem Addressed","Root cause analysis (RCA) in complex microservice systems traditionally requires human engineers to manually correlate fragmented multi-modal observability signals (metrics, traces, logs), a labor-intensive and error-prone process; existing AIOps/LLM methods suffer from single-modal limits, simplistic temporal alignment that misses semantic relationships, LLM hallucinations, and ""causal confusion"" (mistaking symptoms for root causes) (Abstract, p. 1; Sec. 1, pp. 2-3)"
"Proposed Solution / Agentic AI Role","A Graph-Augmented Multi-Agent Framework in two phases: (1) Anomaly Fusion Graph (AFG) construction — hybrid log-trace alignment fusing semantic similarity with spatio-temporal consistency, with an LLM as ""semantic arbitrator"" for ambiguous cases and an LLM Summarizer generating per-node health reports; (2) Multi-Agent Collaborative Reasoning simulating a human SRE team: Diagnoser Agent (Chain-of-Thought state evaluation, Root Cause/Propagator/Healthy), Navigator Agent (fault-gradient topology traversal via latency deviation, error propagation rate, traffic volatility), Verifier Agent (Adversarial Validation Protocol: consistency check, causal sufficiency, counterfactual reasoning), and Coordinator Agent (Shared Diagnostic Context, stack-based backtracking); agent backend is the OpenAI GPT-4 API (Sec. 4, pp. 5-13; Sec. 5.1, pp. 14-15)"
"Methodology","Prototype implementation (Python 3.9, Drain3, OpenTelemetry, GPT-4 API) with controlled experiments on five datasets: Train Ticket (73 faults, 132,000+ traces, 7.7 million log messages), Online Boutique (56 faults), MSDS/OpenStack (80+ fault instances), AIOps Challenge 2025 (400 fault instances), self-collected OpenTelemetry Demo (45 fault scenarios over 7 days); baselines DeepTraLog (GNN) and Direct LLM Diagnosis; Precision/Recall/F1 metrics; mean ± std over 5 runs, paired t-tests; thresholds via grid search on 80/20 train/validation splits; server with Intel Xeon Gold 6248R, 512 GB RAM, 4x NVIDIA A100 (Sec. 5.1, pp. 13-15)"
"Impact on MTTD & MTTR Metrics","No quantitative MTTD/MTTR results reported. MTTR is cited qualitatively as motivation: the human-centric process is ""labor-intensive and time-consuming, often leading to prolonged Mean Time To Repair (MTTR)"" (Sec. 4.2, p. 10). Related time indicators: average end-to-end diagnosis latency of 21.4 s per fault (3.3 s AFG build + 18.1 s reasoning) and cost of approximately $0.15 per fault at GPT-4 Turbo pricing (Sec. 5.2.5, pp. 17-18)"
"General Impact on Agentic AI / Multi-Agent Systems","Multi-agent framework achieves average F1-score 88.4% (±0.9), outperforming DeepTraLog (83.8%) by 4.6 percentage points and Direct LLM Diagnosis (71.4%) by 17.0 points, p < 0.01 (Table 2, Sec. 5.2.1, p. 15); log-trace alignment reaches 97.5% avg F1 vs. 68.9% temporal-window baseline (Table 3, p. 16); consensus-based verification lifts Precision from 79.5% (no verification) to 88.1% (Table 4, p. 17); ablation: removing Verifier drops Precision -8.5%, removing backtracking drops Recall -13.6%, random navigation degrades F1 to 75.3% (Table 5, p. 17); overhead: 3-5 agent calls per fault, avg 9.7K tokens, LLM arbitration triggered for 13.8%-20.3% of log-trace pairs (Sec. 5.2.5, pp. 17-18)"
"Limitations / Future Work","Failure rates 8.2%-11.3% per dataset; primary failure mode is ambiguous propagation chains (59% of failures) where simultaneous similar symptoms mislead the Diagnoser; insufficient log semantics (28%) with generic messages like ""Error occurred""; in dense topologies (fan-out > 10) backtracking ""degrades to near-exhaustive search""; in 12% of AIOps instances it exceeds 5 iterations, increasing latency by approximately 40%; LLM arbitration (94.2% accuracy) errs on domain-specific jargon and time windows < 10 ms; data unavailable due to privacy/ethical restrictions; no explicit future-work agenda stated (Sec. 5.2.6, Table 7, p. 18; Availability of Data, p. 19)"
"Relevance to My Thesis","This paper is a strong architectural reference for an Agentic AI copilot in incident response: its four-role multi-agent design (Diagnoser, Navigator, Verifier, Coordinator) explicitly emulates SRE workflows and directly targets the diagnosis stage that drives MTTR, which the authors themselves cite as the motivating metric. The adversarial Verifier and backtracking mechanisms offer concrete, evaluated patterns for making LLM copilots trustworthy during incidents, addressing hallucination — a key risk for production copilots. Its runtime/cost analysis (21.4 s and ~$0.15 per fault) provides a rare operational feasibility datapoint for estimating time-to-diagnosis gains versus manual RCA. However, since it reports F1 rather than MTTD/MTTR, the thesis would need to map localization accuracy and diagnosis latency onto incident metrics."
"Relevance Score","Medium — a multi-agent LLM AIOps framework highly aligned with agentic incident diagnosis, but it evaluates RCA accuracy (F1) and latency rather than directly measuring MTTD/MTTR."
"Paper ID","P35"
