"Field","Extraction"
"Title","Application of Large Language Models in Cybersecurity: A Systematic Literature Review"
"Authors","Ismayil Hasanov; Seppo Virtanen; Antti Hakkala; Jouni Isoaho"
"Year & Venue","2024; IEEE Access, vol. 12, pp. 176751-176773 (DOI 10.1109/ACCESS.2024.3505983)"
"Core Problem Addressed","Clear lack of holistic systematic studies on the application and impact of LLMs in cybersecurity: existing surveys cover only single aspects (defensive, offensive, or ethical) and many are non-peer-reviewed preprints, preventing a broader understanding of this emerging technology (Sec. I, pp. 176751-176752)"
"Proposed Solution / Agentic AI Role","Not applicable (secondary study; no system is proposed). The SLR catalogs AI/LLM uses in defensive and offensive cybersecurity, cyberethics, law, and governance; agent-style approaches surveyed include LLM agents in the NetSecGame environment, PENTESTGPT (Reasoning, Generation, and Parsing modules), Auto-GPT, Wintermute (LLM-guided privilege escalation), and the Cyber Sentinel GPT-4 dialogue system integrating an IoC signature database, SIEM, and LLM (Sec. IV-F, pp. 176767-176768; Sec. IV-G, pp. 176768-176769)"
"Methodology","Systematic Literature Review (simplified adaptation of the Kitchenham Guidelines and PRISMA); 8 databases/platforms (arXiv, IEEE Xplore, ResearchGate, Scopus, Google Scholar, ScienceDirect, SpringerLink, ACM Digital Library) queried with 26 keyword sets; 250 articles screened, 177 (2018-March 2024) retained and classified into 7 topical categories; 68% of the reviewed literature published in 2023 (Abstract; Sec. II, pp. 176753-176755)"
"Impact on MTTD & MTTR Metrics","Not specified — no quantified MTTD, MTTR, or alert-fatigue metrics are reported; qualitative findings only: surveyed studies note ""accelerated response times due to AI's automation of the analysis and prioritization of security alerts"" and that AI/ML in Open XDR enables real-time detection, reduces false positives, and enhances the overall efficiency of cybersecurity operations (Sec. IV-C3, p. 176760; Sec. IV-C5, p. 176761)"
"General Impact on Agentic AI / Multi-Agent Systems","LLM agents in NetSecGame ""can surpass traditional reinforcement learning agents and human testers in planning and executing complex cybersecurity tasks,"" notwithstanding challenges like cost and model instability; PENTESTGPT is superior to default ChatGPT but faces challenges maintaining context; ChatGPT/Auto-GPT generate functional malicious code within minutes; in Wintermute, GPT-4 outperforms GPT-3.5-turbo and Llama2, but LLMs often repeated enumeration commands and failed to exploit found vulnerabilities effectively (Sec. IV-G, pp. 176768-176769; Sec. IV-F, pp. 176767-176768)"
"Limitations / Future Work","Only the abstract, introduction, discussion, and conclusion of each article were analyzed in detail (main content browsed cursorily); review cut-off March 2024; surveyed LLMs exhibit hallucinations and higher error rates without domain-specific training, requiring human oversight; the authors identify the absence of studies on LLMs for network traffic analysis / network security as a research gap and propose training an LLM to classify packet streams as legitimate or malicious (Sec. II, p. 176754; Sec. V, pp. 176771-176772; Sec. VI, pp. 176772-176773)"
"Relevance to My Thesis","This SLR maps the LLM-in-security landscape that an Agentic AI incident-response copilot would inhabit, consolidating evidence that LLMs are effective in log analysis, threat detection, and explainable alert triage. Its survey of agent-style systems (NetSecGame agents surpassing RL baselines and human testers, PENTESTGPT, Cyber Sentinel, HuntGPT) supports the feasibility of agentic designs for security operations. Its findings on hallucination, cost, and model instability directly motivate the human-in-the-loop copilot framing of the thesis. However, it reports no MTTD/MTTR measurements, so it serves as background and related work rather than a metric baseline."
"Relevance Score","Medium — adjacent work: it consolidates LLM-based detection/response and LLM-agent evidence relevant to AIOps-style security operations but does not measure MTTD/MTTR with an agentic approach."
"Paper ID","P52"
