"Campo","Extração"
"Título","Trustworthy agentic AI systems: a cross-layer review of architectures, threat models, and governance strategies for real-world deployment [version 1; peer review: awaiting peer review]"
"Autores","Ibrahim Adabara; Bashir Olaniyi Sadiq; Aliyu Nuhu Shuaibu; Yale Ibrahim Danjuma; Venkateswarlu Maninti"
"Ano e Veículo","2025; F1000Research, 14:905 (publicado pela primeira vez em 11 Sep 2025; versão 1, aguardando revisão por pares); DOI 10.12688/f1000research.169927.1"
"Problema Central Abordado","Sistemas de Agentic AI com raciocínio autônomo, aumento de memória e planejamento adaptativo introduzem novos riscos de segurança, desafios de governança e considerações éticas que os frameworks atuais (EU AI Act, NIST AI RMF, ISO/IEC) abordam de forma inadequada; modelos de segurança em camadas convencionais, projetados para arquiteturas computacionais estáticas, não conseguem defender agentes adaptativos e distribuídos (Sec. 1, p. 3)."
"Solução Proposta / Papel da Agentic AI","Nenhum sistema é proposto; o artigo é uma revisão narrativa transversal em camadas (cross-layer) que consolida: (a) paradigmas arquiteturais (mono-agente, multiagente, descentralizado/federado, híbrido/habilitado por blockchain) (Sec. 4, pp. 10-13); (b) uma taxonomia de ameaças em camadas (exploits cognitivos, memory poisoning, prompt injection, shadow agents, riscos de governança federada, propagação entre camadas) (Sec. 5, pp. 13-19); (c) frameworks de governança (OECD, EU AI Act, NIST AI RMF, ETHOS) (Sec. 6, pp. 20-27); e (d) arquiteturas de defesa (defesa em camadas SHIELD, Zero-Trust Architecture com monitoramento em tempo de execução, imposição de identidade criptográfica SAGA, defesa cibernética autônoma ACD/AICA) (Sec. 8, pp. 31-37). Os LLMs são caracterizados como ""cognitive cores"" de sistemas agênticos quando aumentados com memória externa, módulos de planejamento e camadas de orquestração (Sec. 3.1, pp. 7-8); salvaguardas human-in-the-loop são defendidas para supervisão, por exemplo, em decisões militares letais e conformidade legal (Sec. 7.2, p. 28; Sec. 9.6, p. 42)."
"Metodologia","Revisão narrativa (explicitamente ""a narrative synthesis rather than a systematic literature review""); fontes: IEEE Xplore, ACM Digital Library, SpringerLink, ScienceDirect, arXiv, além de relatórios de políticas (OECD, NIST, European Commission) e anais de NeurIPS/ICML/AAAI; agrupamentos de palavras-chave (""agentic AI"", ""autonomous agents"", ""multi-agent systems"", ""cross-layer security"", ""trustworthy AI"", ""AI governance"", ""threat modeling"") com operadores booleanos; sem filtro temporal estrito, mas com prioridade aos últimos cinco anos; literatura cinzenta incluída seletivamente; critérios de inclusão por relevância conceitual em vez de filtragem rígida; número de estudos revisados Não especificado (lista completa de fontes na Tabela A1 suplementar) (Abstract, p. 1; Sec. 2.1-2.2, pp. 4-5)."
"Impacto nas Métricas de MTTD e MTTR","Não aplicável como evidência quantitativa: o artigo não relata medições de MTTD, MTTR, fadiga de alertas ou tempo de resolução. Apenas menções qualitativas: a Agentic AI da ReliaQuest para detecção de ameaças e resposta a incidentes ""has improved detection speed and reduced human workload"" (Sec. 7.1, pp. 27-28); indústrias que implantam Zero-Trust com monitoramento em tempo de execução ""report significant reductions in breach impact and faster incident detection"" (Sec. 8.2, p. 33); frameworks agênticos militares com redes 6G ampliam capacidades ""by reducing response times"" (Sec. 7.2, p. 28). Nenhuma linha de base ou percentual publicado."
"Impacto Geral em Agentic AI / Sistemas Multiagente","A avaliação comparativa conclui que nenhuma arquitetura é universalmente ótima: sistemas multiagente ganham escalabilidade, inteligência emergente e redundância, mas aumentam a superfície de ataque, a complexidade de coordenação e a vulnerabilidade a conluio; sistemas híbridos/habilitados por blockchain oferecem o melhor equilíbrio entre segurança/escalabilidade/governança, ao custo de alto processamento computacional e latência (Sec. 4.5, Tabela 1, p. 13). Números de modos de falha relatados: o ataque AI2, que sequestra a memória action-aware, contorna filtros de segurança ""with a success rate of over 99%"" (Sec. 5.3, p. 15); o benchmark InjecAgent mostra ""up to 24% success rates for indirect injections"" contra agentes LLM integrados a ferramentas (Sec. 5.3, p. 15); ataques de backdoor a agentes LLM incorporados (embodied) apresentam ""almost 100% success rates"" (Sec. 5.2, p. 15); ""even a 10% poisoning rate can severely degrade cooperation"" em enxames multiagente (Sec. 5.2, pp. 14-15). A defesa SAGA alcançou imposição segura ""with negligible task utility degradation"" em tarefas agênticas distribuídas (Sec. 8.3, p. 34)."
"Limitações / Trabalhos Futuros","Os autores identificam lacunas em aberto em vez de uma seção de limitações do estudo: salvaguardas incompletas de alinhamento e meta-raciocínio; corrupção de memória de longo prazo difícil de detectar; altos falsos negativos contra ataques indiretos de prompt; governança interna (insider) fraca; falta de correlação holística de anomalias entre camadas (Tabela 2, p. 19); falta de relato padronizado de incidentes entre domínios; fraca operacionalização da governança; comportamentos multiagente emergentes imprevisíveis; atitudes de risco desalinhadas e vácuos de responsabilidade legal; benchmarking subdesenvolvido, demandando métricas de segurança multiobjetivo orientadas por observabilidade (Sec. 9.9, Tabela 5, pp. 44-45). Direções futuras: governança adaptativa/descentralizada (por exemplo, ETHOS), arquiteturas de integridade de memória, mecanismos federados de revogação de agentes e colaboração interdisciplinar (Sec. 9, pp. 38-45; Sec. 10.3, p. 47). A metodologia narrativa (não sistemática) é reconhecida como deliberadamente flexível em vez de reprodutível (Sec. 2.1, p. 4)."
"Relevância para Minha Dissertação","Esta revisão não mede métricas de incidentes, mas estabelece as precondições de confiança, segurança e governança para implantar um copiloto de Agentic AI em resposta a incidentes em produção. O caso ReliaQuest (agentes autônomos para detecção de ameaças, resposta a incidentes e fluxos de remediação que melhoram a velocidade de detecção) é um precedente industrial diretamente relevante para copilotos orientados a MTTD/MTTR, e a discussão de Zero-Trust com monitoramento em tempo de execução conecta-se a pipelines de observabilidade automatizados. Sua taxonomia de ameaças (alucinação, goal drift, memory poisoning, prompt injection, shadow agents) enumera modos de falha que um copiloto poderia introduzir em um ciclo de resposta a incidentes, argumentando a favor da supervisão human-in-the-loop. A lacuna identificada em benchmarking orientado por observabilidade para agentes não determinísticos apoia a motivação da minha dissertação de medir empiricamente os impactos de copilotos agênticos em MTTD/MTTR."
