Field,Extraction
"Title","Reliability of LLM Inference Engines from a Static Perspective: Root Cause Analysis and Repair Suggestion via Natural Language Reports"
"Authors","Hongwei Li; Yongjun Wang"
"Year & Venue","2026; Big Data and Cognitive Computing (BDCC), MDPI; vol. 10, article 60; published 13 February 2026"
"Core Problem Addressed","Defects in LLM inference engines (e.g., vLLM, TensorRT-LLM) are numerous, hard to localize, and costly to fix, yet existing reliability/defect-analysis techniques assume executable code, runtime environments, or dynamic traces that are impractical for these hardware-dependent systems; there is also no publicly available annotated dataset of real-world inference-engine defects (Sec. 1, pp. 1-2)"
"Proposed Solution / Agentic AI Role","A static, execution-free, three-stage pipeline over GitHub issue reports: (1) root cause classification via TF-IDF (unigrams+bigrams) + class-weighted multinomial logistic regression into 4 semantic categories (model_execution, runtime_state, resource_concurrency, io_semantic); (2) coarse-grained module localization via TF-IDF cosine similarity between issue text and module textual profiles; (3) repair suggestion generation by an off-the-shelf LLM (ChatGPT/GPT-5.2 and Qwen3-235B-A22B, no fine-tuning) guided by structured prompts embedding predicted root cause, module, and predefined root cause-repair patterns. The LLM is used ""solely as a conditional text generator""; diagnosis is done by deterministic/statistical components; no agentic or multi-agent orchestration; human developers consume the suggestions (Sec. 3, pp. 4-9; Sec. 4, pp. 9-10)"
"Methodology","Empirical study with prototype evaluation on real-world data: manually annotated dataset of closed bug-labeled GitHub issues (data snapshot January 2026) - 176 vLLM issues + 100 TensorRT-LLM issues; stratified 5-fold cross-validation (80/20) for classification; cross-engine transfer test (train on vLLM, test on TensorRT-LLM); scalability timing experiments; human evaluation of 50 randomly sampled issues by 5 researchers on 5-point Likert scales (Correctness, Usefulness, Clarity) with Fleiss' kappa inter-rater reliability; environment: Ubuntu 22.04, Intel Xeon Gold 6430, 256 GB RAM, Python 3.10, scikit-learn, no GPU needed (Sec. 5.1-5.5, pp. 11-14)"
"Impact on MTTD & MTTR Metrics","Not applicable - no MTTD, MTTR, alert-fatigue, or incident-resolution-time metrics are measured. Qualitative only: module localization puts the correct module in the top two predictions in over 84% of cases, so developers ""only need to focus on inspecting a subset of candidate modules rather than searching the entire codebase"", reducing the debugging search space (Sec. 5.3, pp. 12-13)"
"General Impact on Agentic AI / Multi-Agent Systems","No agentic/multi-agent system is evaluated; results concern a single-LLM-assisted static pipeline: root cause classification accuracy 68.8%, Macro-F1 0.421 (+18.8 percentage points over Linear SVM and Random Forest, both 0.500); TF-IDF+LSA variant 0.682/0.416; module localization Top-1 0.705, Top-2 0.841 vs. 0.182/0.304 most-frequent baseline; cross-engine (vLLM to TensorRT-LLM) accuracy 64.0%, Macro-F1 0.405; localization time tens of milliseconds for 140 issues with near-linear scaling; human evaluation (ChatGPT-5.2): Correctness 3.7, Usefulness 3.6, Clarity 4.3; Qwen3-235B-A22B: 3.5/3.4/4.1 (Fleiss' kappa 0.48/0.44/0.61), indicating the framework is ""largely model-agnostic""; authors note a cascading failure mode: upstream misclassification yields generic or partially relevant repair suggestions (Sec. 5.2-5.5, pp. 11-15)"
"Limitations / Future Work","Limitations: effectiveness constrained by completeness/clarity of issue texts (vague reports yield inaccurate predictions); localization is only coarse module-level, still requiring manual investigation; limited and imbalanced dataset (rare classes like runtime_state remain challenging); classification performance ""remains modest""; human evaluation covers few issues and evaluators. Future work: incorporate commits, code diffs, stack traces, dependency relations; extend localization to function/code-block level; expand dataset to more engines and defect categories; move toward fully automated localization and repair (Sec. 5.5, p. 15; Sec. 6, pp. 15-16; Sec. 7, p. 16)"
"Relevance to My Thesis","The paper's three-stage pipeline (root cause classification, fault localization, LLM-generated remediation guidance) is structurally analogous to the diagnose-localize-remediate loop an Agentic AI incident-response copilot must perform, and its evidence that constrained, structured prompts grounded in deterministic upstream analysis reduce LLM hallucination is directly reusable for copilot design. Its finding that repair-suggestion quality cascades from upstream classification accuracy warns about error propagation in multi-stage agent pipelines relevant to MTTR reduction. However, it targets offline software bug triage for LLM inference engines, not production incident response, and reports no MTTD/MTTR or operational metrics, so it serves mainly as methodological inspiration and as evidence for the reliability challenges of the LLM serving infrastructure that copilots themselves depend on."
"Relevance Score","Low - the paper contains no agentic/multi-agent architecture and no MTTD/MTTR or incident-management measurements; it is tangential (LLM-assisted software defect root cause analysis and repair suggestion for inference engines), offering only conceptual analogies to incident-response copilots."
"Paper ID","P30"
