"Field","Extraction"
"Title","Small Language Model Agent for the Operations of Continuously Updating ICT Systems"
"Authors","Nobukazu Fukuda; Haruhisa Nozue; Haruo Oishi"
"Year & Venue","2025; IEEE Access, vol. 13 (published 24 February 2025)"
"Core Problem Addressed","Management of ICT systems (networks, servers) is time-intensive and requires strict adherence to continuously updated operational manuals and policies; existing LLM agents presume sophisticated API-based proprietary LLMs, raising operational cost and confidentiality concerns, while SLMs perform significantly worse in decision-making tasks, fail to interpret context, and struggle with long-horizon trajectories (Sec. I, pp. 37522-37523)."
"Proposed Solution / Agentic AI Role","A single Small Language Model (SLM) agent framework for autonomous ICT operation deployable on one GPU, using few-shot prompting with two techniques: (A) nested thoughts — past trajectories are extended with subtask begin/end tags and decomposed into blocks with retrieval keys, timestamps, and Python script actions executed in the agent; (B) dynamic prompt reconfiguration — template-based block retrieval via log parsing (regular expressions), dynamic top-k cutoff, and diversity-aware exemplar selection to mitigate empirically identified shortcut reasoning; post-processing safety check rejects any output whose template is dissimilar to exemplar outputs, enforcing conformity to operational policies; the goal is given by the system operator and the agent interacts iteratively with the ICT system; SLMs used: quantized LLaMA2 (7B), Gemma2 (9B), Mistral (7B); similarity via all-mpnet-base-v2 SentenceTransformer (Sec. IV, pp. 37525-37527; Sec. V-C, p. 37528)."
"Methodology","Controlled experiments (prototype evaluation) on two benchmarks: ALFWorld, a public synthetic text-based benchmark with 134 environmental settings across 6 task types and 12 exemplar trajectories; and WideEnet, a real-world benchmark of wide-area Ethernet network operations built from operational manuals with 7 tasks, 34 exemplar trajectories, and 85 test environmental settings, plus incremental environmental updates (command format changes, added/deleted operations) with only two updated trajectories added; metric: task success rate; baselines: Act, ReAct, RAP; hardware: NVIDIA GeForce 2080Ti with 11GB memory (Sec. V-A to V-C, pp. 37528)."
"Impact on MTTD & MTTR Metrics","Not specified — no MTTD, MTTR, alert fatigue, or resolution time metrics are reported; the paper qualitatively states autonomous operation ""has the potential to reduce the time and burden of human endeavors"" (Abstract, p. 37522) and that the SLM agent is expected to ""mitigate the time-intensive endeavors of system operators"" (Sec. VI, p. 37532)."
"General Impact on Agentic AI / Multi-Agent Systems","On ALFWorld, the proposed method with LLaMA2 reaches 96.3% success, outperforming ReAct with GPT-4 (85.8%) and RAP with GPT-4 (94.8%); shortcut-aware exemplar sampling raises two-shot success from 84.3% (unaware) to 96.3% vs 79.9% one-shot; on WideEnet, best success is Mistral (88.9%) and largest improvement is LLaMA2 (3.70% to 87.0%) over ReAct; under incremental updates, adding a few trajectories improves success from 29.4% to 78.8% after the third update; computational overhead: on average 5.2 times as many LM calls as environment steps and 2.1 times the LM calls of ReAct; a failure mode is shown where the SLM outputs an erroneous format and the safety check marks the task failed (Sec. V-D, pp. 37529-37531)."
"Limitations / Future Work","Limitations: the agent cannot handle situations not covered by the extended trajectories, and manually or heuristically augmenting thoughts/tags to operational histories is costly; some manuals are free-format with charts/diagrams, making mechanical trajectory generation a challenging problem; verification requires building an interactive environment, which demands extensive system knowledge and development effort. Future work: extracting agent-readable trajectories from multi-modal documents and operational histories, and constructing low-cost agent verification environments; the framework could extend to microservices, cloud, 5G/WAN, provisioning, root cause analysis, and troubleshooting (Sec. VI, p. 37532)."
"Relevance to My Thesis","This paper demonstrates a cost- and confidentiality-conscious agentic approach to autonomous ICT operations that directly informs the design of an incident-response copilot: its policy-conforming action generation and exemplar-similarity safety gate are concrete mechanisms for keeping an Agentic AI within approved runbooks, a key concern when automating remediation to reduce MTTR. Its evidence that a locally deployed SLM agent can outperform GPT-4-based ReAct/RAP supports on-premises copilot architectures for organizations with data-sensitivity constraints. The continuous-update adaptation results are relevant to real operations where runbooks evolve after incidents. However, it evaluates task success rate rather than MTTD/MTTR, so it supplies architectural and safety insights rather than incident-metric baselines for the thesis."
"Relevance Score","Medium — an SLM/LLM agent for autonomous network/ICT operations (AIOps-adjacent, single-agent) with strong methodological relevance, but it does not measure MTTD, MTTR, or other incident-response metrics."
"Paper ID","P21"
