"Field","Extraction"
"Title","From Vulnerability to Defense: The Role of Large Language Models in Enhancing Cybersecurity"
"Authors","Wafaa Kasri; Yassine Himeur; Hamzah Ali Alkhazaleh; Saed Tarapiah; Shadi Atalla; Wathiq Mansoor; Hussain Al-Ahmad"
"Year & Venue","2025; Computation (MDPI journal), vol. 13, article 30; DOI 10.3390/computation13020030"
"Core Problem Addressed","The escalating complexity of cyber threats and rapidly evolving digital landscapes outpace traditional cybersecurity mechanisms, which ""often fall short in detecting, mitigating, and responding to complex risks""; the review targets how LLMs can address these gaps across threat detection, phishing, malware analysis, and incident response (Abstract, p. 1; Sec. 1, pp. 1-2)"
"Proposed Solution / Agentic AI Role","Review article — no single system is proposed; it surveys LLMs (GPT, BERT, PaLM, T5, etc.) applied to threat identification, phishing/malware/intrusion detection, vulnerability management, threat intelligence, incident response, cloud security, compliance and endpoint security, and distills generic LLM-based frameworks (Algorithms 1-3) for malware detection, intrusion detection, and cloud security; agentic elements appear in surveyed works: multi-agent Audit-LLM for insider threat detection, multi-agent AutoDefense against jailbreaks, an LLM agent framework for dynamic phishing detection, and AIOps-style incident systems (Xpert, IcM BRAIN, RCACopilot, IncidentResponseGPT); future integration of LLMs with SOAR platforms is proposed for automated incident response with human analysts in the loop (Sec. 3, pp. 10-33; Sec. 3.7, p. 25; Sec. 5.3, p. 39; Sec. 8.2, p. 46)"
"Methodology","Narrative/critical literature review with taxonomy: structured by application domain (Fig. 1), with 14 comparative tables of primary studies (models, datasets, contributions, best performance, limitations), a taxonomy table (Table 12), case studies, and three step-by-step LLM frameworks (Algorithms 1-3); no SLR protocol (e.g., PRISMA), search strategy, or count of reviewed studies is reported; no own dataset or experiments (Sec. 1, pp. 2-3; Fig. 1, p. 4; Sec. 4, pp. 34-35)"
"Impact on MTTD & MTTR Metrics","No MTTD/MTTR measurements are reported (review paper); qualitative claims only: LLM log analysis ""not only improves detection accuracy but also reduces response times"" and incident documentation ""streamlines incident management and minimizes response delays"" (Sec. 2.3.1, p. 6); DrSec reduces alert fatigue, achieving 75.11% PR AUC in alert triage (Sec. 3.11, pp. 31-32); a surveyed LLM recommender for support requests aims ""to reduce mean resolution times"" with no figures given (Sec. 3.9, p. 29); surveyed incident-management results: 95.2% accuracy in traffic-incident severity classification, 87% accuracy in ticket categorization, 92% efficiency in resource allocation (Table 7, p. 25); RCACopilot automates root cause analysis with RCA accuracy of 0.766 (Sec. 3.9, p. 28)"
"General Impact on Agentic AI / Multi-Agent Systems","Surveyed multi-agent results: Audit-LLM (multi-agent framework with COT reasoning) is ""superior to existing baselines"" for insider threat detection but suffers ""faithfulness hallucination in LLM conclusions"" (Sec. 3.10, p. 30; Table 10, p. 30); a multi-agent defense framework collaboratively filters harmful LLM responses, with effectiveness ""dependent on the division and coordination of tasks"" (Sec. 5.3, p. 39; Table 13, p. 38); an LLM agent framework that dynamically fetches online information for phishing detection reached 94.5% accuracy but depends on external data fetching (Sec. 3.2, p. 13; Table 2, p. 14); the conclusion flags ""collaborative multi-agent systems"" as an emerging research direction (Sec. 9, p. 48)"
"Limitations / Future Work","Limitations of LLMs (not of the review itself): interpretability (""black boxes""), lack of domain-specific knowledge, scalability/computational cost, adversarial attacks, plus ethical issues of bias, privacy, misuse, and accountability (Sec. 5.6-5.7, pp. 41-43); deployment challenges: data privacy/memorization, integration with SIEM/IDS/SOAR infrastructures, robustness to prompt injection, contextual accuracy (""faithfulness""), real-time scalability, and catastrophic forgetting in continual learning (Sec. 7, pp. 44-46); future directions: LLM detection of social engineering, automation of incident responses via SOAR integration, disruption of phishing campaigns, and tailored security education programs (Sec. 8, pp. 46-47)"
"Relevance to My Thesis","This survey is a useful secondary source that maps the LLM-for-security landscape, including a dedicated incident response and management section covering AIOps-adjacent systems (Xpert for KQL query recommendation, IcM BRAIN, RCACopilot, IncidentResponseGPT) that automate triage, root cause analysis, and response planning — the same operational stages where my thesis targets MTTD/MTTR reduction. Its explicit future direction of coupling LLMs with SOAR platforms and playbook-driven response mirrors the copilot role of my proposed Agentic AI. It also aggregates evidence on multi-agent frameworks (Audit-LLM, AutoDefense) and their failure modes (faithfulness hallucination, coordination dependence), which informs my architecture risks. However, it is cybersecurity-centric and reports no MTTD/MTTR quantification, so it serves as background and a citation hub rather than as empirical evidence for my metrics."
"Relevance Score","Medium — adjacent: a broad LLM-in-cybersecurity survey that covers incident response automation, AIOps-style systems, and multi-agent frameworks, but measures no MTTD/MTTR with an agentic approach"
"Paper ID","P72"
