"Field","Extraction"
"Title","AI-Augmented SOC: A Survey of LLMs and Agents for Security Automation"
"Authors","Siddhant Srinivas; Brandon Kirk; Julissa Zendejas; Michael Espino; Matthew Boskovich; Abdul Bari; Khalil Dajani; Nabeel Alzahrani"
"Year & Venue","2025; Journal of Cybersecurity and Privacy (J. Cybersecur. Priv., MDPI), vol. 5, art. 95; DOI 10.3390/jcp5040095"
"Core Problem Addressed","Traditional rule-based and manual SOC processes are insufficient against the growing volume, velocity, and sophistication of cyber threats, leading to alert fatigue, delayed responses, high false-positive rates, analyst dependency, and escalating operational costs; prior surveys on LLMs for cyber defense remain domain-specific and fragmented, lacking a unified, SOC-centered operational synthesis (Sec. 1, pp. 1-2)"
"Proposed Solution / Agentic AI Role","No new system; the survey contributes (i) an integrated taxonomy of LLM and AI-agent applications across eight SOC tasks (log summarization, alert triage, threat intelligence, ticket handling, incident response, report generation, asset discovery and management, vulnerability management), in which AI agents orchestrate data collection, tool use, memory, and planning while LLMs (GPT-3.5/4/4o, LLaMA, Claude, Gemini, Mistral, BERT variants) serve as the cognitive backbone, spanning autonomous vs. human-in-the-loop modes (Sec. 3, pp. 3-10; Tables 1-2, pp. 4, 11); and (ii) a five-level capability-maturity model (Manual -> AI/LLM-Assisted -> Semi-Autonomous -> Conditionally Autonomous -> Fully Autonomous) using HITL/HoTL/HoOTL designs, positioned as an AI-focused overlay to SOC-CMM (Sec. 4, pp. 12-13)"
"Methodology","⚠ Ambiguous: reported screening counts do not reconcile arithmetically (510 screened; 300 eliminated; 105 included). Systematic literature review (survey) following PRISMA 2020, preregistered at OSF (DOI 10.17605/OSF.IO/9QC7V); initial pool of over 600 papers (2022-2025, last searched 15 July 2025) from IEEE Xplore, arXiv, ACM Digital Library, and proceedings of NDSS, USENIX Security, ACM CCS, and IEEE S&P, including peer-reviewed and preprint sources; after preliminary screening of 510 papers and elimination of 300 for lack of SOC relevance, 105 papers were each independently reviewed by four authors against explicit inclusion criteria; disagreements resolved by consensus (Sec. 2, pp. 2-3; Sec. 7, p. 19)"
"Impact on MTTD & MTTR Metrics","Secondary evidence only (survey reports results of cited primary studies; no own measurements): CyberAlly's AI-driven triage ""halved false positives from 70% to 35% and reduced Mean Time To Respond (MTTR) from 8 h to 90 min"", with automated ticketing rising from 10% to 75% (Sec. 3.2, p. 6); alert-fatigue baseline: SOCs process over 10,000 daily alerts, more than half false positives (Sec. 3.2, p. 5); breach baseline of 204 days to identify plus 73 days to contain (277 days total) (Sec. 3.5, p. 7); ReliaQuest GreyMatter processes alerts 20 times faster, automates 98% of alerts, and reduces containment time to under 5 min (Sec. 3.7, p. 9); Microsoft CTI framework cuts report generation time from 8 h to under 2 h (Sec. 3.6, pp. 8-9); AGIR reduces report writing time by 42.6% and TickIt reduces alerts by 30% (Sec. 3.6, p. 8; Sec. 3.4, p. 7); Table 2 cites 6x faster detection/mitigation and task completion time down 30.69% for IT Admins (Table 2, p. 11); projection: AI agents expected to significantly reduce MTTD and MTTM, with simulations up to six times faster response than human intervention (Sec. 6, p. 18)"
"General Impact on Agentic AI / Multi-Agent Systems","Across all eight SOC tasks, AI-augmented systems consistently improve detection accuracy, reduce false positives, and accelerate response over rule-based methods, but current implementations largely remain at maturity Levels 1-2 with human oversight (Sec. 8, pp. 19-20); multi-agent results: TrioXpert improves anomaly detection 4.7-57.7%, failure triage 2.1-40.6%, root cause localization 1.6-163.1%, with average end-to-end diagnosis within 15 s (Sec. 3.5, p. 8); IRCopilot achieves sub-task completion rates up to 150% higher than directly applying GPT-4 (Sec. 3.5, p. 8); Audit-LLM shows 40% false-positive reduction for insider threat detection (Sec. 6, pp. 17-18); cost evidence: CTINEXUS full experiment under $0.30, LLexus about $0.5 per incident (~50,000 tokens) (Sec. 3.3, p. 6; Sec. 3.4, p. 7); failure modes: communication overhead and scalability bottlenecks, emergent behaviors hindering predictability, Agent-in-the-Middle attacks, prompt injection, memory poisoning, hallucination cascades, and data leakage (Sec. 5-5.1, pp. 14-15; Table 4, pp. 14-15)"
"Limitations / Future Work","Five stated threats to validity: selection bias (post-2022, English-only filtering), ecological validity (most studies use simulated/benchmarked environments, so metrics may not extrapolate to operational SOCs), measurement inconsistency (heterogeneous metrics and datasets hinder cross-comparison), evolving baselines (findings are a snapshot prone to obsolescence), and human-AI integration uncertainty (few empirical studies of human-AI collaboration at scale) (Sec. 7, p. 19); the capability-maturity model is not yet validated — future multi-phase validation should correlate maturity scores with MTTD, MTTR, and false-positive rates (Sec. 4.2, p. 13); future directions include XAI, RLHF, standardized adversarial benchmarks (ASB), privacy-preserving models, and empirical testing in operational SOC environments (Sec. 6, pp. 17-18; Sec. 8, p. 20)"
"Relevance to My Thesis","This survey maps almost one-to-one onto the thesis topic: it synthesizes how LLM-based copilots and agentic/multi-agent systems augment SOC incident response, the same operational setting where the thesis proposes an Agentic AI Copilot to reduce MTTD and MTTR. Its eight-task taxonomy and five-level capability-maturity model provide a ready framework for positioning the copilot's autonomy level (HITL/HoTL) and for structuring related work. It consolidates secondary MTTR and alert-fatigue evidence (e.g., CyberAlly 8 h -> 90 min MTTR; GreyMatter containment under 5 min; 277-day breach baseline) that can serve as reference baselines, and its proposed model validation explicitly adopts MTTD/MTTR as performance indicators — the exact metrics of the thesis. The catalogued incident-response copilots (IRCopilot, AidAI, TrioXpert) and the identified gaps (ecological validity, lack of operational human-AI studies) directly motivate the thesis's empirical contribution."
"Relevance Score","High — although a secondary study, it directly surveys agentic AI/LLM copilots for SOC incident response, consolidates MTTD/MTTR/alert-fatigue evidence, and offers a maturity framework and gap analysis immediately applicable to the thesis."
"Paper ID","P79"
