"Campo","Extração"
"Título","AgentAI: A comprehensive survey on autonomous agents in distributed AI for industry 4.0"
"Autores","Francesco Piccialli; Diletta Chiaro; Sundas Sarwar; Donato Cerciello; Pian Qi; Valeria Mele"
"Ano e Veículo","2025; Expert Systems With Applications (ESWA), Elsevier, vol. 291, artigo 128404 (artigo de revisão)"
"Problema Central Abordado","Os surveys existentes sobre AgentAI o examinam apenas em ""fragmented or application-specific contexts, with limited focus on agent autonomy and architectural frameworks"", carecendo de uma perspectiva intersetorial abrangente; o artigo preenche essa lacuna com uma taxonomia multidomínio que analisa sistemas de AgentAI tanto não autônomos quanto totalmente autônomos na Indústria 4.0 (Sec. 1.2, p. 2; Abstract, p. 1)"
"Solução Proposta / Papel da Agentic AI","Survey (nenhum sistema novo): sintetiza a arquitetura de AgentAI como módulos de percepção, cognição e ação (Sec. 3.1, p. 4); técnicas centrais RL/DRL/MARL (QMIX, G2ANet), transformers e LLMs (GPT-3/4, Llama, Gemini, DeepSeek), além de paradigmas alternativos (raciocínio simbólico, políticas baseadas em grafos, behaviour trees, agentes probabilísticos/bayesianos) (Sec. 3.2, pp. 4-6); um ciclo de vida de AgentAI (criação, implantação, migração, integração, desligamento) com supervisão HITL e interrompibilidade em domínios de alto risco (Sec. 3.3, pp. 6-7); e uma taxonomia de 66 trabalhos em nove domínios da Indústria 4.0: Transporte, Energia, Saúde, Redes, Defesa, Jogos, Governança, Marketing, E-Learning (Sec. 5, p. 8)"
"Metodologia","SLR seguindo as diretrizes PRISMA; busca no Scopus, Web of Science, IEEE Xplore e ScienceDirect com a query TITLE-ABS-KEY (""AgentAI"" OR ""AgenticAI"" OR ""Agentic AI""); 255 artigos iniciais (130 Scopus, 64 WoS, 25 ScienceDirect, 36 IEEE Xplore) reduzidos a 144 após a remoção de não escritos em inglês e duplicatas, e então a um conjunto final de 66 artigos experimentais (revisões/surveys excluídos, apenas da última década); artefatos de triagem compartilhados via um repositório público no GitHub (Sec. 2, p. 3)"
"Impacto nas Métricas de MTTD e MTTR","Não aplicável — nenhuma métrica de MTTD, MTTR, fadiga de alertas ou resolução de incidentes é reportada neste survey; qualitativamente, afirma-se que a detecção de anomalias em robôs reduz ""waste and downtime"" (Sec. 4, p. 8), que sistemas multiagente baseados em LLM para cidades inteligentes encurtam ""decision-making cycles from days to hours"" (Sec. 5.1, p. 9) e que agentes da Indústria 6.0 são vislumbrados monitorando a saúde do sistema e executando ações de recuperação em ecossistemas self-healing (Sec. 6.3, p. 15)"
"Impacto Geral em Agentic AI / Sistemas Multiagente","Reporta resultados de trabalhos revisados: MARL (QMIX, G2ANet) no tratamento de águas residuais alcançou ""up to a 25 % reduction in aeration energy consumption and a 7 % improvement in effluent quality"" (Sec. 5.2, p. 9); sistemas urbanos multiagente baseados em LLM melhoram a acurácia de roteamento de consultas (94 %-99 %) (Sec. 5.1, p. 9); o fine-tuning permite que agentes executem tarefas com mais eficiência, otimizando custos computacionais e reduzindo a latência (Sec. 3, p. 4); os modos de falha multiagente documentados incluem falhas de coordenação, conduta adversarial e input spoofing (Sec. 5.7, p. 12); o controle HITL permanece essencial em domínios de alto risco para verificação de saídas, alinhamento ético e tratamento de exceções (Sec. 3.3, p. 6)"
"Limitações / Trabalhos Futuros","Desafios: agentes têm dificuldade com objetivos em evolução, contextos mutáveis e observações de alta modalidade; frameworks multiagente apoiam-se em suposições idealizadas de comunicação que se rompem sob latência, ruído e dados incompletos; escalabilidade, escassez de dados, silos de dados fragmentados, interoperabilidade limitada e baixa generalização de modelos treinados em simulação; tensão entre autonomia e supervisão humana (Sec. 6.1-6.2, p. 14). Trabalhos futuros: adaptabilidade em tempo real, raciocínio sensível ao contexto, mecanismos de preservação de privacidade, colaboração centrada no humano da Indústria 5.0 e um blueprint da Indústria 6.0 de coordenação multiagente descentralizada, inferência de intenções e infraestrutura autogerenciável e self-healing (Sec. 6.2-6.3, pp. 14-15)"
"Relevância para Minha Dissertação","Este survey fornece o arcabouço conceitual para a dissertação, e não evidências de resposta a incidentes. Seu modelo de componentes percepção-cognição-ação, a comparação de paradigmas de agentes e os estágios do ciclo de vida (incluindo supervisão HITL e interrompibilidade) podem fundamentar o enquadramento arquitetural de um copilot de Agentic AI para resposta a incidentes. A visão da Indústria 6.0, com agentes que monitoram a saúde do sistema, executam ações de recuperação e rebalanceiam cargas de trabalho sem supervisão centralizada, é diretamente análoga aos objetivos de AIOps self-healing por trás da redução de MTTD/MTTR. Seus modos de falha multiagente catalogados (falhas de coordenação, input spoofing) e desafios (latência, dados ruidosos, equilíbrio de supervisão) informam as seções de ameaças e limitações. Contudo, não oferece métricas de gestão de incidentes nem estudos de caso de operações de TI, servindo apenas como apoio de contexto/taxonomia."
"Pontuação de Relevância","Média — uma referência abrangente de taxonomia, arquitetura e ciclo de vida HITL de Agentic AI / sistemas multiagente que apoia diretamente os fundamentos conceituais da dissertação, mas voltada a domínios da Indústria 4.0 e sem resultados de MTTD/MTTR ou de AIOps/resposta a incidentes."
"ID do Artigo","P24"
