"Campo","Extração"
"Título","A Review of Agentic AI in Cybersecurity: Cognitive Autonomy, Ethical Governance, and Quantum-Resilient Defense [version 1; peer review: 2 approved]"
"Autores","Ibrahim Adabara; Bashir Olaniyi Sadiq; Aliyu Nuhu Shuaibu; Yale Ibarahim Danjuma; Venkateswarlu Maninti"
"Ano e Veículo","2025 (publicado pela primeira vez em 01 Sep 2025); F1000Research, 14:843; DOI 10.12688/f1000research.169337.1"
"Problema Central Abordado","Modelos convencionais de defesa cibernética baseados em regras estáticas, proteções de perímetro e resposta a incidentes centrada em humanos são inadequados contra ameaças sofisticadas (APTs, malware polimórfico, ML adversarial), sofrendo de ""detection latency, limited adaptability"" e da incapacidade de conter intrusões furtivas de longo prazo; a computação quântica ameaça ainda mais os fundamentos criptográficos (Sec. 1.2, p. 3; Sec. 1.4.1, pp. 3-4)"
"Solução Proposta / Papel da Agentic AI","Não é uma proposta de sistema, mas uma síntese de Agentic AI (agentes autônomos, adaptáveis e orientados a objetivos) para defesa cibernética em três pilares: autonomia cognitiva, governança ética e defesa resiliente a ataques quânticos. Cataloga padrões de design (agentes reativos, busca proativa de objetivos, baseados em aprendizado, assistentes de triagem de ameaças Human-in-the-Loop em SOCs, redes federadas de agentes, loops cognitivos reflexivos; Table 2) e arquiteturas híbridas que combinam deep reinforcement learning (DRL), LLMs e raciocínio baseado em regras para detecção de ameaças em tempo real e colaboração humano-agente; padrões de explicabilidade (TriQPAN); protocolos de interoperabilidade (Google Agent2Agent A2A, Model Context Protocol MCP); governança via NIST AI RMF, EU AI Act, ISO/IEC 42001, modelos descentralizados (DAGN, LOKA); resiliência quântica via PQC, QKD e federated learning quantum-safe (RQ1, pp. 13-14; RQ2, pp. 14-15; RQ3, pp. 15-17; RQ4, p. 17)"
"Metodologia","Revisão narrativa (explicitamente não sistemática) da literatura de 2005-2025 (janela de elegibilidade 2010-2025); bases de dados IEEE Xplore, Scopus, Web of Science, ACM Digital Library, além de literatura cinzenta (relatórios, policy briefs); busca booleana com refinamento iterativo, encadeamento de referências e uso seletivo de ferramentas de IA generativa para agrupamento temático; fluxo de cinco estágios (Identify, Screen, Select, Classify, Synthesize) guiado por quatro questões de pesquisa RQ1-RQ4; número de estudos incluídos Não especificado (Sec. 2.1-2.6, pp. 7-9)"
"Impacto nas Métricas de MTTD e MTTR","Não especificado quantitativamente - nenhuma medição de MTTD, MTTR, fadiga de alertas ou tempo de resolução é reportada. Apenas afirmações qualitativas: sistemas legados sofrem de latência de detecção (Sec. 1.2, p. 3); a integração de Agentic AI com blockchain leva a ""significant improvements in anomaly detection accuracy and incident response efficiency"" (Sec. 3.2, p. 10); ""AI-driven anomaly detection and threat prediction significantly improve incident response"", embora a suscetibilidade adversarial limite a implantação (Sec. 5.7, p. 20)"
"Impacto Geral em Agentic AI / Sistemas Multiagente","Estudo de caso: um sistema implantado de agentes DRL com interfaces de analista baseadas em LLM selecionou dinamicamente estratégias de monitoramento/decepção/remediação, ""outperforming baseline static defenses in adversarial testing environments"" contra ataques simulados de red team (RQ1 case study, p. 14). Piloto quantum-safe: PQC híbrida Kyber/McEliece com gestão de chaves orientada por IA alcançou ""sub-4ms encryption latency"" e nenhuma vulnerabilidade ao algoritmo de Shor (RQ3 case study, p. 17). Barreiras: alto custo, complexidade de integração com sistemas legados, escassez de competências, preocupações éticas; habilitadores: protocolos A2A/MCP, colaboração multi-stakeholder, arquiteturas XAI modulares (RQ4, p. 17; Table 5). Bibliometria: o campo atingiu o pico em 2023, com mais de 1,200 artigos e mais de 30,000 citações (Sec. 3.3, p. 11)"
"Limitações / Trabalhos Futuros","Limitações reconhecidas pelos autores: rápida obsolescência dos achados em IA-cibersegurança; viés de dados e generalização limitada dos estudos de detecção; a dependência de simulação restringe a validade ecológica; vulnerabilidades adversariais subnotificadas; viés de idioma/indexação (Sec. 2.7, p. 9); viés de seleção, subjetividade da interpretação humana, métricas heterogêneas, viés de publicação, limitação temporal (Sec. 5.8, p. 20). Trabalhos futuros em horizontes faseados: curto prazo, XAI e defesa adversarial (1-3 anos); médio prazo, federated learning com protocolos quantum-safe (3-7 anos); longo prazo, IA neurossimbólica e reinforcement learning multiagente aprimorado por computação quântica (7+ anos); as lacunas incluem benchmarking de autonomia cognitiva e calibração de confiança humano-agente (Sec. 5.7, p. 20; Table 6, p. 19)"
"Relevância para Minha Dissertação","Esta revisão fornece vocabulário conceitual diretamente transferível para um copiloto de Agentic AI para resposta a incidentes: sua taxonomia de padrões de design (especialmente assistentes de triagem de ameaças Human-in-the-Loop em SOCs e arquiteturas híbridas humano-agente DRL+LLM) espelha o modelo de orquestração de copiloto visado pela minha dissertação, e sua taxonomia de níveis de autonomia ajuda a posicionar um copiloto entre a assistência semiautônoma e a autonomia plena. Sua evidência de que sistemas agênticos melhoram a eficiência da resposta a incidentes, ao mesmo tempo em que observa que o trabalho conceitual domina sobre a implantação empírica, reforça a lacuna da minha dissertação: a ausência de resultados medidos de MTTD/MTTR para abordagens agênticas. A discussão de governança (supervisão humana, EU AI Act, NIST AI RMF) informa o design de responsabilização human-in-the-loop de um copiloto em produção. Contudo, o artigo é centrado em cibersegurança (não em SRE/AIOps) e não oferece métricas de incidentes que eu possa reutilizar como baselines."
"Pontuação de Relevância","Média - adjacente: revisa arquiteturas agênticas/multiagente, padrões human-in-the-loop e resposta autônoma a incidentes em cibersegurança, mas não reporta medições de MTTD/MTTR e não aborda diretamente observabilidade de operações de TI ou AIOps."
"ID do Artigo","P33"
