"Field","Extraction"
"Title","A Review of Trustworthy and Explainable Artificial Intelligence (XAI)"
"Authors","Vinay Chamola; Vikas Hassija; A Razia Sulthana; Debshishu Ghosh; Divyansh Dhingra; Biplab Sikdar"
"Year & Venue","2023; IEEE Access, vol. 11 (DOI 10.1109/ACCESS.2023.3294569)"
"Core Problem Addressed","AI systems operate as ""black boxes"" with little insight into their underlying structure, making them vulnerable to security attacks, bias, and loss of human trust; the authors state that ""no comprehensive study has been conducted on all elements of trustworthy AI, as well as the integration of XAI with various sectional backgrounds"". The paper does not address IT operations, SRE, observability, or incident response (Abstract, p. 78994; Sec. I, p. 78996)"
"Proposed Solution / Agentic AI Role","Not an agentic framework: a review of building Trustworthy AI (TAI) via the European Commission's seven principles (human agency and oversight, robustness and safety, privacy and data governance, transparency, diversity and fairness, societal/environmental well-being, accountability) and of XAI via two routes: transparent design (simulatability, decomposability, computational transparency) and post-hoc explainability (global methods: model extraction/knowledge distillation, feature-based methods, PDP, ALE, H-statistic; local methods: ICE, LIME, local approximation, propagation-based). Human-in-the-loop design is covered as governance: HITL, human-on-the-loop (HOTL), and human-in-command (HIC) oversight mechanisms (Sec. II.A.2, p. 78997; Sec. III.E, p. 79002; Sec. IV.A-B, pp. 79004-79005)"
"Methodology","Narrative literature review / survey covering TAI components, XAI methods, and sector applications (healthcare, banking/commerce, IoT, autonomous systems); no systematic protocol, search strategy, database list, inclusion criteria, or paper-count sample size is reported; no dataset or experiment of the authors' own (Sec. I, p. 78996; Fig. 3, Sec. V, p. 79006; Table 2, p. 79011)"
"Impact on MTTD & MTTR Metrics","Not applicable; the paper reports no MTTD, MTTR, alert-fatigue, or incident-resolution-time metrics of any kind (entire paper; Secs. I-VII, pp. 78994-79011)"
"General Impact on Agentic AI / Multi-Agent Systems","Very limited: multi-agent systems appear only via a cited overview of privacy and security for distributed/federated learning in ""Trusted AI in multi-agent systems"" (ref. [21]) and via robustness requirements when ""other agents (both humans and machines)"" engage antagonistically; autonomous systems (vehicles, robots) are analyzed for explainability, safety norms (ISO 21448, ISO 26262, ISO/TC 204) and stakeholder trust, noting explainability tends to be inversely correlated with predictive performance; no efficacy, latency, cost, or orchestration-overhead results for agentic systems are reported (Sec. II.B, p. 78998; Sec. III.C, p. 79001; Fig. 9, p. 79004; Sec. V.C, pp. 79008-79010)"
"Limitations / Future Work","Authors acknowledge: ""the replicability of the post-hoc explainability methodologies, the absence of a unified understanding, set of criteria, and set of metrics"" for interpretability, the friction between efficiency and predictability, and limitations in explaining deep neural networks; future work is stated only generically as identifying potential relevant studies and open challenges (Sec. VI, p. 79011)"
"Relevance to My Thesis","This survey supplies the trust and explainability vocabulary an incident-response copilot must satisfy rather than any incident-management evidence. Its HITL/HOTL/HIC oversight taxonomy maps directly onto the human-in-the-loop design of an Agentic AI copilot that proposes detection and remediation actions to SREs, and the seven EC trustworthiness principles (especially transparency, robustness, accountability) can justify design requirements for on-call operators to accept agent recommendations. The explainability-versus-accuracy trade-off (Fig. 9) is a useful caution when choosing LLM-based agents whose reasoning must be auditable during incidents. However, it contains no AIOps, observability, or MTTD/MTTR content, so it can only support background sections on trustworthy agent design, not the core empirical argument."
"Relevance Score","Low; the paper is a general TAI/XAI review with no agentic-AI incident-response application and no MTTD/MTTR or AIOps measurement, making it only tangential background on trust and human oversight for the thesis."
"Paper ID","P17"
