"Field","Extraction"
"Title","A decentralised self-healing approach for network topology maintenance"
"Authors","Arles Rodríguez; Jonatan Gómez; Ada Diaconescu"
"Year & Venue","2021; Autonomous Agents and Multi-Agent Systems (JAAMAS, Springer), vol. 35, article 6; accepted 27 October 2020, published online 27 November 2020"
"Core Problem Addressed","Recovering large-scale distributed systems (server farms, clouds, sensor networks) from node failures while preserving the original network topology, on which reconfiguration cost, distributed algorithms and traffic performance strongly depend; downtimes can generate ""losses of thousands of dollars per minute"" and human experts ""may be unable to react fast enough for dealing with multiple failures within short periods"", so fast automated self-healing is needed — unlike prior work that only preserves connectivity or diameter, not topology (Sec. 1, p. 2; Sec. 2, p. 4)."
"Proposed Solution / Agentic AI Role","A decentralised multi-agent self-healing approach with two mechanisms: (1) runtime collection/dissemination of topology data, via either mobile agents (the authors' proposal, moving with the 'random with marks' algorithm, carrying topology dictionaries and being discarded once their redundancy counter reaches k) or Trickle (RFC6206 ""polite gossip"" baseline adapted to discrete rounds, Imin=1 round, Imax=2^16 rounds, k=3); and (2) local node recovery: nodes are static agents that detect neighbour failures by comparing heartbeat-based perception at round t with memorised local topology at t-1, and the alive neighbour with the minimum node id recreates and reconnects the failed node, sharing its local topology data with the replica; fully autonomous, with no LLM and no human-in-the-loop (Sec. 3.3, pp. 7-8; Sec. 4.3, p. 16; Sec. 4.4, pp. 17-18)."
"Methodology","Agent-based simulation study documented with the ODD protocol, run in a multi-threaded multi-agent simulator on a single machine (source code on GitHub); six topologies: Small-world, Community, Scale-free, Hub & Spoke and Forest Hub & Spoke (~100 nodes each) plus the SNAP as19981231 Internet-router network (512 nodes, 1273 edges); node failure probability pf in {0.5, 0.25, 0}; each experiment repeated 30 times over 100 rounds (or (start, stop, end) failure intervals of 25+25 rounds after data-collection reference points); metrics: memory (bytes), bandwidth overhead (bytes), number of messages received, and network similarity (%) to the original topology via a neighbour-matching graph similarity metric (Sec. 3, pp. 6-12; Sec. 5.1, pp. 18-20; Sec. 5.2, p. 20)."
"Impact on MTTD & MTTR Metrics","Not specified — no MTTD, MTTR, alert fatigue or incident resolution time metrics are reported; recovery is measured as network similarity over simulation rounds: with full prior topology knowledge all six networks recovered 100% at pf=0.25, and AS, Community and Small-world also at pf=0.5 (failed runs out of 30 at pf=0.5: Scale-free 6, Forest Hub & Spoke 7, Hub & Spoke 8); with runtime data-collection, similarity drops during the 25-round failure period and ""recovers to 100% (or almost 100%)"" after failures stop — mobile agents with k=3 on the AS network reached a median similarity of 99.95%, corrected to 100% by raising k to 5 (Sec. 5.2, Table 5, p. 20; Sec. 5.4, pp. 22-24)."
"General Impact on Agentic AI / Multi-Agent Systems","Mobile agents achieved self-healing equivalent to the Trickle baseline while incurring lower bandwidth overheads (""up to 100% difference for the 'AS' network""; max RPD 105.63% in Table 7), because agents carry only partial, neighbourhood-local topology data — shown to suffice for full recovery even when failures start before collection completes; trade-offs: Trickle disseminates the complete topology faster (13 vs 38 rounds on AS) and exchanges fewer messages (mobile agents up to 146.08% RPD more, Hub & Spoke, Table 8, mostly lightweight 'visited-status' pings), while mobile agents consume up to 38% more total memory during collection on AS but up to 20% less once agents are dropped (Sec. 5.4, p. 22; Sec. 5.5, pp. 24-29, Tables 7-10; Sec. 5.6, pp. 29-33)."
"Limitations / Future Work","Stated assumptions: the number of simultaneously failing interconnected nodes is limited so repair outruns failures; nodes fail independently (internal failures only — not valid for interdependent networks); any node can be recreated/reconnected; uniqueness of node recreation relies on synchronous rounds and a dedicated ping channel — parallel node executions may create duplicates (future work); marginal nodes (degree 1-2) are prone to being lost at high pf; future work: determine the minimum neighbourhood information needed for recovery, prune transmitted topology data to a specific number of hops, evaluate scaling to networks orders of magnitude larger, adopt more sophisticated leader election, and apply the approach to container networks (Sec. 3.2, p. 6; Sec. 3.4, pp. 8-9; Sec. 4.4, pp. 17-18; Sec. 5.6, pp. 29-33; Sec. 6, pp. 33-34)."
"Relevance to My Thesis","This paper supplies a classical (pre-LLM) multi-agent blueprint for the autonomous-remediation half of my thesis: heartbeat-based neighbour monitoring maps conceptually onto detection (MTTD) and decentralised node recreation onto recovery (MTTR), and its motivation — cloud downtimes costing thousands of dollars per minute with humans too slow to react — mirrors my problem framing. Its key empirical insight, that local neighbourhood knowledge suffices for full recovery, and its quantified orchestration trade-offs (bandwidth vs memory vs message overheads across topologies) inform how I can argue and measure the cost side of multi-agent incident-response designs. However, it is a simulation on abstract network topologies with no LLM copilot, no human-in-the-loop and no incident-management metrics, so it serves as background evidence on multi-agent self-healing rather than direct support for MTTD/MTTR reduction."
"Relevance Score","Medium — adjacent work: a fully autonomous multi-agent self-healing approach for failure detection and recovery in distributed networks (cloud/data-centre motivation), but with no LLM/agentic copilot and no MTTD/MTTR measurement."
"Paper ID","P88"
