"Campo","Extração"
"Título","Enhancing Autonomous System Security and Resilience with Generative AI: A Comprehensive Survey"
"Autores","Martin Andreoni; Willian T. Lunardi; George Lawton; Shreekant Thakkar"
"Ano e Veículo","2024; IEEE Access (versão do autor aceita; DOI 10.1109/ACCESS.2024.3439363)"
"Problema Central Abordado","Sistemas autônomos (UAVs/UxVs, carros autônomos, braços robóticos) enfrentam desafios crescentes de segurança, resiliência e safety decorrentes de complexidade, conectividade e ameaças ciberfísicas; abordagens tradicionais de AI/ML são insuficientes em detecção de intrusão, avaliação de risco e resiliência de sistemas para esses ambientes de borda sensíveis ao contexto (Sec. I, pp. 1-2)."
"Solução Proposta / Papel da Agentic AI","Survey que mapeia como modelos de GenAI (GANs, VAEs, Transformers, LLMs, GDMs, NFMs, VLMs) aprimoram segurança e resiliência em quatro domínios: entidades individuais (detecção de anomalias, autonomia, adaptabilidade, manutenção preditiva, gestão de falhas), frota (inteligência de enxame, coordenação, resiliência de comunicação, consenso), interação humano-robô (planejamento de missões, human-machine teaming via laço de retroalimentação MAPE-KMT, meta-learning, safety) e cibersegurança (pentesting, detecção de malware/intrusão, inteligência de ameaças, zero-trust); elementos agênticos incluem LLMs multiagente da TII em dispositivos individuais colaborando para planejar e executar tarefas de intent-based networking, e frameworks baseados em LLM (DriveLLM, REAL, COA-GPT, LLM-Brain) para tomada de decisão em tempo real (Sec. IV, pp. 7-17; Sec. IV-B.2, p. 11)."
"Metodologia","Survey abrangente da literatura (estudo secundário) categorizando a pesquisa existente sobre GenAI para sistemas autônomos; compara 17 surveys anteriores na Table 1 e organiza os estudos primários em uma taxonomia de quatro domínios de aplicação mais desafios/direções futuras; nenhum protocolo de revisão sistemática (strings de busca, bases de dados, critérios de inclusão) ou contagem de artigos é reportado (Sec. I-II, pp. 2-5; Fig. 1, p. 3; Não especificado quanto aos detalhes de protocolo de SLR)."
"Impacto nas Métricas de MTTD e MTTR","Não aplicável — o survey não reporta métricas de MTTD, MTTR, fadiga de alertas ou tempo de resolução de incidentes; os análogos mais próximos são qualitativos/indiretos: o BERTery detecta mudanças de comportamento de bateria indicando ""an imminent failure up to 24 hours in advance"" (Sec. IV-A.5, p. 10); o porte para FPGA de algoritmos de detecção de falhas proporcionou ""a fortyfold increase in processing speed and a 50% reduction in power consumption"" (Sec. IV-A.5, p. 10); o ARCADE atinge maior acurácia e tempos de resposta mais rápidos processando os pacotes iniciais de um fluxo de rede (Sec. IV-D.3, p. 16)."
"Impacto Geral em Agentic AI / Sistemas Multiagente","Resultados multiagente e de enxame reportados a partir dos trabalhos analisados: o MAPPO-GAIL alcançou ""a 73.3% increase in cooperative search efficiency"" sobre DRL tradicional (Sec. IV-B.2, p. 11); o LMPC (PaLM 2) melhorou a eficácia de ensino em 26,9% para tarefas novas e a adaptabilidade a novas configurações de robôs em 31,5% (Sec. IV-C.3, p. 13); a coordenação por blockchain (DPOS/PBFT) escala para 500 nós com overhead mínimo (Sec. IV-B.2, p. 11); o ChatGPT e o GitHub Co-Pilot foram ""ineffective in generating practical code for consensus protocols"", enquanto candidatos gerados por RL foram mais promissores (Sec. IV-B.4, p. 12); o GPT-4 custou cerca de $0.006 por 750 palavras e configurações multiagente/federadas abrem superfícies de ataque de sistemas complexos (Sec. V, p. 17)."
"Limitações / Trabalhos Futuros","Desafios reconhecidos pelos autores: alto custo e demanda computacional (LLMs restritos a servidores de alto desempenho; casos de borda ainda exigem intervenção humana), degradação de acurácia dos modelos e alucinações, riscos de privacidade e ataques de extração de dados, vulnerabilidades adversariais (jailbreak, prompt injection, ataques multimodais e de sistemas complexos) e limites de tamanho/escalabilidade para implantação na borda (Sec. V, pp. 17-18); direções futuras: autenticação contínua, AI firewalls, benchmarks de segurança (CyberMetric, SecQA, CyberBench), padrões de explicabilidade/transparência, adaptação dinâmica de políticas de segurança e integração escalável de IA ética (Sec. V-A, p. 18); muitos projetos analisados estão ""early in their maturity"" (Sec. IV, p. 7)."
"Relevância para Minha Dissertação","Este survey é tangencial à dissertação: seu domínio são sistemas autônomos ciberfísicos (drones, veículos, robôs), não operações de TI, observabilidade ou resposta a incidentes, e nunca mede MTTD/MTTR. Ainda assim, oferece evidências transferíveis de que agentes de GenAI/LLM melhoram funções de detecção e recuperação — detecção de anomalias, predição de falhas com até 24 horas de antecedência, self-healing via depuração automatizada e geração de código, e colaboração de LLMs multiagente para planejamento de tarefas — que se assemelham aos papéis de copilot previstos na dissertação. Sua discussão de human-machine teaming MAPE-KMT e seu catálogo de modos de falha de LLMs (alucinação, prompt injection, custo, latência) são úteis para projetar salvaguardas human-in-the-loop para um copilot de resposta a incidentes. É mais bem utilizado como contextualização sobre mecanismos de resiliência de GenAI e riscos agênticos do que como evidência de melhoria de métricas de incidentes."
"Pontuação de Relevância","Baixa — survey abrangente de GenAI para segurança no domínio de sistemas autônomos (UxV/robótica), sem conteúdo de AIOps, gestão de incidentes ou MTTD/MTTR; apenas conceitualmente adjacente via detecção de anomalias, self-healing e coordenação de LLMs multiagente."
"ID do Artigo","P12"
