Field,Extraction
"Title","An architecture for model-based and intelligent automation in DevOps"
"Authors","Romina Eramo; Bilal Said; Marc Oriol; Hugo Bruneliere; Sergio Morales"
"Year & Venue","2024; The Journal of Systems & Software (JSS), Elsevier, vol. 217, article 112180"
"Core Problem Addressed","There is ""no holistic approach that can support and enhance the growing challenges of DevOps"" for complex systems: organizations have local, per-team DevOps implementations, and few approaches combine MDE, DevOps and AI altogether with dedicated tooling support (Abstract, p. 1; Sec. 1-2.1, pp. 1-2). Identified challenges: heterogeneity, flexibility, integration, collaboration (architectural) and data management, modeling support, AI-powered DevOps (technical) (Sec. 2.2, pp. 2-3)."
"Proposed Solution / Agentic AI Role","A software architecture (AIDOaRt project) for a model-based framework combining MDE, DevOps and AI/ML, defined as a hierarchy of UML components in three layers: Data Engineering Tool Set (Data Collection, Management, Representation via a UML mega-model), Core Tool Set (Storage, Computation, Data/Model handling, Accountability and Explainability services), and AI-Augmented Tool Set with AIOps Engineering capabilities (Ingestion & Handling, Engagement & Analysis incl. root cause analysis, anomaly detection, predictive analysis; Automation incl. remediation and response automation for ""automate routine tasks, incident handling, threat mitigation"") plus AI DevOps Engineering (AI for Requirements, Modeling, Code, Testing, Monitoring) (Sec. 3, pp. 3-7). ML techniques used include HGNNs, DBSCAN for failure logs, automata learning, Generative AI for test scenarios and LLMs to ""formally verify functional requirements"" (Sec. 2.1, p. 2). No agentic/multi-agent or copilot orchestration model; four integration mediation patterns link case study requirements to solutions (Sec. 4, pp. 7-8)."
"Methodology","Architecture design plus practical evaluation within the European AIDOaRt ECSEL-JU project (32 partners, 7 countries): qualitative evaluation via application to 10 industrial CPS case studies (3 detailed: AVL automotive, Alstom/BT railway, Volvo CE construction), and quantitative evaluation via mapping links between case studies, architecture components and solutions (Sec. 6.1-6.3, pp. 9-17). 54 technological solutions from 22 partners; 128 functional and data requirements summarized into 30 generic requirements (Sec. 6.1, p. 10); ⚠ Ambiguous: Sec. 6.3.1 (p. 16) instead reports 126 specific requirements mapped into 47 generic, and Sec. 5.1 (p. 8) states the architecture was implemented by ""overall 136"" solutions. VCE user study with 4 engineers (Sec. 6.2.3, p. 15)."
"Impact on MTTD & MTTR Metrics","Not specified. No MTTD, MTTR, alert fatigue or incident resolution time metrics are measured; incident-related capabilities appear only as architectural intentions, e.g., ""reduce downtime with proactive detection"" (Sec. 1, p. 2) and response automation to ""automate routine tasks, incident handling, threat mitigation"" (Sec. 3.3, p. 6). Reported quantitative results concern requirements engineering instead: RAC ambiguity detection accuracy 80%, VARA reuse recommendation accuracy 71%, NLP4RE similar-requirements accuracy 60% (Sec. 6.2.2, pp. 13-14)."
"General Impact on Agentic AI / Multi-Agent Systems","Not applicable for agentic/multi-agent systems (none used). For the AI-augmented architecture: 91% of actual provider collaborations were already identified as potential indirect links via component mappings (Sec. 6.3.1-A4, p. 16); component coverage, e.g., Engagement & Analysis had 16 solutions/39 mapped requirements, Automation 13/13, AI for Monitoring 4/19 (Table 4, p. 17); AVL driving-profile model ""significantly better models the driver speed profile"" than the company's rule-based method per expert visual inspection (Sec. 6.2.1, pp. 11-12)."
"Limitations / Future Work","Lack of an architecture quality analysis assessment (per ATAM); that analysis is under development for a future contribution (Sec. 10, p. 19). Initial learning curve for partners with limited modeling/AI experience (Sec. 8, p. 18). Evaluation limited to AIDOaRt partner companies (external validity) and authors ""have been cautious to avoid making too strong statistical conclusions"" (Sec. 7.3-7.4, p. 18). AVL and EMF Views results based on limited datasets/models; deeper VCE user evaluation with more participants planned (Sec. 6.2.1, p. 11; Sec. 6.2.3, p. 15)."
"Relevance to My Thesis","This paper provides an architectural reference for how AIOps capabilities (ingestion, anomaly detection, root cause analysis, remediation, response automation) can be structured into layered components, which can inform the design of an Agentic AI copilot pipeline for incident response. Its explicit Automation component, codifying insights into remediation and incident handling, mirrors the actuation stage a copilot would need to reduce MTTR, and its Monitoring data model ties evaluation metrics to automatic anomaly/degradation assessment relevant to MTTD. However, it is development-time DevOps/MDE-focused, uses no agents or LLM copilots operationally, and reports no incident metrics, so it serves mainly as background on AI-augmented DevOps/AIOps architecture and integration strategy rather than as empirical evidence for the thesis."
"Relevance Score","Low - the architecture includes AIOps components conceptually, but the paper is about MDE/DevOps for CPS development, contains no agentic AI or LLM copilot, and measures no MTTD/MTTR or incident-response outcomes."
"Paper ID","P18"
