Field,Extraction
"Title","Retail Resilience Engine: An Agentic AI Framework for Building Reliable Retail Systems With Test-Driven Development Approach"
"Authors","Lalit Narayan Mishra; Biswaranjan Senapati"
"Year & Venue","2025; IEEE Access, vol. 13, pp. 50226-50243; DOI 10.1109/ACCESS.2025.3552592"
"Core Problem Addressed","Retail systems must balance reliability and resilience with rapid adaptability to market demand; traditional upgrades rely on static rules or manual interventions, and manually developing TDD test cases correlating many interdependent retail elements is ""time-consuming and error-prone""; integration of TDD with AI-driven models remains underexplored (Sec. I.B-I.C, pp. 50226-50227)"
"Proposed Solution / Agentic AI Role","Retail Resilience Engine (RRE): an agentic AI framework integrating Test-Driven Development with an LLM; a GPT-style transformer (custom architecture, Table 4) acts as the single agent replacing the human TDD specialist; four layers: Data Source, Pre-processing, Feature Management, and Software Layer (AI Agent API for real-time automated test execution, Data Flow API, Application Control Unit for continuous verification); a cosine-similarity keyword-based prompt filtering mechanism blocks irrelevant inputs; human experts serve as evaluation baseline rather than in-the-loop operators (Sec. III.A-III.C, G, pp. 50229-50230, 50235; Fig. 1)"
"Methodology","Prototype development plus experimental evaluation: transformer trained on 1,00,000 [sic] documents (5,000 customer feedback reviews, 10,000 inventory records, 50,000 operational log documents, 35,000 retail analytics/system log documents) with 80-10-10 train/validation/test split; training on four NVIDIA A100 GPUs, learning rate 0.001, batch size 32, 150 epochs, Adam optimizer; 5-fold cross-validation; experiments: RDIA comparison with human experts (>10 years experience) on 10 retail queries, implementation plan quality rated 1-5 by uninvolved experts, scalability (100/500/1000 queries), robustness across 10 retail domains, filtering (5 experiments), paired t-test; paper also includes a Kitchenham/PRISMA SLR (212 papers retrieved, 48 included) to identify gaps (Sec. II-IV, pp. 50227-50239)"
"Impact on MTTD & MTTR Metrics","Not applicable — the paper does not measure MTTD, MTTR, alert fatigue, or incident resolution time; reliability is assessed via decision alignment, plan quality, scalability, robustness, and filtering accuracy only (Sec. IV, pp. 50235-50239)"
"General Impact on Agentic AI / Multi-Agent Systems","RDIA Pearson correlation ρ = 0.96 between RRE and human expert decisions (paired t-test p-value 0.021, α = 0.05); ⚠ Ambiguous: abstract and conclusion instead state a ""similarity index of 97.5%""; implementation plan quality 13 out of 15, on par with experts; accuracy, precision, recall, F1 consistent from 100 to 1000 queries with accuracy exceeding 90% across all 10 retail domains; prompt filtering accuracy 98.20% (abstract: 98.2%; Sec. III.G: 98.22%); inference 52 milliseconds per query and 4.2 GB memory on an NVIDIA A100; authors note agentic AI decision latency and unpredictable-scenario handling as challenges (Sec. IV.C-H, pp. 50236-50239; Sec. V.I, p. 50241; Abstract)"
"Limitations / Future Work","Data privacy/ethical concerns (GDPR, CCPA; future federated learning and differential privacy); effectiveness limited to predefined retail categories; black-box lack of explainability (future XAI); real-time processing needs optimization (compression, quantization, pruning); heuristic hyperparameter settings (future Bayesian optimization); centralized cloud design (future IoT/edge hybrid); future saliency-based anomaly detection; full automation not yet achieved (future reinforcement learning); agentic AI challenges: decision latency, unprecedented market conditions, dependence on high-quality data (Sec. V, pp. 50240-50241)"
"Relevance to My Thesis","This paper exemplifies a single-agent agentic AI framework in which an LLM replaces a human specialist for reliability-oriented engineering tasks, which is conceptually analogous to an incident-response copilot replacing or augmenting on-call engineers. Its evaluation methodology — expert-alignment correlation, plan quality scoring, scalability/robustness tests, and prompt filtering — offers reusable evaluation patterns for validating an agentic copilot against human SRE decisions. The use of operational and system logs as training data touches observability data sources relevant to AIOps. However, it targets retail system development resilience, not incident detection or recovery, and reports no MTTD/MTTR or incident-management metrics, so its contribution to the thesis is methodological and architectural rather than metric-based."
"Relevance Score","Low — the paper applies agentic AI to retail system reliability via TDD and reports no incident-response, MTTD, or MTTR measurements, making it only tangential to the thesis topic."
"Paper ID","P13"
