"Campo","Extração"
"Título","WAUC: A Multi-Modal Database for Mental Workload Assessment Under Physical Activity"
"Autores","Isabela Albuquerque; Abhishek Tiwari; Mark Parent; Raymundo Cassani; Jean-François Gagnon; Daniel Lafond; Sébastien Tremblay; Tiago H. Falk"
"Ano e Veículo","2020; Frontiers in Neuroscience (Front. Neurosci.), vol. 14, artigo 549524"
"Problema Central Abordado","Modelos objetivos de mental workload (MW) existentes são treinados com sujeitos estáticos e dispositivos de grau clínico e não se transferem para operadores ambulantes do mundo real (ex.: first responders, bombeiros, policiais), devido a artefatos de movimento e à interação entre atividade física e MW; segundo os autores, não existia dataset multimodal público baseado em wearables para avaliação de MW sob atividade física (Sec. 1 e Sec. 2.4, pp. 1-4)"
"Solução Proposta / Papel da Agentic AI","Não há AI agents, LLMs ou frameworks de automação envolvidos; a contribuição é o WAUC, uma base de dados multimodal aberta: 48 participantes executaram o NASA MATB-II (system monitoring, tracking, resource management) sob 2 níveis de MW (low/high) x 3 níveis de atividade física (no/medium/high) em bicicleta estacionária ou esteira, com 7 modalidades sincronizadas no tempo (EEG, ECG, breathing rate, skin temperature, GSR, blood volume pulse, acelerometria de 3 eixos) registradas por wearables off-the-shelf (headset EEG Enobio de 8 canais, pulseira Empatica E4, Zephyr BioHarness3) sincronizados com o software MuLES, além de avaliações subjetivas NASA-TLX e escala de fadiga de Borg; dados brutos, features e scripts liberados em http://musaelab.ca/resources/ (Sec. 1, p. 2; Sec. 3, pp. 4-8)"
"Metodologia","Artigo de base de dados/recurso com experimento controlado de laboratório e estudo de validação; 48 participantes (22 esteira: 9 homens/13 mulheres; 26 bicicleta: 16 homens/10 mulheres; idade média 27.4 ± 6.6 anos), desenho fatorial completo 2 MW x 3 níveis de esforço físico intra-sujeito, seis sessões de 18 min (~2 h por participante), ordem contrabalanceada; validação via ANOVA de medidas repetidas com modelo misto sobre avaliações NASA-TLX/Borg e classificação binária de MW com Random Forest (15 estimadores) avaliada por AUC sob validação cruzada mixed-subjects, intra-subject e leave-one-subject-out (Sec. 3, pp. 4-8; Sec. 4, pp. 8-9)"
"Impacto nas Métricas de MTTD e MTTR","Not applicable — não são reportadas métricas de resposta a incidentes, MTTD, MTTR ou alert fatigue; os resultados quantitativos são AUCs de classificação de mental workload (ex.: AUC de EEG mixed-subjects de 0.945 ± 0.004 sob alta atividade física; fusão multimodal cross-subject com AUC de até 0.998 ± 0.001; leave-one-subject-out próximo do acaso, ex.: 0.500 ± 0.049 para EEG em todas as condições) (Sec. 5.2-5.4, pp. 9-12)"
"Impacto Geral em Agentic AI / Sistemas Multiagente","Not applicable — nenhum sistema agentic ou multiagente é proposto ou avaliado; os achados dizem respeito ao monitoramento de operadores humanos: todas as avaliações subjetivas foram significativamente afetadas pela manipulação de MW (p < 0.05), o physical workload afetou significativamente todas as dimensões do NASA-TLX exceto Performance, features de EEG e respiração tiveram o melhor desempenho por modalidade única, a fusão multimodal melhorou a robustez ao aumento do esforço físico, e as features não se mostraram robustas à variabilidade entre sujeitos (Sec. 5, pp. 9-12)"
"Limitações / Trabalhos Futuros","Atingir desempenho estado-da-arte na predição de MW explicitamente não era prioridade (""achieving state-of-the-art MW level prediction performance is not a priority""); classificadores leave-one-subject-out tiveram desempenho fraco, mostrando que as features ""are not robust to cross-subject variability""; a literatura de remoção de artefatos é escassa para sinais fisiológicos sob alto esforço físico; direções futuras incluem estudar a interação atividade física-MW, remoção de artefatos de EEG para wearables de baixa densidade, detecção de variações de intensidade de MW, representações profundas invariantes ao sujeito e modelos adaptativos a mudanças de SNR e a novos sujeitos (Sec. 4.1, p. 8; Sec. 5.2, p. 10; Sec. 5.5, pp. 12-13)"
"Relevância para Minha Dissertação","Este artigo não contém conteúdo de Agentic AI, AIOps ou resposta a incidentes e não reporta resultados de MTTD/MTTR, portanto não informa diretamente a arquitetura do copilot da minha pesquisa. Seu valor restringe-se ao Outcome COGNITIVE_LOAD da RSL: ele operacionaliza a medição de mental workload por instrumentos subjetivos validados (NASA-TLX, escala de Borg) e sinais psicofisiológicos de wearables de consumo, o que pode inspirar como medir carga cognitiva e alert fatigue de SREs de plantão ao avaliar um copilot de Agentic AI durante resposta a incidentes. O achado de que modelos de MW generalizam mal entre sujeitos é um alerta para qualquer componente de monitoramento do estado do operador. No geral, é material de fundo sobre metodologia de medição de workload, e não evidência para as questões centrais da dissertação."
"Pontuação de Relevância","Low — o estudo é tangencial: fornece uma base de dados de avaliação de mental workload sem abordagem agentic/AI para resposta a incidentes e sem medição de MTTD/MTTR, relacionando-se à dissertação apenas pelos instrumentos do outcome COGNITIVE_LOAD."
"ID do Artigo","P69"
