"Field","Extraction"
"Title","Agent System Mining: Vision, Benefits, and Challenges"
"Authors","Andrei Tour; Artem Polyvyanyy; Anna Kalenkova"
"Year & Venue","2021; IEEE Access, vol. 9 (received June 16, 2021; published July 8, 2021)"
"Core Problem Addressed","Process Mining techniques make simplifying assumptions about business processes, and relaxing these assumptions yields more realistic process models that are ""often difficult to visualize and, consequently, to understand"" — the ""spaghetti process models"" problem; manual design and update of process models also take significant time and effort (Sec. I, pp. 99480-99481)."
"Proposed Solution / Agentic AI Role","Proposes Agent System Mining (ASM), combining Process Mining with Agent-Based Modeling (ABM) to automatically infer Multi-Agent System (MAS) models of operational business processes from real-world event data; macro-level process behavior emerges bottom-up from micro-level autonomous agent interactions instead of a centralized control flow; the ASM Framework maps activities to a V-model MAS modeling lifecycle with five phases (Motivate, Plan, Develop, Evaluate, Use) and seven ASM activities (search, project, discover, enhance, integrate, diagnose, check); Phases 1 and 5 are manual (human modelers/BPM stakeholders), while ASM algorithms partially or fully automate Phases 2-4; no LLMs or copilot design are involved (Sec. IV, Figs. 6-7, pp. 99485-99488)."
"Methodology","Vision/conceptual position paper: (1) a motivating example of an ""order fulfillment"" retail process using GIS data from the AnyLogic ""Supply Chain GIS Model"", with DFM models discovered by the Disco tool and a MAS simulation in AnyLogic (Sec. II, pp. 99481-99483); (2) a structured literature review following vom Brocke et al. and Cooper's taxonomy: queries on Scopus and Web of Science (executed 16 February 2021, publications >= 2010) returned 2,094 merged publications, filtered to 149 relevant papers analyzed against 3 research questions (Sec. V, pp. 99490-99491); no empirical evaluation, prototype deployment, or controlled experiment is reported."
"Impact on MTTD & MTTR Metrics","Not applicable — the paper reports no incident-response metrics (MTTD, MTTR, alert fatigue, or resolution time); the closest qualitative claim is that automation yields ""shorter model development cycles"" so ""organizations can react faster and take timely actions to resolve arising issues"" (Sec. IV-C, pp. 99488-99489)."
"General Impact on Agentic AI / Multi-Agent Systems","Argues MAS models mitigate ""spaghetti process models"" because MAS behavior complexity can grow over time ""while the size and complexity of the model stay unchanged""; direct benefits: evidence-based modeling, shorter model development cycles, better conformance; indirect benefits: managing complex, flexible, and context-aware processes; identifies 8 challenges: MAS metamodel selection, model scope definition, simulation/static analysis support, model validation, event data selection, agent type discovery, sub-model discovery, and modeling language selection; the review concludes existing works ""do not allow, neither individually nor collectively, implementing the ASM framework"" (Sec. IV-C, IV-D, Sec. V-C2, pp. 99488-99492)."
"Limitations / Future Work","The proposal is a vision without implemented ASM algorithms or empirical validation; future research organized around three areas: metamodels/formalisms for representing MAS models discovered from business process data, ASM algorithms for discovering and enhancing executable MAS models, and techniques for assessing the quality of discovered MAS models; further analysis of ASM benefits across application domains and industry sectors is needed to validate the ASM Framework (Sec. VI, p. 99492)."
"Relevance to My Thesis","This paper is grounded in BPM/Process Mining, not IT operations or incident response, and predates LLM-based agentic copilots. Its value to the thesis is conceptual: it formalizes how multi-agent models can be discovered from event logs and how micro-level agent behaviors produce emergent macro-level system behavior, a framing that parallels mining incident timelines and observability event data to model on-call/automation agents. Its lifecycle framework (discover, enhance, integrate, diagnose, check) and its challenges (agent type discovery, event data selection, model validation) offer transferable vocabulary for designing and validating an agentic AIOps pipeline. However, it contributes no incident metrics, no LLM techniques, and no copilot architecture, so it can only serve as background on MAS modeling foundations."
"Relevance Score","Low — a conceptual BPM/process-mining vision paper with no AIOps, LLM, or MTTD/MTTR content; only tangentially relevant through its multi-agent modeling framework."
"Paper ID","P19"
