"Campo","Extração"
"Título","Empirical Study on Automation, AI Trust, and Framework Readiness in Cybersecurity Incident Response"
"Autores","Olufunsho I. Falowo; Jacques Bou Abdo"
"Ano e Veículo","2026; Algorithms (periódico MDPI), vol. 19, artigo 62; Recebido em 2 de dezembro de 2025, Publicado em 11 de janeiro de 2026"
"Problema Central Abordado","Frameworks legados de resposta a incidentes (NIST, SANS) e as ferramentas de automação atuais podem não estar prontos para ameaças impulsionadas por IA, e existe uma lacuna de pesquisa na compreensão de como os profissionais lidam com a integração fragmentada de SOAR e com a automação subimplantada em fases críticas como detecção, triagem e contenção, o que diminui seu potencial de reduzir MTTD e MTTR (Sec. 1, p. 1; Sec. 2.6, p. 4)"
"Solução Proposta / Papel da Agentic AI","Nenhum sistema ou arquitetura é proposto; o artigo quantifica empiricamente as percepções de profissionais sobre automação inteligente e adoção de Agentic AI em IR. Agentic AI foi definida para os respondentes como ""autonomous or semi-autonomous AI systems capable of perceiving their environment, reasoning through complex objectives, and taking independent actions"" (por exemplo, atualizar dinamicamente regras de firewall, isolar nós comprometidos), distinta da automação linear baseada em scripts; os achados são posicionados como a fundação empírica para um futuro framework de IR modular e pronto para IA, com modelos de risco específicos para IA, auditabilidade de decisões e mecanismos human-in-the-loop (Abstract, p. 1; Sec. 4.1.2, p. 12; Sec. 6.4, p. 29; Table 5, p. 30)"
"Metodologia","Survey quantitativo estruturado em duas partes (estudo empírico): 10 itens binários Sim/Não sobre automação/confiança em IA (RQ1) + 10 itens binários sobre prontidão de frameworks (RQ2), além de itens de validação psicométrica; 194 respostas válidas de profissionais de cibersegurança baseados nos EUA (alvo n=140 a partir de uma população de 613.500 Computer and Information Systems Managers, 95% de confiança, margem de erro de 4,97%, proporção de resposta de 10%); hospedado no Qualtrics, distribuído via redes LinkedIn, ISC2 e ISACA, aberto da primeira semana de setembro de 2025 à primeira semana de outubro de 2025; aprovado pelo IRB (Univ. of Cincinnati, Protocolo 2025-0022-UC); confiabilidade via alfa de Cronbach/KR-20: 0,82 (Parte 1) e aproximadamente 0,78 (Parte 2) (Sec. 3.1-3.4, pp. 5-9; Sec. 4, p. 10; Sec. 5.2, pp. 23-24)"
"Impacto nas Métricas de MTTD e MTTR","Apenas baseado em percepção, sem valores de tempo medidos: 92% dos respondentes afirmaram que ""automation has significantly reduced the mean time to detect and respond (MTTD/MTTR)"" em suas organizações vs. 8% Não; IC de 95% para n=194: [88,2%, 95,8%]; o artigo também identifica um ""efficiency-capability paradox"": apesar do resultado de 92% para MTTD/MTTR, 70% acreditam que as ferramentas de automação atuais não conseguem acompanhar a evolução dos ataques impulsionados por IA; contrasta com uma SLR anterior [4] em que apenas 38,89% da literatura reconhecia a relevância da automação (Table 3, p. 11; Sec. 4.1.3, p. 12; Sec. 5.1, p. 23; Sec. 5.4-5.5, pp. 25-26)"
"Impacto Geral em Agentic AI / Sistemas Multiagente","84% relatam já integrar sistemas de Agentic AI em processos de IR (IC 95% n=194: [78,8%, 89,2%]); mas apenas 13% confiam na tomada de decisão orientada por IA sem intervenção humana em cenários de alto risco; 37% apoiam triagem/contenção autônomas sem supervisão de analistas; apenas 17% acreditam que os benefícios superam os riscos de falsos positivos/negativos; 20% dizem que fluxos de trabalho de IA tornam os playbooks de IR obsoletos; 74% relatam retreinamento de equipes para ferramentas de IA; 79% defendem uma nova classificação/taxonomia de ferramentas de automação por nível de Agentic AI; 96% apoiam uma revisão de âmbito industrial dos frameworks de IR para incluir dimensões de ameaças de IA/agênticas; 79% das organizações não possuem um processo separado de modelagem de ameaças de IA (Table 3, p. 11; Table 4, pp. 16-17; Sec. 5.3, p. 25; Sec. 5.6, pp. 26-27)"
"Limitações / Trabalhos Futuros","O formato binário Sim/Não pode reduzir ""complex practitioner perspectives into oversimplified dichotomies""; possível viés de amostragem (respondentes engajados com IA sobrerrepresentados) e amostragem intencional/por conveniência via redes profissionais, de modo que a margem de erro de 4,97% deve ser interpretada com cautela; a amostra restrita aos EUA limita a generalização global; dados de percepção autorrelatados carregam viés de resposta; viés de validade de construto e efeitos de enquadramento são reconhecidos; trabalhos futuros: escalas Likert, entrevistas semiestruturadas, estudos de caso, pesquisa longitudinal e um estudo de modernização de frameworks com um roteiro de validação (discussões externas, estudos-piloto, ajustes iterativos) (Sec. 5.1, p. 23; Sec. 6, p. 27; Sec. 6.2-6.4, pp. 28-29)"
"Relevância para Minha Dissertação","Este artigo fornece evidência empírica direta de profissionais para a premissa da dissertação: 92% de 194 profissionais de cibersegurança dos EUA relatam que a automação reduziu significativamente MTTD/MTTR, e 84% já integram Agentic AI na resposta a incidentes, confirmando a realidade operacional do tema de pesquisa. A pronunciada lacuna de confiança (13% de confiança em decisões totalmente autônomas; 63% se opõem à triagem sem supervisão) apoia fortemente o enquadramento da dissertação de Agentic AI como um copiloto com supervisão human-in-the-loop, em vez de um respondedor totalmente autônomo. Seu instrumento de survey, a validação psicométrica (alfa de Cronbach) e o cálculo do tamanho da amostra oferecem um modelo metodológico reutilizável caso a dissertação inclua um survey com profissionais. Entretanto, como o impacto em MTTD/MTTR é perceptual (Sim/Não) em vez de medido em unidades de tempo, a dissertação deve tratá-lo como motivação e contexto, não como evidência quantitativa de linha de base."
"Pontuação de Relevância","Alta - o estudo quantifica empiricamente a adoção de Agentic AI e a redução percebida de MTTD/MTTR na resposta a incidentes com 194 profissionais, correspondendo diretamente ao tema da dissertação, embora o impacto seja baseado em percepção e não medido em unidades de tempo."
"ID do Artigo","P37"
