"Field","Extraction"
"Title","Agentic AI and the Cyber Arms Race"
"Authors","Sean Oesch; Jack Hutchins; Phillipe Austria; Amul Chaulagain"
"Year & Venue","2025; Computer (IEEE Computer Society magazine), Cybertrust column, May 2025, DOI 10.1109/MC.2025.3544116"
"Core Problem Addressed","Examines how increasingly powerful agentic AI may change the symmetry between attackers and defenders in cyberwarfare and shift the geopolitical balance of power, as AI agents proliferate capabilities today limited to well-resourced (nation-state) actors: ""we examine the implications for cyberwarfare and global politics as agentic artificial intelligence becomes more powerful"" (Intro, p. 82)"
"Proposed Solution / Agentic AI Role","Conceptual hierarchical multi-agent architecture: a centralized reinforcement learning agent (CARL) orchestrating task-specific agents (a reverse engineering model for binary code, a log agent for disparate log data, a networking agent for mapping/traversing networks, and a vulnerability finder agent), each possibly itself a multiagent solution interacting with existing libraries and tools; cites CrewAI as an existing multiagent orchestration platform and industrial cyber agents such as XBOW/RunSybil (automated pentesting) and Dropzone AI (autonomous agents automating alert triage and other Tier 1 SOC tasks) (Sec. before/at Implications for the Balance of Power, p. 83)"
"Methodology","Perspective/opinion magazine column (Cybertrust), not an empirical study; includes one preliminary experiment from the authors' prior research: reinforcement learning red vs. blue agent coevolution generated in the Cyberwheel environment (on ORNL's GitHub), shown as episodic return over ~17,500 training episodes across sequential training runs (Figure 1, p. 84); no dataset details or sample sizes reported"
"Impact on MTTD & MTTR Metrics","Not applicable — no MTTD, MTTR, alert fatigue, or resolution-time metrics are measured; only a qualitative mention that ""Dropzone AI uses autonomous agents to automate alert triage and other Tier 1 tasks in the Security Operations Center"" (p. 83)"
"General Impact on Agentic AI / Multi-Agent Systems","Qualitative claims plus limited evidence: XBOW's AI agents reported ""able to find and exploit vulnerabilities in 75% of web security benchmarks"" and discover novel web vulnerabilities (p. 83); Figure 1 shows offensive and defensive RL agents ""can learn to adapt to changes in one another's abilities, effectively coevolving"" through retraining (Figure 1, p. 84); identifies adversarial AI as a unique failure mode — Pasquini et al. tricked an LLM-based red agent by detecting it was an AI and changing system responses so it failed (p. 83)"
"Limitations / Future Work","No formal limitations section (magazine column); authors note a single agent capable of replacing a skilled human ""is likely still be a decade or more away"" (p. 83); state that ""Countering adversarial AI and guaranteeing agent robustness will be essential to the future of agentic AI in cyber"" (p. 83); and that whether proliferation yields low-level skirmishes or destabilizing conflicts ""remains uncertain"" (Conclusion, p. 85)"
"Relevance to My Thesis","This is a geopolitical/strategic perspective piece rather than an incident-response study, so it offers no MTTD/MTTR evidence for the thesis. Its value is contextual: it documents the hierarchical orchestrator-plus-specialist-agents pattern (CARL with log, network, and vulnerability agents) that mirrors copilot architectures for incident response, and it cites real SOC-facing agentic products (Dropzone AI for Tier 1 alert triage, Microsoft Security Copilot) that motivate the thesis problem. The log agent concept and the coevolution experiment are loosely relevant to automated observability and adaptive defense. It also flags adversarial AI robustness as a risk any defensive agentic copilot must address. Overall it can support the motivation/background chapter, not the metrics evaluation."
"Relevance Score","Low — a conceptual cyberwarfare/geopolitics column with no incident-management metrics or evaluated copilot system; only tangential mentions of SOC alert-triage agents and multi-agent orchestration."
"Paper ID","P39"
