"Field","Extraction"
"Title","The role of agentic AI in shaping a smart future: A systematic review"
"Authors","Soodeh Hosseini; Hossein Seilani"
"Year & Venue","2025; Array (Elsevier journal), vol. 26, article 100399"
"Core Problem Addressed","The rapid evolution of Agentic AI, including Generative AI (GenAI) agents, ""has outpaced a cohesive understanding of its applications, challenges, and strategic implications""; the authors identify a gap in synthesizing Agentic AI's diverse capabilities (multimodal processing, hierarchical architectures, ML outsourcing) and in providing actionable adoption strategies for organizations. Not focused on IT operations, SRE, or incident response specifically (Abstract, p. 1; Sec. 1, p. 1)."
"Proposed Solution / Agentic AI Role","Narrative synthesis of Agentic AI concepts: key attributes (autonomy, goal-oriented behavior, environmental interaction, learning, workflow optimization, multi-agent systems) (Sec. 1.2, Table 1, pp. 2-3); hierarchical agent architecture with master agent, orchestrator agent, and micro-agents (e.g., FAQ, issue-resolution, status-update, feedback agents) (Sec. 4, Table 4, pp. 6-7); transition from assisted ""Copilot"" (human-in-the-loop assistant) to autonomous ""Autopilot"" models (Sec. 5, pp. 6-8); AI-as-a-Service/outsourcing model paying per resolved issue (e.g., Sierra support bots) (Sec. 4 and Sec. 6, pp. 6, 9); tool landscape covering LangGraph, CrewAI, AutoGen, AutoGPT, LangChain, IBM Watson, Amazon SageMaker, TensorFlow, Llama (Sec. 7, pp. 10-12); and a GenAI strategy-formulation framework (vision/objectives, use-case prioritization, two-stage PoC-to-scale deployment, security, monitoring) (Sec. 8, pp. 12-13)."
"Methodology","⚠ Ambiguous: the title says ""systematic review"" but the abstract states ""This narrative review explores the role of Agentic AI"" (Abstract, p. 1); no Kitchenham/PRISMA-style protocol, search strategy, inclusion/exclusion criteria, database list, or paper counts are reported anywhere in the article; it is a literature-based narrative/conceptual review citing 48 references, with no dataset, environment, or sample size (Abstract, p. 1; Secs. 1-9, pp. 1-14)."
"Impact on MTTD & MTTR Metrics","Not applicable — MTTD, MTTR, alert fatigue, and incident resolution time are never measured or mentioned; only adjacent secondary figures are cited from other sources: AI chatbots ""decreased response times by 60 % while increasing customer satisfaction scores by 25 %"" (Sec. 3, p. 4); predictive maintenance reduced equipment downtime by 20-50 % (Sec. 3, p. 4); AI outsourcing reducing diagnostic times by up to 30 % and enhancing equipment uptime by 20 % (Sec. 6.1, p. 9)."
"General Impact on Agentic AI / Multi-Agent Systems","Reported (secondary, cited) impacts: AI-driven automation can improve productivity by up to 40 % (McKinsey, via [20]) (Sec. 3, p. 4); AIaaS with agentic hierarchies reduces operating costs by up to 30 % and increases response efficiency by 40-50 % (Sec. 4, p. 7); AIaaS adopters report 20-35 % operational-cost reduction within two years and ROI of 3x-5x over five years, with initial implementation costs of $50,000-$500,000 (Sec. 4.1, p. 5); hierarchical master/orchestrator/micro-agent structures are argued to increase overall system efficiency and coordination (Sec. 4, pp. 6-7; Sec. 9.1, p. 14); Copilot-to-Autopilot transition increases autonomy and efficiency but risks errors in complex scenarios, requiring human-in-the-loop safety nets (e.g., Sierra escalation to humans) (Secs. 5.2-5.3, pp. 7-8)."
"Limitations / Future Work","Authors state: ""The limitations of this research include the limited review of existing tools and the lack of case analysis in specific industries"" (Sec. 9.2, p. 14); future work: industry-specific, case-by-case studies; deeper study of ethical/social aspects (privacy, data security, labor-market impact); integration of Agentic AI with emerging technologies such as quantum computing and edge AI (Sec. 9.2, p. 14; Sec. 9, p. 13; Abstract, p. 1); other named directions: Explainable Agentic AI, People-to-AI collaboration, Federated Agentic AI (Sec. 5.4, p. 8)."
"Relevance to My Thesis","This review supplies the conceptual vocabulary my thesis builds on: it formalizes the ""Copilot"" (human-in-the-loop assistant) versus ""Autopilot"" (fully autonomous) spectrum, which directly frames the thesis positioning of Agentic AI as a Copilot during incident response. Its hierarchical master/orchestrator/micro-agent architecture and the issue-resolution/status-update agent roles map naturally onto incident-management pipelines, and its catalog of orchestration tools (LangGraph, CrewAI, AutoGen, AutoGPT) informs prototype tool selection. The cited efficiency figures (60 % response-time reduction, 20-50 % downtime reduction) are only loose proxies, as the paper never addresses MTTD/MTTR, observability, or AIOps. It is therefore useful for background/related-work framing rather than as empirical evidence for incident metrics."
"Relevance Score","Medium — adjacent conceptual review of agentic/multi-agent copilot architectures and tooling, but it contains no MTTD/MTTR, incident-response, or AIOps measurements."
"Paper ID","P02"
