"Campo","Extração"
"Título","A Survey of AIOps in the Era of Large Language Models"
"Autores","Lingzhe Zhang; Tong Jia; Mengxi Jia; Yifan Wu; Aiwei Liu; Yong Yang; Zhonghai Wu; Xuming Hu; Philip S. Yu; Ying Li"
"Ano e Veículo","⚠ Ambíguo: 2025; diagramado como Journal of the ACM (J. ACM), Vol. 37, No. 4, Article 111, agosto de 2025, mas o DOI é provisório e a cópia é o preprint do arXiv arXiv:2507.12472 [cs.SE]"
"Problema Central Abordado","Uma compreensão abrangente do impacto, do potencial e das limitações de LLMs em AIOps ""remains in its infancy""; o AIOps tradicional baseado em ML/DL sofre com engenharia de features complexa, falta de generalidade entre plataformas, falta de flexibilidade entre tarefas, adaptabilidade limitada e níveis restritos de automação para o gerenciamento de falhas em tempo de execução em sistemas distribuídos de larga escala (Abstract, p. 1; Sec. 1.1, pp. 2-3)"
"Solução Proposta / Papel da Agentic AI","Não é um sistema, mas um survey organizado em torno de 4 RQs: RQ1 fontes de dados (métricas/logs/traces gerados pelo sistema mais novas informações de software geradas por humanos, código-fonte, QA, relatórios de incidentes); RQ2 pipeline de tarefas evoluído (Failure Perception -> Root Cause Analysis -> Assisted Remediation, com novas tarefas da era dos LLMs, como geração de relatórios de causa raiz, geração de scripts, execução automática); RQ3 cinco famílias de métodos (foundation model, fine-tuning, baseados em embedding, baseados em prompt, baseados em conhecimento, incl. RAG e Tool-Augmented Generation); RQ4 avaliação. A Agentic AI aparece via agentes LLM aumentados por ferramentas, p. ex., RCAgent, RCACopilot, um agente baseado em GPT usando 150 ferramentas para gerenciar servidores Linux, LLexus e a interface agente-nuvem do AIOpsLab; uma taxonomia de automação em 5 níveis (Assisted Questioning -> Mitigation Solution Generation -> Command Recommendation -> Script Generation -> Automatic Execution) enquadra a remediação human-in-the-loop vs. autônoma (Sec. 1.3, p. 4; Sec. 3-4, pp. 6-15; Sec. 5.5, pp. 20-21)"
"Metodologia","Revisão sistemática da literatura com protocolo definido (estratégia de busca, critérios de inclusão IC1-IC4, critérios de exclusão EC1-EC5) em 5 bases de dados (Scopus, Web of Science, IEEE Xplore, ACM DL, arXiv), artigos posteriores a 2020: 761 recuperados, 614 após deduplicação, 395 revisões de texto completo, 163 estudos atendendo aos critérios de inclusão; ⚠ Ambíguo: o abstract declara ""183 research papers published between January 2020 and December 2024"" enquanto a Sec. 2.3/Fig. 4 reportam 163 estudos selecionados; os níveis de automação foram adicionalmente refinados por meio de entrevistas com engenheiros de plantão (on-call) de empresas parceiras (Abstract, p. 1; Sec. 2, pp. 5-6; Sec. 4.3, pp. 14-15)"
"Impacto nas Métricas de MTTD e MTTR","Não especificado — nenhum valor quantitativo de MTTD/MTTR/fadiga de alertas é reportado; apenas afirmações qualitativas, p. ex., Automatic Execution ""significantly speeding up resolution time and reducing the workload on operations personnel"" e Command Recommendation ""shortening the repair time""; as métricas de avaliação levantadas são de classificação, geração, sucesso de execução e métricas manuais, nenhuma de tempo de detecção/recuperação (Sec. 4.3, p. 15; Sec. 6.1, pp. 21-23)"
"Impacto Geral em Agentic AI / Sistemas Multiagente","Tool-Augmented Generation permite que LLMs consultem sistemas de monitoramento, executem scripts de diagnóstico e automatizem fluxos de trabalho (RCAgent, RCACopilot, LLexus, AIOpsLab, um agente GPT-4 ""competently using 150 distinct tools across nine categories""); porém, para o nível mais alto de automação (Automatic Execution) ""related work is limited, and its practical effectiveness remains to be verified""; a sobrecarga computacional dos LLMs é crítica para a percepção contínua de falhas (p. ex., a inferência deve ser concluída em 1 segundo para uma janela de detecção de 10 segundos) e nenhum trabalho baseado em LLM a abordou adequadamente (Sec. 4.3, p. 15; Sec. 5.5, pp. 20-21; Sec. 7.1, pp. 24-25)"
"Limitações / Trabalhos Futuros","Quatro desafios em aberto: (1) eficiência temporal e custo-efetividade de AIOps baseado em LLM (o custo de inferência pode tornar preferíveis modelos pequenos + OCEs); (2) uso mais profundo de dados diversos de falhas — ""no current work has effectively incorporated traces data"" e RCA orientada por relatórios de incidentes ""disrupts the automation flow of AIOps""; (3) generalização e adaptabilidade do modelo sob evolução de software carecem de validação empírica; (4) integração com toolchains de AIOps existentes e modelos menores em vez de construir métodos inteiramente novos (Sec. 7, pp. 24-26)"
"Relevância para Minha Dissertação","Este survey é um mapa fundamental para a dissertação: seu pipeline Failure Perception -> Root Cause Analysis -> Assisted Remediation alinha-se diretamente com as fases de MTTD (detecção) e MTTR (diagnóstico + remediação) da resposta a incidentes. A taxonomia de automação em cinco níveis oferece um framework pronto para posicionar um copiloto de Agentic AI no espectro human-in-the-loop, e seu catálogo de sistemas agênticos (RCACopilot, RCAgent, AIOpsLab, LLexus) identifica baselines e benchmarks concretos. Crucialmente, mostra que as avaliações levantadas usam métricas de classificação/geração/execução em vez de MTTD/MTTR, expondo exatamente a lacuna de mensuração que a dissertação visa. Seus desafios sobre latência de inferência, custo e integração com toolchains também informam as restrições de design do copiloto."
"Pontuação de Relevância","Média — um survey abrangente de LLM4AIOps cobrindo o ciclo de vida completo de incidentes e abordagens agênticas aumentadas por ferramentas, mas que não mede por si próprio MTTD/MTTR"
"ID do Artigo","P05"
