"Field","Extraction"
"Title","Telemetry and Agentic AI: Foundations for Optical Network Automation"
"Authors","Sergio Cruzes"
"Year & Venue","2026; IEEE Access, vol. 14 (received 11 December 2025, accepted 24 December 2025, date of publication 30 December 2025, date of current version 20 January 2026); DOI 10.1109/ACCESS.2025.3649768"
"Core Problem Addressed","Optical networks carry ever-growing traffic over heterogeneous multi-vendor equipment under strict physical constraints, making traditional management hard to maintain and demanding earlier impairment detection, faster reaction, and coordinated control across domains; prior literature treats telemetry, ML, digital twins (DTs), and agentic components mostly in isolation, leaving no unified view of how they interact within closed automation loops (Sec. I, pp. 8800-8801; Sec. II, pp. 8801-8802)"
"Proposed Solution / Agentic AI Role","Survey plus architectural synthesis: a unified framework in which telemetry acts as the sensory layer, AI/ML models provide inference and prediction, DTs stay aligned with the physical network and validate candidate actions, and agentic AI structures coordinate decisions (Sec. I, pp. 8800-8801); a reference agentic architecture synthesized from literature with four layers - event-driven data streaming (Kafka, gRPC, MQTT, Redis), a multi-agent system (MAS) layer of specialized agents (monitoring, fault analysis, QoT, RSA, DT, execution), an LLM integration layer (multimodal encoder, RAG, LoRA tuning) as reasoning core for intent parsing and plan generation, and a control/validation infrastructure that routes candidate actions through DT simulation (e.g., GNPy) and policy checks before SDN execution (Sec. VI-K, Fig. 9, p. 8818; Sec. IV-D, p. 8811); agents are built on role, perception, reasoning, memory, action, and learning capabilities, with human-in-the-loop escalation for high-impact actions (Sec. VI-G, pp. 8817-8818; Sec. VI-E, p. 8817)"
"Methodology","Literature survey combined with an architectural synthesis; all components are derived from prior literature and operational practice - ""No new protocol, algorithm, or control mechanism is proposed"" (Sec. I, p. 8801); no experiment, dataset, environment, or sample size is reported by the author; four illustrative implementation examples (soft-failure detection, spectrum reallocation, amplifier gain adjustment, network expansion) reflect patterns from already-reported implementations, complemented by a table of published demonstrations (Sec. VII-G, Table 10, pp. 8826-8829) and a synthesis of common trends (Sec. X, pp. 8832-8833)"
"Impact on MTTD & MTTR Metrics","MTTD and MTTR are not mentioned or measured; the stated goals are qualitative - detect impairments earlier and react faster (Abstract, p. 8800); quantitative figures are cited from surveyed literature rather than measured: edge feature extraction can shrink telemetry volume ""by more than 99%"" while supporting sub-second processing (Sec. III-D, p. 8803); hybrid pipelines combining LLM reasoning with lightweight classifiers ""reduce decision latency by 40-60 percent"", distributed designs reduce end-to-end latency by factors of the order of 3-5 versus fully centralized designs, and Kafka enables delivery intervals of the order of 100 ms (Sec. III-G, p. 8805); an amplifier-gain example ""reduced restoration time"" with no numbers given (Sec. VII-G, p. 8826)"
"General Impact on Agentic AI / Multi-Agent Systems","Contrasts rule-based automation with agentic AI on adaptability, coordination, scalability, and closed-loop suitability (Table 6, p. 8815); catalogs MAS failure modes with safeguards - conflicting agent decisions (single commit point, per-resource action locking), stale telemetry (timestamps, freshness thresholds, heartbeat topics), DT desynchronization (continuous reconciliation, authority downgrade), LLM hallucinations (restrict LLM to planning/explanation, schema validation, tool gating, human-in-the-loop), and cascading automation errors (rate limits, cool-down timers, rollback, incident-level memory) (Sec. VI-E, p. 8817); describes deployment patterns (orchestrator-worker, hierarchical, blackboard, market-oriented) (Sec. VI-H, p. 8818); discusses latency/cost optimization (quantization, speculative decoding, continuous batching, token-based API cost growth) (Sec. VI-J, p. 8818; Sec. VIII-E, p. 8829); maps telemetry and agentic AI onto TM Forum autonomy levels L0-L5 (Sec. VII-E, Table 8, pp. 8824-8826)"
"Limitations / Future Work","Acknowledged challenges: incomplete/noisy multi-vendor telemetry data limiting model accuracy, vendor interoperability gaps, strict real-time latency budgets versus the computational footprint of LLMs and agent workflows, reliability/safety risks including hallucinated configuration commands, compute and token-pricing costs, traceability/transparency for regulated networks, and alignment with operator policies and skills (Sec. VIII, pp. 8827-8830); cited latency gains are ""indicative ranges observed in specific implementations rather than universal bounds"" (Sec. III-G, p. 8805); future directions: dynamic ecosystems of cooperating agents, telemetry compression (learned encoders, JEPA-style models, semantic tags), distributed DTs, safeguards via causal AI, knowledge graphs, memory-augmented systems and cross-agent validation, multi-vendor telemetry standardization (federated learning, blockchain-style ledgers), and integration with emerging optical fabrics (Sec. IX, Table 11, pp. 8830-8832)"
"Relevance to My Thesis","This survey offers a domain-grounded blueprint of exactly the loop my thesis targets: telemetry/observability as the sensory layer feeding specialized agents (monitoring, fault analysis, planning, execution) whose actions are validated before touching production - a structure directly transferable to an Agentic AI Copilot for incident response, where detection, diagnosis, and remediation agents play analogous roles. Its taxonomy of agentic failure modes and safeguards (stale telemetry, LLM hallucinations, cascading automation errors, human-in-the-loop escalation) informs the safe-autonomy design needed for a copilot intended to reduce MTTD and MTTR. The TM Forum L0-L5 autonomy mapping provides a maturity scale for positioning the copilot's autonomy level. However, as a survey in optical networking without incident-management metrics, it supports conceptual and architectural framing rather than empirical MTTD/MTTR evidence."
"Relevance Score","Medium - adjacent work: an observability/AIOps-style architectural survey of telemetry-driven, LLM-enabled multi-agent automation that never measures MTTD or MTTR."
"Paper ID","P55"
