"Campo","Extração"
"Título","The role of agentic AI in shaping a smart future: A systematic review"
"Autores","Soodeh Hosseini; Hossein Seilani"
"Ano e Veículo","2025; Array (periódico da Elsevier), vol. 26, artigo 100399"
"Problema Central Abordado","A rápida evolução da Agentic AI, incluindo agentes de Generative AI (GenAI), ""has outpaced a cohesive understanding of its applications, challenges, and strategic implications""; os autores identificam uma lacuna na síntese das diversas capacidades da Agentic AI (processamento multimodal, arquiteturas hierárquicas, terceirização de ML) e na oferta de estratégias de adoção acionáveis para organizações. Não é focado especificamente em operações de TI, SRE ou resposta a incidentes (Abstract, p. 1; Sec. 1, p. 1)."
"Solução Proposta / Papel da Agentic AI","Síntese narrativa de conceitos de Agentic AI: atributos-chave (autonomia, comportamento orientado a objetivos, interação com o ambiente, aprendizado, otimização de fluxos de trabalho, sistemas multiagente) (Sec. 1.2, Tabela 1, pp. 2-3); arquitetura hierárquica de agentes com master agent, orchestrator agent e micro-agents (por exemplo, agentes de FAQ, resolução de problemas, atualização de status e feedback) (Sec. 4, Tabela 4, pp. 6-7); transição do modelo assistido ""Copilot"" (assistente human-in-the-loop) para o modelo autônomo ""Autopilot"" (Sec. 5, pp. 6-8); modelo de AI-as-a-Service/terceirização com pagamento por problema resolvido (por exemplo, bots de suporte da Sierra) (Sec. 4 e Sec. 6, pp. 6, 9); panorama de ferramentas cobrindo LangGraph, CrewAI, AutoGen, AutoGPT, LangChain, IBM Watson, Amazon SageMaker, TensorFlow, Llama (Sec. 7, pp. 10-12); e um framework de formulação de estratégia de GenAI (visão/objetivos, priorização de casos de uso, implantação em dois estágios de PoC a escala, segurança, monitoramento) (Sec. 8, pp. 12-13)."
"Metodologia","⚠ Ambíguo: o título diz ""systematic review"", mas o abstract afirma ""This narrative review explores the role of Agentic AI"" (Abstract, p. 1); nenhum protocolo no estilo Kitchenham/PRISMA, estratégia de busca, critérios de inclusão/exclusão, lista de bases de dados ou contagem de artigos é relatado em qualquer parte do artigo; trata-se de uma revisão narrativa/conceitual baseada na literatura citando 48 referências, sem dataset, ambiente ou tamanho amostral (Abstract, p. 1; Secs. 1-9, pp. 1-14)."
"Impacto nas Métricas de MTTD e MTTR","Não aplicável — MTTD, MTTR, fadiga de alertas e tempo de resolução de incidentes nunca são medidos ou mencionados; apenas números secundários adjacentes são citados de outras fontes: chatbots de IA ""decreased response times by 60 % while increasing customer satisfaction scores by 25 %"" (Sec. 3, p. 4); manutenção preditiva reduziu o downtime de equipamentos em 20-50 % (Sec. 3, p. 4); terceirização de IA reduzindo tempos de diagnóstico em até 30 % e aumentando o uptime de equipamentos em 20 % (Sec. 6.1, p. 9)."
"Impacto Geral em Agentic AI / Sistemas Multiagente","Impactos relatados (secundários, citados): automação orientada por IA pode melhorar a produtividade em até 40 % (McKinsey, via [20]) (Sec. 3, p. 4); AIaaS com hierarquias agênticas reduz custos operacionais em até 30 % e aumenta a eficiência de resposta em 40-50 % (Sec. 4, p. 7); adotantes de AIaaS relatam redução de custos operacionais de 20-35 % em dois anos e ROI de 3x-5x em cinco anos, com custos iniciais de implementação de $50,000-$500,000 (Sec. 4.1, p. 5); estruturas hierárquicas de master/orchestrator/micro-agent são defendidas como capazes de aumentar a eficiência e a coordenação geral do sistema (Sec. 4, pp. 6-7; Sec. 9.1, p. 14); a transição de Copilot para Autopilot aumenta a autonomia e a eficiência, mas arrisca erros em cenários complexos, exigindo redes de segurança human-in-the-loop (por exemplo, escalonamento da Sierra para humanos) (Secs. 5.2-5.3, pp. 7-8)."
"Limitações / Trabalhos Futuros","Os autores declaram: ""The limitations of this research include the limited review of existing tools and the lack of case analysis in specific industries"" (Sec. 9.2, p. 14); trabalhos futuros: estudos caso a caso específicos por indústria; estudo mais aprofundado de aspectos éticos/sociais (privacidade, segurança de dados, impacto no mercado de trabalho); integração da Agentic AI com tecnologias emergentes como computação quântica e edge AI (Sec. 9.2, p. 14; Sec. 9, p. 13; Abstract, p. 1); outras direções nomeadas: Explainable Agentic AI, colaboração People-to-AI, Federated Agentic AI (Sec. 5.4, p. 8)."
"Relevância para Minha Dissertação","Esta revisão fornece o vocabulário conceitual sobre o qual minha dissertação se apoia: formaliza o espectro ""Copilot"" (assistente human-in-the-loop) versus ""Autopilot"" (totalmente autônomo), que enquadra diretamente o posicionamento da dissertação sobre Agentic AI como um Copilot durante a resposta a incidentes. Sua arquitetura hierárquica de master/orchestrator/micro-agent e os papéis de agentes de resolução de problemas/atualização de status mapeiam-se naturalmente a pipelines de gestão de incidentes, e seu catálogo de ferramentas de orquestração (LangGraph, CrewAI, AutoGen, AutoGPT) informa a seleção de ferramentas do protótipo. Os números de eficiência citados (redução de 60 % no tempo de resposta, redução de 20-50 % no downtime) são apenas proxies frouxos, pois o artigo nunca aborda MTTD/MTTR, observabilidade ou AIOps. É, portanto, útil para o enquadramento de background/trabalhos relacionados, e não como evidência empírica para métricas de incidentes."
"Pontuação de Relevância","Média — revisão conceitual adjacente de arquiteturas e ferramentas de copilotos agênticos/multiagente, mas não contém medições de MTTD/MTTR, resposta a incidentes ou AIOps."
"ID do Artigo","P02"
