"Field","Extraction"
"Title","Analysing the role of LLMs in cybersecurity incident management"
"Authors","Gavin Jones; Dimitrios Kasimatis; Nikolaos Pitropakis; Richard Macfarlane; William J. Buchanan"
"Year & Venue","2025; International Journal of Information Security (Springer), vol. 24, article 228; DOI 10.1007/s10207-025-01144-7"
"Core Problem Addressed","Organizations struggle to manage increasingly sophisticated cyber threats, and the traditional linear five-phase incident response model can cause delays and fail to adequately manage complex incidents; the paper investigates whether generative AI/LLMs can effectively enhance cybersecurity incident response processes (Sec. 1, p. 1; Sec. 2.1, p. 2)"
"Proposed Solution / Agentic AI Role","A purpose-built tool acting as an ""incident response assistant or copilot"": user-supplied incident details are wrapped in a fixed CLEAR-framework prompt and sent programmatically to OpenAI LLMs (gpt-3.5-turbo, gpt-4-0125-preview, gpt-4o, o1-preview) via API, which return actionable mitigation steps; three escalating context levels are used — zero-shot (no runbook), generalized NIST 800-61 runbook, and runbook plus prior-incident handling examples; single-LLM design (not multi-agent), with a client-server architecture (local Python client, OpenAI cloud API) and default model settings; human-in-the-loop with analyst approval is recommended for deployment (Sec. 4.1, pp. 4-5; Sec. 4.2.1, p. 5; Sec. 6.1.1, p. 11)"
"Methodology","Controlled experiment: 10 real-world-inspired incident scenarios (DDoS, cloud data exfiltration, insider misuse, ransomware with lateral movement, web application compromise) mapped across the NIST 800-61 lifecycle, run against 4 OpenAI models under 3 context conditions, each repeated 10 times — ""producing 1,200 model invocations in total""; evaluation combined quantitative metrics (BERTScore consistency, spaCy-based conciseness and coherence) and qualitative LLM-as-a-judge scoring by GPT-4o (relevancy, clarity, domain-specific terminology, logical coherence, each 1-10) (Sec. 4.1, p. 4; Sec. 4.3, pp. 6-7)"
"Impact on MTTD & MTTR Metrics","Not specified — no MTTD, MTTR, alert-fatigue, or resolution-time measurements are reported; results are qualitative fitness-for-phase findings: GPT-4o and GPT-3.5 ""exhibit high clarity, consistency and coherence"" suiting real-time containment, isolation, eradication and recovery, while GPT-o1 and GPT-4 better support preparation and post-incident analysis; the authors defer timing metrics, proposing future studies ""employ quantitative metrics such as mean response time"" (Abstract, p. 1; Sec. 6, p. 10; Sec. 7, p. 12)"
"General Impact on Agentic AI / Multi-Agent Systems","Single-agent LLM copilot study, not a multi-agent system; key finding is that ""there is no single LLM that meets all the criteria required for every area"", motivating model-to-phase specialization (e.g., GPT-4 most concise at 14.6 words/sentence in stage 2; GPT-3.5 most consistent BERTScore 0.4938 but lowest LLM-judged logical coherence 7.8; GPT-o1 highest relevancy ~9.1 and domain terminology 9.2); token context limits and hallucination risk constrain deployment; related multi-agent LLM incident-response work (Liu's AutoBnB tabletop framework) is reviewed as limited to controlled exercises; risk mitigation prescribes human-in-the-loop approval, dual control for irreversible steps, staged shadow/advisory rollout, audit logging, and least-privilege access (Sec. 3, p. 3; Sec. 5, pp. 8-10; Sec. 6, pp. 10-11; Appendix A, p. 12)"
"Limitations / Future Work","Limitations: reliance on a single LLM judge (GPT-4o) and one fixed rubric introduces bias; qualitative scores ""may not fully capture operational correctness""; token context window constraints (GPT-3.5 has half GPT-4's window); default model settings only; OpenAI-only model set; ethical risks of workforce deskilling and false sense of security; Future work: evaluate other generative models including locally hosted alternatives, experiment with RAG and iterative query methods, use varied manual human inputs for realism, employ quantitative metrics such as mean response time, and assess response usability with tailored scenarios and runbooks (Sec. 6, pp. 10-11; Sec. 7, p. 12)"
"Relevance to My Thesis","This paper directly tests an LLM ""copilot"" for incident response — the same operational role my thesis assigns to Agentic AI — and its three-level context design (zero-shot, runbook, runbook plus historical incidents) offers a reusable experimental blueprint for evaluating copilot guidance quality during response. Its finding that different models suit different lifecycle phases (fast/clear models for containment and recovery vs. reasoning models for preparation and post-incident analysis) informs agent-role assignment in a multi-agent MTTD/MTTR pipeline. Its evaluation stack (BERTScore, spaCy conciseness/coherence, LLM-as-a-judge) and its human-in-the-loop risk mitigation controls are transferable to my methodology. However, it addresses cybersecurity incidents rather than SRE/AIOps operations, is single-agent, and measures response quality rather than MTTD/MTTR, leaving the time-metric gap my thesis targets — a gap the authors themselves flag via ""mean response time"" as future work."
"Relevance Score","Medium — an empirical LLM incident-response copilot evaluation closely adjacent to the thesis topic, but single-agent, cybersecurity-focused, and without any MTTD/MTTR or resolution-time measurement"
"Paper ID","P34"
