"Field","Extraction"
"Title","A Neuroergonomics Approach to Mental Workload, Engagement and Human Performance"
"Authors","Frédéric Dehais; Alex Lafont; Raphaëlle Roy; Stephen Fairclough"
"Year & Venue","2020; Frontiers in Neuroscience (Front. Neurosci.), vol. 14, article 268, Neural Technology section; review article; doi: 10.3389/fnins.2020.00268"
"Core Problem Addressed","Mental workload ""remains difficult to operationalize despite decades of research"" and the limited-resource metaphor fails to explain critical performance breakdowns of human operators in safety-critical settings (mind wandering, effort withdrawal, perseveration, inattentional blindness/deafness to alarms); the field lacks a framework to predict when operator performance is likely to degrade (Abstract, p. 1; Sec. Introduction / Toward a Limit of the Theory of Limited Resources, pp. 1-3)"
"Proposed Solution / Agentic AI Role","No Agentic AI or LLM involved; the paper proposes a neuroergonomic framework mapping undesirable neurocognitive states onto a two-dimensional task engagement x arousal space, monitoring PFC/DLPFC (de)activation via EEG, fNIRS, fMRI, ECG and eye tracking (Table 1), and a closed-loop neuroadaptive-technology pipeline (signal acquisition, preprocessing, feature extraction, classification, adaptation) triggering three families of countermeasures: (1) user-interface adaptation, (2) task and automation adaptation (dynamic human-automation task reallocation), (3) neuro-adaptation of the end-user (neurofeedback, tDCS) (Sec. Understanding Performance Related Mental States, pp. 5-7; Sec. Solutions to Mitigate Degraded Performance, pp. 7-9)"
"Methodology","Narrative (non-systematic) literature review with conceptual framework synthesis; maps psycho-physiological and behavioral markers of five degraded mental states in Table 1 and a countermeasure typology in Figure 4; no SLR protocol, dataset, environment, or sample size reported (article type REVIEW, p. 1; Sec. Understanding Performance Related Mental States, pp. 5-8; Sec. Solutions to Mitigate Degraded Performance, pp. 7-10)"
"Impact on MTTD & MTTR Metrics","Not applicable — no MTTD, MTTR, or incident-resolution metrics are reported; closest adjacent evidence is cited work on alarm attention: motor-cue pop-up videos ""drastically reduced reaction time to alerts during complex situations"" and inattentional deafness explains failure to detect auditory alarms (Sec. Adaptation of the User Interface, p. 7; Sec. Understanding Performance Related Mental States, p. 7)"
"General Impact on Agentic AI / Multi-Agent Systems","Not applicable for Agentic AI/multi-agent systems; for adaptive automation the review reports cited studies with ""better human performance when neuro-adaptive automation was switched on"", human-robot authority sharing driven by an online attentional state estimator, and warns that interventions taking over from humans risk ""performance impairment and reduced trust in technology"" (Sec. Task and Automation Adaptation, pp. 8-9; Sec. Synthesis of Neuro-Adaptive Solutions, p. 9)"
"Limitations / Future Work","Authors state the framework ""remains at the conceptual level and minimizes connections to the complexity of brain functioning""; most neuroadaptive studies are limited to human-machine dyads; long-term efficiency and side effects of tDCS and light exposure require investigation; future work: complex teaming scenarios, hyperscanning, physiological synchrony, collaborative BCIs, and identifying additional degraded mental states and markers (Sec. Conclusion, pp. 10-11; Sec. Neuro-Adaptation of the End-User(s), p. 9)"
"Relevance to My Thesis","This review grounds the COGNITIVE_LOAD outcome of my RSL: it explains why operator mental workload is hard to operationalize and identifies the degraded states (mind wandering, effort withdrawal, perseveration, inattentional deafness to alarms) that an incident-response copilot should help prevent. Inattentional deafness/blindness to alarms is the neurocognitive substrate of alert fatigue in on-call SRE work, motivating copilots that filter and prioritize alerts. The three-family typology of neuroadaptive countermeasures — especially dynamic task/automation reallocation and the graded escalation from notification to take-over — offers a principled human-in-the-loop design pattern for calibrating an Agentic AI copilot's autonomy level during incidents. Its warning that take-over automation can reduce trust and impair performance informs how much autonomy the copilot should assume. However, it contributes no AIOps, LLM, or MTTD/MTTR evidence."
"Relevance Score","Medium — no agentic approach or MTTD/MTTR measurement, but it directly addresses operator cognitive load and human-automation teaming, an adjacent RSL outcome (COGNITIVE_LOAD)"
"Paper ID","P62"
