Field,Extraction
"Title","Agentic AI: A Comprehensive Survey of Technologies, Applications, and Societal Implications"
"Authors","Ashis Kumar Pati"
"Year & Venue","2025; IEEE Access, vol. 13, pp. 151824-151837; DOI 10.1109/ACCESS.2025.3585609"
"Core Problem Addressed","A ""striking lack of readily available and understandable materials"" on agentic AI: foundational concepts are scattered across RL, human-AI collaboration, and LLM-based agent frameworks, with no comprehensive resource unifying them; existing surveys show gaps in traditional-AI vs agentic-AI distinctions, methodologies, agent types, societal impact, and open problems (Sec. II and II.A, pp. 151825-151827)"
"Proposed Solution / Agentic AI Role","No new architecture; a conceptual/structured survey. Defines agentic AI (proactivity; autonomy, adaptability, goal-directedness), distinguishes it from traditional AI and from AI agents (agents as bricks, agentic AI as the orchestrating house), presents a four-phase working loop (data collection, decision-making, learning, collaboration), classifies agents (reflex, model-based, goal-based, utility-based, learning, meta-reasoning; single-agent, multi-agent, swarm, human-AI collaborative), and reviews enabling technologies (LLMs/NLP, RL/IRL, imitation learning, MAS/swarm frameworks, neurosymbolic integration, knowledge graphs) and design frameworks (BDI, SOAR, ACT-R) plus simulation environments (Unity ML, OpenAI Gym, Mesa) (Sec. I.A-B, III, IV, pp. 151824-151830)"
"Methodology","Narrative literature survey/review (author calls it a ""structured literature review""); compares itself with 11 existing surveys on coverage dimensions (BC/ID/ND scale, Table 3); no systematic search protocol, dataset, experiment, or sample size reported (Sec. II and II.A, Table 3, pp. 151825-151827)"
"Impact on MTTD & MTTR Metrics","Not applicable (conceptual survey; no MTTD, MTTR, alert-fatigue, or resolution-time metrics measured). Closest reported secondary data: citing [2], agentic AI across ~500 organisations showed ""a 34.2% reduction in completing the task, increasing the accuracy by 7.7%"" and 13.6% improved resource utilisation (Sec. I.A, p. 151825); qualitatively, IT & cybersecurity agents continuously monitor, detect threats, immediately block fraudulent transactions, and alert security systems (Sec. V.D, pp. 151831-151832)"
"General Impact on Agentic AI / Multi-Agent Systems","Qualitative only: MAS enable hierarchical or peer-to-peer coordination for complex tasks (e.g., supply chains) and swarm systems suit dynamic environments (Sec. III.C, pp. 151828-151829); proposed evaluation metrics are robustness, scalability, safety, task completion rate, and communication efficiency (bandwidth/latency) (Sec. IV.B.3, p. 151830); reported failure modes include computational and coordination complexity as agent counts grow, black-box interpretability, unclear blame attribution among agents in a MAS, and security vulnerabilities from autonomy and direct database access (Sec. VII.A, pp. 151832-151833)"
"Limitations / Future Work","Open problems listed by the author: transparent/causal agentic AI, neuro-symbolic hybrid agents, multi-agent cooperation and negotiation, human-AI collaboration adapting to feedback and emotion, energy-efficient architectures, Sim2Real transfer, quantum computing for scalability, and robustness against adversarial attacks; also notes RL policies do not transfer across dissimilar domains and that hybrid human-oversight workflows and XAI are needed (Sec. V.D end, p. 151832; Sec. VII.B, pp. 151833-151834). The paper does not explicitly state limitations of its own survey method (Not specified)"
"Relevance to My Thesis","This survey supplies conceptual scaffolding rather than incident-response evidence. Its AI-agents-vs-agentic-AI distinction and orchestration framing (specialised agents coordinated into a goal-driven pipeline, with one agent alerting humans) map directly onto a copilot architecture for incident detection and remediation. The four-phase loop (perceive, decide, learn, collaborate) and the human-AI collaborative paradigm with hybrid oversight workflows support the human-in-the-loop copilot design in my thesis. Its proposed evaluation dimensions (robustness, task completion rate, communication latency) and its MAS failure modes (coordination overhead, blame attribution, interpretability) inform threats to validity when measuring MTTD/MTTR with agentic systems. However, it offers no AIOps, observability, or incident-metric evidence, so it serves only as background/definitional support."
"Relevance Score","Low - a broad conceptual survey of agentic AI with a brief cybersecurity monitoring mention, but no AIOps/observability focus and no MTTD/MTTR or incident-resolution measurements."
"Paper ID","P06"
