Field,Extraction
"Title","A Review of Agentic AI in Cybersecurity: Cognitive Autonomy, Ethical Governance, and Quantum-Resilient Defense [version 1; peer review: 2 approved]"
"Authors","Ibrahim Adabara; Bashir Olaniyi Sadiq; Aliyu Nuhu Shuaibu; Yale Ibarahim Danjuma; Venkateswarlu Maninti"
"Year & Venue","2025 (first published 01 Sep 2025); F1000Research, 14:843; DOI 10.12688/f1000research.169337.1"
"Core Problem Addressed","Conventional cyber defense models relying on static rules, perimeter protections, and human-centric incident response are inadequate against sophisticated threats (APTs, polymorphic malware, adversarial ML), suffering ""detection latency, limited adaptability"" and inability to counter stealthy long-term intrusions; quantum computing further threatens cryptographic foundations (Sec. 1.2, p. 3; Sec. 1.4.1, pp. 3-4)"
"Proposed Solution / Agentic AI Role","Not a system proposal but a synthesis of Agentic AI (autonomous, adaptable, goal-directed agents) for cyber defense across three pillars: cognitive autonomy, ethical governance, quantum-resilient defense. Catalogs design patterns (reactive agents, proactive goal-seeking, learning-based, Human-in-the-Loop SOC threat-triage assistants, federated agent networks, reflexive cognitive loops; Table 2) and hybrid architectures combining deep reinforcement learning (DRL), LLMs, and rule-based reasoning for real-time threat detection and human-agent collaboration; explainability patterns (TriQPAN); interoperability protocols (Google Agent2Agent A2A, Model Context Protocol MCP); governance via NIST AI RMF, EU AI Act, ISO/IEC 42001, decentralized models (DAGN, LOKA); quantum resilience via PQC, QKD, quantum-safe federated learning (RQ1, pp. 13-14; RQ2, pp. 14-15; RQ3, pp. 15-17; RQ4, p. 17)"
"Methodology","Narrative review (explicitly not systematic) of literature 2005-2025 (eligibility window 2010-2025); databases IEEE Xplore, Scopus, Web of Science, ACM Digital Library plus grey literature (reports, policy briefs); Boolean search with iterative refinement, reference chaining, and selective use of generative AI tools for thematic clustering; five-stage flow (Identify, Screen, Select, Classify, Synthesize) guided by four research questions RQ1-RQ4; number of included studies Not specified (Sec. 2.1-2.6, pp. 7-9)"
"Impact on MTTD & MTTR Metrics","Not specified quantitatively - no MTTD, MTTR, alert-fatigue, or resolution-time measurements are reported. Qualitative claims only: legacy systems suffer detection latency (Sec. 1.2, p. 3); Agentic AI plus blockchain integration leads to ""significant improvements in anomaly detection accuracy and incident response efficiency"" (Sec. 3.2, p. 10); ""AI-driven anomaly detection and threat prediction significantly improve incident response"" though adversarial susceptibility limits deployment (Sec. 5.7, p. 20)"
"General Impact on Agentic AI / Multi-Agent Systems","Case study: a deployed DRL-agent system with LLM-based analyst interfaces dynamically selected monitoring/deception/remediation strategies, ""outperforming baseline static defenses in adversarial testing environments"" against simulated red-team attacks (RQ1 case study, p. 14). Quantum-safe pilot: hybrid Kyber/McEliece PQC with AI-driven key management achieved ""sub-4ms encryption latency"" and zero vulnerability to Shor's algorithm (RQ3 case study, p. 17). Barriers: high cost, legacy integration complexity, skills shortage, ethical concerns; enablers: A2A/MCP protocols, multi-stakeholder collaboration, modular XAI architectures (RQ4, p. 17; Table 5). Bibliometrics: field peaked 2023 with more than 1,200 articles and over 30,000 citations (Sec. 3.3, p. 11)"
"Limitations / Future Work","Author-acknowledged limitations: rapid obsolescence of AI-cybersecurity findings; data bias and limited generalizability of detection studies; reliance on simulation constrains ecological validity; underreported adversarial vulnerabilities; language/indexing bias (Sec. 2.7, p. 9); selection bias, human-interpretation subjectivity, heterogeneous metrics, publication bias, temporal limitation (Sec. 5.8, p. 20). Future work in phased horizons: short-term XAI and adversarial defense (1-3 yrs); medium-term federated learning with quantum-safe protocols (3-7 yrs); long-term neurosymbolic AI and quantum-enhanced multi-agent reinforcement learning (7+ yrs); gaps include benchmarking cognitive autonomy and human-agent trust calibration (Sec. 5.7, p. 20; Table 6, p. 19)"
"Relevance to My Thesis","This review supplies conceptual vocabulary directly transferable to an Agentic AI copilot for incident response: its design-pattern taxonomy (especially Human-in-the-Loop threat-triage assistants in SOCs and hybrid DRL+LLM human-agent architectures) mirrors the copilot orchestration model my thesis targets, and its autonomy-level taxonomy helps position a copilot between semi-autonomous assistance and full autonomy. Its evidence that agentic systems improve incident response efficiency, while noting that conceptual work dominates over empirical deployment, reinforces my thesis gap: the absence of measured MTTD/MTTR outcomes for agentic approaches. The governance discussion (human oversight, EU AI Act, NIST AI RMF) informs the human-in-the-loop accountability design of a production copilot. However, the paper is cybersecurity-centric (not SRE/AIOps) and offers no incident metrics I can reuse as baselines."
"Relevance Score","Medium - adjacent: it reviews agentic/multi-agent architectures, human-in-the-loop patterns, and autonomous incident response in cybersecurity, but reports no MTTD/MTTR measurements and does not address IT-operations observability or AIOps directly."
"Paper ID","P33"
