"Field","Extraction"
"Title","Artificial intelligence driven multi agent framework for adaptive cyber attack simulation and automated incident response in cyber range environments"
"Authors","Alka Agrawal; Mohd Nadeem; Ahmed Al Nuaim; Abdullah Al Nuaim"
"Year & Venue","2026; Scientific Reports (Nature Portfolio journal), vol. 16, article 11673; DOI 10.1038/s41598-026-45937-9; received 9 January 2026, accepted 23 March 2026"
"Core Problem Addressed","Current cyber range platforms rely on static or rule-based simulation models that cannot represent dynamic, multi-stage, adaptive attack strategies of modern adversaries and lack automated incident response mechanisms; existing AI/MAS studies are not integrated with realistic cyber ranges or validated with real datasets (Sec. Introduction, p. 1; Sec. Problem formulation, p. 5)"
"Proposed Solution / Agentic AI Role","An AI-driven Multi-Agent System (MAS) embedded in the CyDER 2.0 cyber range: attacker agents formulated as an MDP and trained with reinforcement learning (Deep Q-Networks and Policy Gradient) to execute adaptive multi-stage attacks (scan, exploit, privilege escalation, evade); defender agents use a Random Forest + Autoencoder ensemble for anomaly detection plus rule-based automated incident response actions modeled on NIST SP 800-61 (isolate hosts, block IPs, terminate sessions, adjust configurations); agents communicate asynchronously via ZeroMQ with JSON messages and FIPA-compliant ACL, are containerized with Docker, and generate alerts for human operators to continue analysis (human-in-the-loop notification only) (Secs. Model development and Multi-agent system architecture, pp. 8-12; Sec. Model implementation, pp. 12-14; Results, p. 17)"
"Methodology","Prototype development with simulation-based experimental evaluation: iterative design-implement-evaluate methodology; CICIDS2017 (~80 GB raw) and UNSW-NB15 datasets preprocessed to ~85 features, SMOTE-balanced ~50,000 samples, stratified 80%/20% split (40k train/10k test); three network topologies (Small 50, Medium 120, Large 200 hosts) with 2 attacker and 3 defender agents each; three attack scenarios (A single-stage, B multi-stage, C mixed simultaneous); baselines = static scripted cyber range and rule-based MAS; 10-fold cross-validation, hold-out testing, stress testing, user acceptance testing by cybersecurity experts, paired t-tests and ANOVA; problem statement validated by a survey of 25 cybersecurity experts (5-point Likert, all means > 4.1, p < 0.001) (Sec. Research methodology, pp. 7-8; Sec. Problem formulation, pp. 5-6; Sec. Experimental setup, p. 14; Table 4, p. 12)"
"Impact on MTTD & MTTR Metrics","MTTD and MTTR are not named; the analogous metric is average response latency (time between attack detection and start of response): AI-driven MAS 4.2 s (Small), 5.6 s (Medium), 6.1 s (Large) vs. rule-based MAS 6.5-9.5 s and static cyber range 12.1-18.4 s (Table 10, p. 16); ""The time taken for responses is also reduced by 35%"" vs. non-adaptive baselines (Sec. Results, p. 17); detection F1-scores 94.5%/89.9%/87.9% vs. rule-based 80.1%/75.5%/71.8% and static 67.8%/59.2%/56.1% (Table 9, p. 15); F1-score reported as 25% higher than the non-adaptive version (Sec. Results, p. 17); latency stays below the cited sub-10-second operational threshold for timely mitigation (Sec. Average response latency, p. 16); alert fatigue Not specified"
"General Impact on Agentic AI / Multi-Agent Systems","Agent-to-environment action execution latency avg 85 ms +/- 15 ms with 99.8% message delivery reliability (Table 7, p. 14); per-agent resource cost: attacker 35% +/- 5 CPU / 140 +/- 15 MB RAM, defender 30% +/- 4 CPU / 130 +/- 12 MB RAM, inter-agent communication used < 5% of network resources (Table 12 and Observations, pp. 16-17); attack complexity scores 5/12/15 vs. rule-based 3/7/9 and static 2/4/5 across network sizes (Table 11, p. 16); attacker RL converged by ~episode 4200 of 5000 with 84.5% final attack success rate (Table 5, p. 13; Observations, p. 17); validation summary reports > 99.5% uptime, graceful fault handling, linear resource use in scaling tests (Table 13, p. 17); comparative analysis: 91% accuracy, 5.3 s latency, scales to 25+ agents vs. prior models at 65-78% accuracy and < 5 agents (Table 14, pp. 17-18)"
"Limitations / Future Work","Authors state that running the AI-driven MAS on resource-constrained distributed edge devices will be challenging from computation and storage perspectives; future work includes model compression techniques, lightweight inference models, and hybrid edge-cloud deployment architectures (Sec. Conclusion, p. 18); the incident response module itself remains a predefined rule-based action library rather than a learned policy (Sec. Results, p. 17); reported CPU/memory figures assume a server-class cyber range environment (Sec. Conclusion, p. 18)"
"Relevance to My Thesis","This paper offers a validated multi-agent architecture in which autonomous detection agents trigger automated incident response, directly analogous to the agentic copilot loop the thesis targets: its response-latency metric (4.2-6.1 s vs. 12.1-18.4 s static) is a concrete proxy for MTTR reduction, and its detection F1 gains map to MTTD improvement. Its measured orchestration costs (85 ms agent latency, 99.8% message reliability, per-agent CPU/RAM) provide reusable benchmarks for evaluating multi-agent overhead in incident response pipelines. The human-in-the-loop element (alerting operators for further analysis after automated containment) mirrors the copilot posture of the thesis. However, the context is cybersecurity training in a cyber range, uses RL/ML rather than LLM-based agents, and never frames results in MTTD/MTTR or SRE/AIOps terms, so its evidence transfers only by analogy to production incident management."
"Relevance Score","Medium - it quantitatively demonstrates that an AI-driven multi-agent system reduces incident response time (35% reduction; 4.2-6.1 s vs. up to 18.4 s baselines) and improves detection, but in a cybersecurity cyber range training context without LLM copilots and without explicit MTTD/MTTR metrics, making it adjacent rather than direct evidence for the thesis."
"Paper ID","P25"
