"Field","Extraction"
"Title","Anomaly Detection and Root Cause Analysis in Cloud-Native Environments Using Large Language Models and Bayesian Networks"
"Authors","Diego Frazatto Pedroso; Luís Almeida; Lucas Eduardo Gulka Pulcinelli; William Akihiro Alves Aisawa; Inês Dutra; Sarita Mazzini Bruschi"
"Year & Venue","2025; IEEE Access, vol. 13, pp. 77550-77564; DOI 10.1109/ACCESS.2025.3565220"
"Core Problem Addressed","Microservices-oriented cloud-native systems generate exponentially growing volumes of unstructured logs from many layers, making manual root cause analysis labor-intensive and prone to prolonged downtime, while constant deploys make predefined static alert thresholds ineffective; existing tools also produce complex, lengthy root-cause reports that users without deep ecosystem context cannot interpret (Sec. I, pp. 77550-77551)"
"Proposed Solution / Agentic AI Role","MAIA framework: Llama-3 8b fine-tuned on unstructured logs from normal execution predicts the next log message from a sequence of 10 prior logs; an anomaly is flagged when cosine similarity (MPNet sentence-similarity model) between registered and generated log blocks falls below a 0.8 threshold; detected anomalies are queued via Amazon SQS to Baynet, a dynamic Bayesian network (pgmpy) that analyzes Grafana Tempo/Istio traces, scores service health (duration, 2xx rate, P99, 5xx codes, recent-deploy TTL), and infers per-microservice outage probabilities shown in a Grafana NodeGraph; a ChatBot powered by the same LLM lets users ask questions about the detected incident — a single-LLM pipeline, not a multi-agent orchestration (Abstract; Sec. IV-V, pp. 77554-77560)"
"Methodology","Prototype deployment with controlled chaos-engineering experiments: Istio sock-shop e-commerce application (12 microservices; Java/JavaScript/Go; MySQL, MongoDB, RabbitMQ) on AWS EKS with Istio; ~1-hour Locust load tests generated normal-execution training logs collected via Grafana Loki to S3; Chaos Mesh injected 13 fault scenarios (pod kill, network partition, IO, memory, bandwidth, HTTP faults) in 30-minute tests (10 min baseline, 10 min faults averaging ~10 min, 10 min recovery), automated via CircleCI; ~10% of the log dataset was manually classified as ground truth; evaluation via accuracy, precision, recall, F1 heatmap per scenario (Sec. III-V, pp. 77554-77558; Sec. VI, p. 77561)"
"Impact on MTTD & MTTR Metrics","Not specified — MTTD/MTTR are not measured; the motivation states ML can help ""decrease the incident time, including: find root cause, mitigation and system repair time"" (Sec. I, p. 77551); detection results: precision ~1.00 in almost all tests, recall varies — Cache Disconnected Failure 1.00 on all metrics, Mongo IO Failure lowest (recall 0.71, accuracy 0.78, F1 0.83), Queue Network Disconnect recall 0.83 with 64 false negatives, most other scenarios above 0.95; the authors note false positives ""remain within acceptable limits"" and that unsupervised refinement is needed to ""mitigate alert fatigue"" (Abstract; Sec. II, p. 77554; Sec. VI, pp. 77561-77562)"
"General Impact on Agentic AI / Multi-Agent Systems","Not applicable — no agentic or multi-agent architecture is evaluated; the contribution claims novelty in combining LLM insights and Bayesian networks with an interactive chat interface for user engagement, and the related work notes LLM limitations of computational cost, interpretability, and bias; the Bayesian RCA correctly ranked the injected service as root cause (front-end 90.0% outage probability; shipping 78% with dependent orders at 12.16%, showing cascading dependency effects) (Sec. II-A, p. 77552; Sec. VI-B, pp. 77562-77563)"
"Limitations / Future Work","False positives persist and false negatives are the primary issue (low recall on Mongo IO 0.71 and Queue Disconnect 0.83); perfect Cache Disconnected score may indicate overfitting and needs validation; the LLM neglects numerically significant log values (IPs, response times, status codes), for which LSTM networks are suggested; future work: map all error-type/microservice relationships, run systematic experiments applying each error type to all microservices, enhance model training with wider error scenarios, iterate evaluation, and optionally swap the language-modeling head for a classification head (Sec. VI, pp. 77561-77562; Sec. VII, pp. 77563)"
"Relevance to My Thesis","This paper is a strong AIOps reference for the detection and diagnosis stages that precede MTTD/MTTR reduction: it demonstrates an LLM fine-tuned on normal logs as an unsupervised anomaly detector plus a dynamic Bayesian network for probabilistic root cause localization in a Kubernetes microservices environment. Its ChatBot for querying detected incidents anticipates the copilot-style human interaction central to my research, though without agent orchestration or autonomy. The experimental protocol — sock-shop on EKS, Locust load generation, Chaos Mesh fault injection with baseline/fault/recovery windows, and manually labeled ground truth — is directly reusable for my thesis evaluation design. Its explicit mention of alert fatigue and per-scenario precision/recall reporting offers baseline metrics my agentic approach could extend toward actual MTTD/MTTR measurement."
"Relevance Score","Medium — adjacent AIOps/observability work: LLM-based log anomaly detection with Bayesian RCA and a chat interface, but it measures detection quality (precision/recall/F1) rather than MTTD/MTTR and employs no agentic or multi-agent architecture."
"Paper ID","P53"
