"Field","Extraction"
"Title","WAUC: A Multi-Modal Database for Mental Workload Assessment Under Physical Activity"
"Authors","Isabela Albuquerque; Abhishek Tiwari; Mark Parent; Raymundo Cassani; Jean-François Gagnon; Daniel Lafond; Sébastien Tremblay; Tiago H. Falk"
"Year & Venue","2020; Frontiers in Neuroscience (Front. Neurosci.), vol. 14, article 549524"
"Core Problem Addressed","Existing objective mental workload (MW) models are trained on static subjects with clinical-grade devices and do not transfer to real-world ambulant operators (e.g., first responders, firefighters, police officers), due to movement artifacts and the interplay between physical activity and MW; to the authors' knowledge no publicly available multi-modal wearable-based dataset existed for MW assessment under physical activity (Sec. 1 and Sec. 2.4, pp. 1-4)"
"Proposed Solution / Agentic AI Role","No AI agents, LLMs, or automation frameworks are involved; the contribution is WAUC, an open multi-modal database: 48 participants performed the NASA MATB-II (system monitoring, tracking, resource management) under 2 MW levels (low/high) x 3 physical activity levels (no/medium/high) on a stationary bike or treadmill, with 7 time-synchronized modalities (EEG, ECG, breathing rate, skin temperature, GSR, blood volume pulse, 3-axis accelerometry) recorded via off-the-shelf wearables (Enobio 8-channel EEG headset, Empatica E4 wristband, Zephyr BioHarness3) synchronized with the MuLES software, plus NASA-TLX and Borg fatigue scale subjective ratings; raw data, features, and scripts released at http://musaelab.ca/resources/ (Sec. 1, p. 2; Sec. 3, pp. 4-8)"
"Methodology","Database/resource paper with a controlled laboratory experiment and validation study; 48 participants (22 treadmill: 9 male/13 female; 26 bike: 16 male/10 female; average age 27.4 ± 6.6 years), full factorial 2 MW x 3 physical strain within-subject design, six 18-min sessions (~2 h total per participant), counterbalanced order; validation via mixed-model repeated-measures ANOVA on NASA-TLX/Borg ratings and binary MW classification with Random Forest (15 estimators) evaluated by AUC under mixed-subjects, intra-subject, and leave-one-subject-out cross-validation (Sec. 3, pp. 4-8; Sec. 4, pp. 8-9)"
"Impact on MTTD & MTTR Metrics","Not applicable — no incident-response, MTTD, MTTR, or alert-fatigue metrics are reported; the quantitative results are mental workload classification AUCs (e.g., EEG mixed-subjects AUC 0.945 ± 0.004 under high physical activity; multi-modal fusion cross-subject AUC up to 0.998 ± 0.001; leave-one-subject-out near chance, e.g., 0.500 ± 0.049 for EEG all conditions) (Sec. 5.2-5.4, pp. 9-12)"
"General Impact on Agentic AI / Multi-Agent Systems","Not applicable — no agentic or multi-agent system is proposed or evaluated; findings concern human operator monitoring: all subjective ratings were significantly affected by MW manipulation (p < 0.05), physical workload significantly affected all NASA-TLX dimensions except Performance, EEG and breathing features gave the best single-modality performance, multi-modal fusion improved robustness to increased physical workload, and features were not robust to cross-subject variability (Sec. 5, pp. 9-12)"
"Limitations / Future Work","Achieving state-of-the-art MW prediction was explicitly not a priority (""achieving state-of-the-art MW level prediction performance is not a priority""); leave-one-subject-out classifiers performed poorly, showing features ""are not robust to cross-subject variability""; artifact-removal literature is scarce for physiological signals under high physical workload; future directions include studying the physical activity-MW interplay, EEG artifact removal for low-density wearables, detecting MW intensity variations, deep subject-invariant representations, and models adaptive to SNR changes and new subjects (Sec. 4.1, p. 8; Sec. 5.2, p. 10; Sec. 5.5, pp. 12-13)"
"Relevance to My Thesis","This paper contains no Agentic AI, AIOps, or incident-response content and reports no MTTD/MTTR results, so it does not directly inform the copilot architecture of my research. Its value is confined to the RSL Outcome COGNITIVE_LOAD: it operationalizes mental workload measurement through validated subjective instruments (NASA-TLX, Borg scale) and psychophysiological signals from consumer wearables, which could inspire how cognitive load and alert fatigue of on-call SREs are measured when evaluating an Agentic AI copilot during incident response. The finding that MW models generalize poorly across subjects is a caution for any operator-state monitoring component. Overall it is background material on workload measurement methodology rather than evidence for the thesis's core questions."
"Relevance Score","Low — the study is tangential: it provides a mental workload assessment database with no agentic/AI incident-response approach and no MTTD/MTTR measurement, relating to the thesis only via the COGNITIVE_LOAD outcome instruments."
"Paper ID","P69"
