"Field","Extraction"
"Title","ARM: Autonomous Remediation and Management With LLM Agents for Intent-Driven Control"
"Authors","Vasilis Avgerinos; Kostas Ramantas; Luis Alonso; Christos Verikoukis"
"Year & Venue","2026 (published online 26 December 2025); IEEE Internet of Things Journal, vol. 13, no. 9"
"Core Problem Addressed","Growing complexity of cloud-native, edge, and IoT infrastructures makes manual configuration, fault remediation, and lifecycle management unsustainable, while rule-based or bespoke ML automation lacks adaptability and explainability (Abstract; Sec. I, p. 1). The authors also target a gap in current LLM-agent AIOps work: an ""overwhelming focus on problem identification rather than autonomous mitigation"", leaving recovery to manual intervention (Sec. II-C, p. 3)."
"Proposed Solution / Agentic AI Role","ARM: a closed-loop, intent-driven framework where user-defined intents spawn Prometheus-based monitoring loops; on SLA violation a structured intent object triggers a single LLM agent (ReAct-influenced, round-based loop interleaving planning, tool invocation, and reasoning) that performs RCA and executes mitigations (pod rescheduling, scaling, configuration updates) via an MCP server exposing tools through an API (Abstract; Sec. III-D, p. 3; Sec. IV-A, p. 3-4). Tools are grouped in four categories (planning, Kubernetes, monitoring, utility); a system prompt enforces planning-first rules (create_action_plan first, replan on contradiction, terminate only after generate_operational_summary), evidence-first reasoning, action bias, and pattern-to-action heuristics; safeguards and human approval workflows can be configured per tool (Sec. IV-B and IV-C, p. 4-5). Agents are built on GPT-5 (primary) and GPT-5-mini (baseline) (Sec. VI, p. 7). The single-agent loop is chosen over multiagent/planner-executor designs for auditability (Sec. IV-A, p. 4)."
"Methodology","Prototype deployment with a systematic controlled fault-injection (chaos engineering) evaluation on a virtualized cloud-edge K3s Kubernetes cluster of seven QEMU-virtualized nodes across three zones (two cloud nodes 4 vCPU/4 GB, four edge nodes 2 vCPU/2 GB, one management node), with Prometheus/Grafana observability (Sec. V-A, p. 5). Synthetic IoT workloads generated with an extended MuBench framework for three applications: IoT Gateway (3 microservices), Smart Manufacturing (8 microservices), Smart City Traffic Management (12 microservices); 20 experiments per application yielding 60 fault scenarios covering pod-level (CPU, memory, pod disruption) and node-level (CPU/memory contention via chaosd) anomalies plus baseline controls (Sec. V-B and V-C, p. 5-6). Four-phase protocol (reset/warmup, baseline collection, chaos injection, agent recovery); recovery deemed successful if post-intervention metrics are within tolerance of baseline (epsilon = 0.15 for 95th-percentile latency, 0.01 for request success rate) (Sec. V-D and V-E, p. 6-7)."
"Impact on MTTD & MTTR Metrics","MTTD and MTTR are not reported by name, but detection/identification and resolution-time results are given: the agent ""identifies SLA violations with 52.9% accuracy and mitigates 70.7% of them successfully"" (Abstract, p. 1); the GPT-5 agent ""restores SLA metrics in roughly 80% of fault injection runs"" with correct identification ""in about 78% of cases"" (Sec. VII, p. 9). Wall-clock remediation time: GPT-5 typically faster than GPT-5-mini (e.g., 5.2 vs 12.8 min for IoT Gateway), except Smart City (11.8 vs 7.4 min) (Sec. VI-B, p. 8). Latency recovery metric Rlat: GPT-5 reclaimed 80.4% and GPT-5-mini 79.4% of CPU-stress-induced performance degradation despite moderate binary success (55.6% and 44.4%) (Sec. VI-A, p. 7). No human-operator or non-agentic baseline for detection or resolution time is reported (Not specified)."
"General Impact on Agentic AI / Multi-Agent Systems","Demonstrates feasibility of an LLM agent closing the full detect-diagnose-mitigate loop; claimed as the first LLM-driven agentic system that autonomously mitigates SLA violations via infrastructure-level actions in cloud-edge/IoT environments (Sec. I, p. 2). Model-size effects: GPT-5 needs fewer reasoning rounds for pod-level incidents (10.2-23.0 vs 27.7-34.2 for GPT-5-mini) and maintains >80% identification accuracy as topology complexity grows, while GPT-5-mini drops to 64.7% on the 12-service topology and fails to recognize the healthy baseline (0.0%) (Sec. VI-A and VI-B, p. 7-8). Tool-call analysis shows observability calls dominate over actuation, indicating a cautious, evidence-gathering agent; GPT-5-mini shows fragmented trial-and-error replanning (Sec. VI-C, p. 8-9). Authors argue scaling depends more on context compression and tooling optimization than on larger models (Sec. VI-B, p. 8); single-agent loop preferred over multiagent frameworks for auditability and explainability (Sec. IV-A, p. 4)."
"Limitations / Future Work","Acknowledged limitations: ""nonnegligible wall-clock remediation times for the largest topology, and a distinct performance gap between model sizes"", suggesting zero-touch control currently requires frontier-class models (Sec. VII, p. 9); binary success metric obscures partial recovery, and constrained emulated VMs sometimes make full return to baseline physically impossible (Sec. VI-A, p. 7); the smaller model's success can exceed its identification accuracy due to latent faults with little observable degradation (Sec. VI-A, p. 7-8). Future work: context-compression paradigms, deeper agent architectures with a more diverse tool set (including ML-based anomaly detection), fine-tuning smaller models, formalizing safety safeguards for high-impact actions, and deployment in larger, more heterogeneous real-world IoT testbeds (Sec. VII, p. 9)."
"Relevance to My Thesis","This paper is a near-direct instantiation of the thesis topic: an LLM agent that both detects SLA violations (proxy for MTTD) and autonomously remediates them (proxy for MTTR) in a Kubernetes observability stack, closing the AIOps loop that most prior work leaves at diagnosis. Its architecture (intent-triggered ReAct-style loop, MCP tool server over kubectl/Prometheus, planning-first prompt with configurable human-approval safeguards) provides a concrete design reference for a copilot-style incident-response agent. Its evaluation protocol (chaos injection, baseline-relative recovery criterion, identification accuracy, remediation success, wall-clock resolution time, reasoning rounds) offers reusable metrics even though MTTD/MTTR are not named explicitly. The single-agent vs model-size findings and the observability-dominated tool usage inform trade-offs between autonomy, cost, and auditability relevant to copilot design."
"Relevance Score","High - it empirically measures detection accuracy and incident resolution/remediation time with an autonomous LLM-agentic AIOps approach, directly matching the thesis focus even though the MTTD/MTTR labels are not used."
"Paper ID","P22"
