Field,Extraction
"Title","Multi-Agent Coordination Strategies vs. Retrieval-Augmented Generation in LLMs: A Comparative Evaluation"
"Authors","Irina Radeva; Ivan Popchev; Lyubka Doukovska; Miroslava Dimitrova"
"Year & Venue","2025; Electronics (MDPI), vol. 14, article 4883"
"Core Problem Addressed","Not an IT-operations paper: it targets the open question of whether multi-agent coordination added to already-configured RAG systems enhances or degrades performance versus calibrated single-agent RAG baselines, since prior multi-agent evaluations compare only against simple prompting baselines and use resource-intensive setups (iterative debates, 70B+ models); whether coordination overhead is justified for resource-constrained open-source deployments was unexamined (Sec. 1, pp. 1-2)"
"Proposed Solution / Agentic AI Role","Comparative evaluation of four multi-agent coordination strategies — Collaborative (3 parallel peer agents with consensus aggregation, later improved with Two-Phase Consensus using a highest-confidence lead synthesizer), Sequential (Agent 1 -> Agent 2 -> Agent 3 progressive refinement), Competitive (3 parallel agents, highest-confidence winner selected), Hierarchical (2 specialists + 1 manager synthesizer) — implemented in the extended PaSSER framework (Python Flask/FastAPI API, React frontend, ChromaDB vector DB, LangChain RAG pipeline, Ollama/MLX local inference, blockchain result verification via Antelope); all agents in a configuration use the same base model (Mistral 7B, Llama 3.1 8B, or Granite 3.2 8B); two retrieval modes (independent vs. shared context, similarity threshold 0.95, k=5); no human-in-the-loop design is described (Sec. 3.1-3.2, pp. 5-9; Fig. 1, p. 6)"
"Methodology","Controlled experiment (comparative empirical evaluation): 100 question-answer pairs from the FAO Climate-Smart Agriculture Sourcebook; 31 configurations in 4 groups (3 single-agent RAG baselines, 12 Original, 4 Granite-SCR, 12 Optimized) totaling 3100 evaluations (2800 multi-agent + 300 baseline); baselines tuned via a separate 369-question threshold evaluation (0.95 Mistral/Granite, 0.90 Llama); nine metrics aggregated into CPS (SAW-based MCDM) and T-CPS (alpha=0.1, beta=0.05); paired t-tests, Cohen's d, 95% CIs, sensitivity analysis over 25 parameter combinations; hardware: Intel Xeon CPU (Mistral, Granite) and Apple M1 (Llama) (Sec. 3.2-3.4, pp. 6-14; Sec. 4.1, p. 15)"
"Impact on MTTD & MTTR Metrics","Not applicable — the study evaluates factual question-answering quality (CPS/T-CPS) in an agriculture domain; no MTTD, MTTR, alert fatigue, or incident resolution metrics are reported (entire paper; Sec. 3.3, pp. 9-13)"
"General Impact on Agentic AI / Multi-Agent Systems","All 28 multi-agent configurations degraded versus single-agent RAG baselines, from -4.39% (Mistral-Opt Hierarchical) to -35.31% (Granite Collaborative), all p < 0.01, effect sizes |d| = 0.28-6.09; Collaborative was worst across all models (-20.68% to -35.31%); shared context retrieval recovered 4.2-12.5 percentage points but coordination overhead remained the dominant degradation factor; Collaborative consumed 58.2% more tokens (mean 2656 vs. 1658-1717) via 3-4 inference calls per query vs. 1 for baseline; a ""stable mediocrity"" pattern showed consensus reduces variability while converging on lower-quality answers; conclusion: ""single-agent RAG may be preferable for factual question-answering tasks in local deployment scenarios with computational constraints"" (Sec. 4.2-4.8, pp. 15-23; Table 4, pp. 16-17; Table 5, p. 19; Abstract, p. 1)"
"Limitations / Future Work","Limitations: single domain (FAO agriculture QA), only 7-8B parameter models, homogeneous agent architectures (same base model per configuration), AI-generated role prompts (GitHub Copilot with Claude Sonnet), simple consensus without iterative refinement or explicit conflict resolution, heterogeneous hardware precluding cross-model timing comparison; findings should not be generalized to multi-step reasoning or larger scales; future work: role-specific prompting, advanced consensus (structured argumentation, learned aggregation, weighted voting), adaptive strategy selection, joint retrieval-coordination tuning, 70B+ models, heterogeneous agent teams (Sec. 5.3, pp. 26; Sec. 6, p. 27)"
"Relevance to My Thesis","This paper is a cautionary counterweight for the thesis's agentic incident-response copilot design: it empirically shows that naively adding multi-agent coordination to a working RAG pipeline can degrade output quality by 4-35% while multiplying token cost and latency (3-4 inference calls per query), which would directly inflate MTTR-relevant response times rather than reduce them. Its taxonomy of coordination strategies (collaborative, sequential, competitive, hierarchical) and the finding that selection-based strategies beat consensus-based synthesis inform which orchestration model an AIOps copilot should adopt. The CPS/T-CPS composite evaluation with a stability (consistency) term offers a transferable pattern for evaluating copilot answer quality and reliability in production incident scenarios. However, it contains no incident-management context or MTTD/MTTR measurements, so it supports architectural and evaluation-design decisions rather than the thesis's core metrics."
"Relevance Score","Medium — it rigorously quantifies efficacy, overhead, and failure modes of multi-agent LLM coordination (a priority theme for copilot architecture choices) but addresses agricultural question-answering with no incident-response or MTTD/MTTR measurement."
"Paper ID","P38"
