"Campo","Extração"
"Título","Toward Robust Security Orchestration and Automated Response in Security Operations Centers with a Hyper-Automation Approach Using Agentic Artificial Intelligence"
"Autores","Ismail; Rahmat Kurnia; Zilmas Arjuna Brata; Ghitha Afina Nelistiani; Shinwook Heo; Hyeongon Kim; Howon Kim"
"Ano e Veículo","2025; Information (MDPI), vol. 16, artigo 365"
"Problema Central Abordado","Plataformas SOAR tradicionais no-code/low-code em SOCs sofrem de flexibilidade restrita, desafios de escalabilidade, suporte inadequado a lógica avançada e dificuldade em gerenciar playbooks grandes, o que prejudica a automação efetiva, reduz a adaptabilidade e subutiliza a expertise técnica dos analistas, enquanto as equipes de SOC são sobrecarregadas pelo volume e complexidade crescentes de alertas (Abstract, p. 1; Sec. 1, p. 1)."
"Solução Proposta / Papel da Agentic AI","Plataforma SOAR de hyper-automation movida por agentic-LLM que substitui playbooks no-code rígidos por código gerado por AI, mais o framework IVAM (Investigation, Validation, Active Monitoring) integrando MITRE ATT&CK, NIST CSF e Quantitative Risk Assessment (QRA); arquitetura multiagente em três camadas: (i) planejamento/gestão de dados com Vector DB para recuperação por similaridade de incidentes, (ii) orquestração de modelos com um Agent Router sobre dois LLMs (Llama-3.3-70B-Instruct para políticas de segurança amplas e DeepSeek-R1-Distill-Llama-70B para análise profunda de domínio), (iii) ferramentas/execução com Technical Step Builder, um human_interrupt_node para revisão/aprovação human-in-the-loop e um WebSocket Agent Client para execução remota de comandos; lógica de fluxo implementada como grafo de transição de estados com nós modulares (router, incident similarity, problem extraction, technical steps, script capture, executor, report) (Sec. 3.1, p. 10; Sec. 3.2, pp. 15-19; Sec. 3.4, pp. 22-24)."
"Metodologia","Implantação piloto de protótipo em ambiente virtualizado controlado tipo SOC (VirtualBox em Ubuntu 22.04.5 LTS, host Intel Core i7 de 13ª geração) integrado ao SIEM Wazuh, usando um proof-of-concept de ataque de brute-force SSH como caso de uso; a mitigação gerada pelo agente (dez ações) foi comparada qualitativamente ao playbook ""Brute-Force Investigation—Generic"" do Cortex XSOAR (38 passos); QRA aplicada incrementalmente por passo de mitigação; MTTR medido em três atividades de remediação; nenhum tamanho de amostra além do caso de uso único é reportado (Sec. 4.1, p. 25; Sec. 4.3, pp. 26-28; Sec. 4.4, p. 28; Sec. 4.6, p. 30)."
"Impacto nas Métricas de MTTD e MTTR","MTTD: Not specified. MTTR (definido aqui como Mean Time to Remediate) medido em três atividades de remediação: análise ""approximately 1 min and 30 s on average"", execução de comando de atualização ""around 1 min"", compilação ""approximately 1 min and 30 s""; a comparação é contra a literatura (estudo referenciado do Microsoft Copilot for Security [83]), NÃO contra baseline próprio: as plataformas referenciadas tiveram média de ""approximately 45 s"" para análise e compilação e ""around 30 s"" para atualizações de comando, ou seja, o sistema proposto foi mais lento, e os autores afirmam que o acesso fechado aos dados das plataformas alternativas impediu análise comparativa direta; adicionalmente, o agente de AI condensou o playbook XSOAR de 38 passos em dez ações-chave; a Sec. 4.1 (p. 25) trata o benchmarking de Mean Time to Respond (MTTR) como trabalho futuro, indicando inconsistência terminológica interna (Sec. 4.6, p. 30; Sec. 4.3, p. 26; Sec. 4.1, p. 25)."
"Impacto Geral em Agentic AI / Sistemas Multiagente","O piloto ""successfully processed real-time security alerts and autonomously executed mitigation workflows without human intervention"", fornecendo evidência empírica da viabilidade operacional de uma arquitetura SOAR autônoma baseada em agentes; condensação do workflow de 38 passos do XSOAR para dez ações com recomendações de ferramentas mais granulares (Fail2Ban, AIDE, auditd, MFA com Google Authenticator); a resolução adaptativa de erros demonstrou um modo de falha: falhas repetidas de autenticação por senha sudo levaram o agente a iterar diagnósticos por 5 passos e emitir um Human Intervention Request (Table 3); a QRA mostrou ""a measurable reduction in security risk at each stage of the response lifecycle""; restrições de autonomia observadas incluem acesso limitado a dispositivos agentless de OT e resposta ativa via WebSocket (Sec. 4.1, p. 25; Sec. 4.3, p. 26; Sec. 4.5, pp. 29-30; Sec. 5, p. 31)."
"Limitações / Trabalhos Futuros","Limitações: risco de misclassification/falsos positivos exigindo validação humana; efetividade depende da qualidade/completude dos dados de treinamento; interpretabilidade e confiança nas recomendações geradas por AI; integração com ferramentas de terceiros; acesso direto limitado a dispositivos agentless como sistemas OT; restrições das respostas ativas via WebSocket; validação ""remains limited in scope"" (caso de uso único de brute-force); acesso restrito/fechado aos dados de remediação de plataformas alternativas limitou a comparação de MTTR. Trabalhos futuros: aprendizado contínuo e validação contra datasets de ataques reais; melhor explicabilidade e validação human-in-the-loop; estratégias de validação mais abrangentes em ambientes diversos; extensão para phishing detection, privilege escalation e mitigação de ransomware; coleta de métricas quantitativas (MTTR, taxa de sucesso da mitigação, redução da intervenção de analistas) com benchmark contra plataformas SOAR convencionais (Sec. 5, p. 31; Sec. 6, p. 31; Sec. 4.6, p. 30; Sec. 4.1, p. 25)."
"Relevância para Minha Dissertação","Altamente relevante: apresenta um pipeline completo de resposta a incidentes com agentic-LLM (orquestração multiagente, recuperação por memória vetorial, aprovação human-in-the-loop) operando como copilot de SOC, alinhado ao espaço arquitetural da dissertação. É um dos poucos estudos primários que reportam valores de MTTR efetivamente medidos para uma abordagem agêntica, e seu resultado — mais lento que a referência da literatura do Microsoft Copilot for Security — é um dado cautelar valioso de que a autonomia agêntica pode ter custo de latência. O framework IVAM e a QRA por passo oferecem uma estrutura reutilizável para validar ações do copilot e quantificar redução de risco durante a resposta. Suas lacunas mapeiam diretamente a oportunidade da dissertação: MTTD não é medido e a comparação de MTTR carece de baseline próprio controlado, motivando um design com medição adequada antes/depois de MTTD-MTTR."
"Pontuação de Relevância","High — mede diretamente MTTR com uma abordagem SOAR multiagente baseada em agentic-LLM em um piloto de resposta a incidentes (embora MTTD não seja medido e a comparação de MTTR seja contra a literatura, não contra baseline próprio)."
"ID do Artigo","P76"
