"Campo","Extração"
"Título","Breaking Alert Fatigue: AI-Assisted SIEM Framework for Effective Incident Response"
"Autores","Tao Ban; Takeshi Takahashi; Samuel Ndichu; Daisuke Inoue"
"Ano e Veículo","2023; Applied Sciences (Appl. Sci.), MDPI, vol. 13, artigo 6610"
"Problema Central Abordado","Soluções SIEM contemporâneas têm dificuldade em identificar incidentes de segurança críticos devido ao número avassalador de alertas falsos gerados por produtos de segurança díspares (IDSs), causando alert fatigue que dessensibiliza os analistas do SOC, atrasa respostas a incidentes e leva a incidentes críticos negligenciados (Abstract, p. 1; Sec. 1, p. 2)"
"Solução Proposta / Papel da Agentic AI","Framework de SIEM de próxima geração integrando capacidades SOAR com estratégia divide-and-conquer que decompõe o alert fatigue em um problema de filtering e um de correlation; quatro módulos (geração de alertas, processamento de features com unificação CEF-para-JSON e one-hot encoding, ML e investigação); filtragem via IWSVM (instance-weighted SVM, cost-sensitive learning combinando pesos de classe e de instância, solver LIBSVM); correlação via algoritmo de segmentação de eventos baseado em entropia que agrupa alertas pela tripla [source IP, destination IP, service port] mais timeout (tau=7200 s, beta=0,58); visualização augmented tile graph (ATG) para acelerar a triagem; human-in-the-loop: pessoal do SOC rotula alertas e especialistas em AI validam os rótulos via visualização; sem componente LLM ou agêntico (Sec. 3, pp. 6-10; Sec. 4, pp. 10-14)"
"Metodologia","Avaliação experimental empírica (protótipo dos componentes-chave) sobre logs de alertas reais de uma rede corporativa classe B com mais de 1000 usuários e 30.000 dispositivos de rede; dois datasets: NSOC2017 (seis IDSs, 1 jan-31 out 2017; 137,77 M de alertas no total segundo a Table 2, citado como 133,77 milhões no texto, 593 escalações; após subsampling, 2239 amostras positivas e 672.000 negativas, razão positiva de 0,333%) e NSOC2022 (dois appliances, 18 jun 2021-30 nov 2022, 7,3 milhões de linhas de log de alertas); five-fold stratified cross validation (SCV) e rolling origin validation (ROV); métricas: accuracy, recall, precision, FPR, TNR, F1, BCR, ARR, GARR; ajuste de parâmetros via 10-fold SCV no MATLAB (Sec. 5, pp. 16-22)"
"Impacto nas Métricas de MTTD e MTTR","MTTD/MTTR não medidos; resultados de alert fatigue: IWSVM obteve a melhor filtragem no NSOC2017 com Recall 99,643%, Precision 99,687%, FPR 0,001%, F1 99,665% (Table 3, p. 20); no NSOC2022 sob ROV, F1 acima de 99,3% em todas as configurações (Table 5, p. 21); no conjunto preliminar de escalações, Alert Reduction Rate (ARR) de 45,850%, 45,010%, 49,400%, 50,490% e 47,470% nas configurações 1-5 (""close to or greater than a 50% ARR value""); combinando filtering e correlation, GARR de 74,070% a 83,980% — ""reduced the alert volume by nearly or greater than 75%"" — com eventos a investigar reduzidos de 1512 até 206 por intervalo (Table 6 e Table 7, Sec. 5.5, p. 22)"
"Impacto Geral em Agentic AI / Sistemas Multiagente","Not applicable — o framework usa ML supervisionado convencional (IWSVM cost-sensitive), heurísticas de clustering/segmentação e visualização, e não AI agêntica ou multiagente; a automação SOAR é baseada em regras/playbooks, e os autores observam que a pesquisa em SOAR ainda está em estágio inicial, exigindo mais trabalho em orquestração e automação de resposta a incidentes (Sec. 2.1.3, p. 4; Sec. 3, p. 6)"
"Limitações / Trabalhos Futuros","Escopo limitado à eliminação de alertas redundantes/irrelevantes; resultados enviesados pelo conjunto de escalações, política de segurança e condição dos analistas do SOC específico (incluindo alert fatigue durante a rotulagem); eliminar todos os false positives arrisca aumentar false negatives (recomendam limiar de recall, p.ex. 99%); ameaças emergentes e ataques adversariais podem causar false negatives; o desempenho de detecção degrada conforme cresce o intervalo entre treino e teste, exigindo atualização regular do modelo; trabalhos futuros: estudo piloto com parceiros da indústria em um SOC real, avaliação de escalabilidade e datasets maiores cobrindo mais tipos de ataque e ambientes de rede (Sec. 6, pp. 22-24)"
"Relevância para Minha Dissertação","O artigo quantifica o problema de alert fatigue que infla MTTD/MTTR em SOCs e demonstra que filtering + correlation assistidos por AI podem remover com segurança cerca de 75-84% do volume de alertas antes da triagem humana, um baseline concreto do que o AIOps pré-LLM e não agêntico alcança. Sua decomposição divide-and-conquer (filtering vs. correlation) e suas métricas (ARR, GARR, limiares recall-first) são diretamente reutilizáveis para avaliar o estágio de triagem de um copiloto de Agentic AI. Os pontos de human-in-the-loop na rotulagem e de integração SOAR mapeiam onde um copiloto agêntico poderia substituir playbooks estáticos. Como caso de contraste não agêntico, ajuda a posicionar a lacuna da dissertação: alta acurácia de filtragem é alcançável, mas investigação e resposta permanecem manuais — exatamente onde um copiloto de Agentic AI mira MTTD/MTTR."
"Pontuação de Relevância","Medium — aborda diretamente alert fatigue e eficiência de triagem no SOC com AI (tema adjacente de AIOps), mas não possui componente agêntico/LLM e não mede MTTD nem MTTR."
"ID do Artigo","P73"
