"Campo","Extração"
"Título","Surveying Root Cause Analysis Techniques: A Comprehensive Review of Aspects for Multi-Service Applications"
"Autores","Zhijing Li; Jianbo Yu; Zhijun Huang; Yusheng Huang"
"Ano e Veículo","2026 (aceito em 8 de novembro de 2025; publicado em 13 de novembro de 2025); IEEE Transactions on Services Computing (TSC), Vol. 19, No. 1, January/February 2026"
"Problema Central Abordado","As técnicas de Root Cause Analysis (RCA) permanecem ""highly fragmented, often developed for isolated domains and lacking integration across multi-service environments""; as interdependências complexas entre componentes de monitoramento em sistemas distribuídos, de microsserviços e baseados em nuvem tornam a identificação da causa raiz de falhas uma tarefa de operação e manutenção crucial, porém difícil (Sec. I, p. 808-809)"
"Solução Proposta / Papel da Agentic AI","Não é um sistema proposto, mas um survey: organiza os métodos de RCA ao longo de dois eixos ortogonais - cenários de aplicação (serviços em nuvem, microsserviços, sistemas industriais) e tipos de dados de entrada (logs, traces, métricas, relatórios) - e sintetiza famílias algorítmicas, abordagens híbridas/LLM, datasets, ferramentas e métricas de avaliação (Abstract; Sec. I, p. 808-809); quanto à agentic AI, revisa RCA baseada em LLM: GPT-3.x com fine-tuning inferindo causas raízes e correções a partir de mais de 40K resumos de incidentes da Microsoft [64], um agente LLM baseado em ReAct recuperando logs, métricas e tickets de incidentes para RCA out-of-distribution [65], e o benchmark OpenRCA para agentes LLM [66] (Sec. VII, p. 815)"
"Metodologia","Revisão sistemática da literatura seguindo as diretrizes de Kitchenham et al.; busca estruturada por palavras-chave em cinco bases de dados (Google Scholar, IEEE Xplore, ACM Digital Library, DBLP, Scopus); 96 consultas de combinação palavra-chave-veículo por meio de um crawler automatizado; estudos publicados entre 2017-2025; 845 artigos coletados, 97 estudos revisados por pares selecionados após critérios de inclusão/exclusão; análise baseada em grafos usada para mapear conexões de pesquisa (Sec. II, p. 809-810)"
"Impacto nas Métricas de MTTD e MTTR","Não especificado como valores de MTTD/MTTR; apenas uma afirmação qualitativa de que a análise de logs ""can be found quickly, leading to a faster time to identify and fix problems"" (Sec. III.B, p. 811); as métricas de avaliação revisadas pelo survey são Accuracy, Precision, Recall, F1-Score, Top@N (e.g., AC@k, PR@k, HR@k), MRR, runtime, FP/FN e métricas de clustering - não métricas de tempo de detecção/recuperação (Sec. X, p. 820-822)"
"Impacto Geral em Agentic AI / Sistemas Multiagente","Relata resultados de terceiros: LLMs com fine-tuning ""surpass encoder-decoder baselines in generating effective explanations and mitigation plans"" em mais de 40K incidentes da Microsoft [64]; um agente LLM baseado em ReAct iguala baselines fortes com maior acurácia factual, enquanto comentários post-mortem não oferecem benefício adicional [65]; no benchmark OpenRCA (335 falhas, 68 GB de telemetria) ""even the best LLM agent solves only 11.3% of cases"" [66]; métodos baseados em LLM são ""constrained by limited context, susceptibility to hallucinations, and low real-world success rates"" (Sec. VII, p. 815; Sec. XII, p. 822)"
"Limitações / Trabalhos Futuros","Os autores reconhecem que sua busca de 96 combinações palavra-chave+veículo ""may have excluded valuable work from other venues"" e defendem a inclusão de literatura cinzenta (Sec. XIII, p. 823); questões em aberto: limitações algorítmicas (métodos de correlação/heurísticos falham em capturar a causalidade verdadeira; falta de interpretabilidade), escassez de datasets de RCA de larga escala, realistas e multimodais, e fraca generalização entre domínios; trabalhos futuros: melhor compreensão contextual dos LLMs e redução de alucinações, fusão de telemetria multimodal (logs, traces, métricas, topologia) e ferramentas de RCA explicáveis em tempo real com raciocínio causal e inferência em streaming (Sec. XII, p. 822-823)"
"Relevância para Minha Dissertação","Este survey mapeia o panorama de RCA no qual um copiloto de resposta a incidentes com Agentic AI deve operar, organizando as técnicas por entrada de telemetria (logs, traces, métricas, relatórios) e cenário (nuvem, microsserviços) - correspondendo diretamente aos dados de observabilidade que um copiloto consumiria para reduzir MTTD/MTTR. Sua Seção VII sobre RCA híbrida e baseada em LLM, especialmente o estudo do agente ReAct e a constatação do OpenRCA de que o melhor agente LLM resolve apenas 11.3% dos casos, fornece evidência de baseline sóbria para as alegações de viabilidade da minha dissertação. Seu inventário consolidado de datasets públicos/industriais (e.g., TrainTicket, Sock Shop, HDFS) e métricas de avaliação (Top@N, MRR) é diretamente reutilizável para o desenho da minha avaliação experimental. Contudo, não oferece medições de MTTD/MTTR, servindo, portanto, como evidência de contexto e de lacuna, e não como baseline de métricas."
"Pontuação de Relevância","Média - é um survey adjacente de AIOps/RCA que cobre abordagens de agentes LLM e dados de observabilidade altamente relevantes para um copiloto de resposta a incidentes, mas não mede MTTD/MTTR com uma abordagem agêntica."
"ID do Artigo","P26"
