Field,Extraction
"Title","A Survey of AIOps in the Era of Large Language Models"
"Authors","Lingzhe Zhang; Tong Jia; Mengxi Jia; Yifan Wu; Aiwei Liu; Yong Yang; Zhonghai Wu; Xuming Hu; Philip S. Yu; Ying Li"
"Year & Venue","⚠ Ambiguous: 2025; typeset as Journal of the ACM (J. ACM), Vol. 37, No. 4, Article 111, August 2025, but the DOI is a placeholder and the copy is the arXiv preprint arXiv:2507.12472 [cs.SE]"
"Core Problem Addressed","A comprehensive understanding of the impact, potential, and limitations of LLMs in AIOps ""remains in its infancy""; traditional ML/DL AIOps suffers from complex feature engineering, lack of cross-platform generality, lack of cross-task flexibility, limited adaptability, and restricted automation levels for runtime failure management in large-scale distributed systems (Abstract, p. 1; Sec. 1.1, pp. 2-3)"
"Proposed Solution / Agentic AI Role","Not a system but a survey organized around 4 RQs: RQ1 data sources (system-generated metrics/logs/traces plus new human-generated software information, source code, QA, incident reports); RQ2 evolved task pipeline (Failure Perception -> Root Cause Analysis -> Assisted Remediation, with new LLM-era tasks such as root cause report generation, script generation, automatic execution); RQ3 five method families (foundation model, fine-tuning, embedding-based, prompt-based, knowledge-based incl. RAG and Tool-Augmented Generation); RQ4 evaluation. Agentic AI appears via tool-augmented LLM agents, e.g., RCAgent, RCACopilot, a GPT-based agent using 150 tools to manage Linux servers, LLexus, and AIOpsLab's agent-cloud interface; a 5-level automation taxonomy (Assisted Questioning -> Mitigation Solution Generation -> Command Recommendation -> Script Generation -> Automatic Execution) frames human-in-the-loop vs. autonomous remediation (Sec. 1.3, p. 4; Sec. 3-4, pp. 6-15; Sec. 5.5, pp. 20-21)"
"Methodology","Systematic literature review with a defined protocol (search strategy, inclusion criteria IC1-IC4, exclusion criteria EC1-EC5) over 5 databases (Scopus, Web of Science, IEEE Xplore, ACM DL, arXiv), papers after 2020: 761 retrieved, 614 after deduplication, 395 full-text reviews, 163 studies meeting inclusion criteria; ⚠ Ambiguous: the abstract states ""183 research papers published between January 2020 and December 2024"" while Sec. 2.3/Fig. 4 report 163 selected studies; automation levels additionally refined via interviews with on-call engineers from partner companies (Abstract, p. 1; Sec. 2, pp. 5-6; Sec. 4.3, pp. 14-15)"
"Impact on MTTD & MTTR Metrics","Not specified — no quantitative MTTD/MTTR/alert-fatigue values are reported; only qualitative claims, e.g., Automatic Execution ""significantly speeding up resolution time and reducing the workload on operations personnel"" and Command Recommendation ""shortening the repair time""; surveyed evaluation metrics are classification, generation, execution-success, and manual metrics, none time-to-detect/recover (Sec. 4.3, p. 15; Sec. 6.1, pp. 21-23)"
"General Impact on Agentic AI / Multi-Agent Systems","Tool-Augmented Generation lets LLMs query monitoring systems, execute diagnostic scripts, and automate workflows (RCAgent, RCACopilot, LLexus, AIOpsLab, a GPT-4 agent ""competently using 150 distinct tools across nine categories""); however, for the highest automation level (Automatic Execution) ""related work is limited, and its practical effectiveness remains to be verified""; LLM computational overhead is critical for continuous failure perception (e.g., inference must complete within 1 second for a 10-second detection window) and no LLM-based work has adequately addressed it (Sec. 4.3, p. 15; Sec. 5.5, pp. 20-21; Sec. 7.1, pp. 24-25)"
"Limitations / Future Work","Four open challenges: (1) time-efficiency and cost-effectiveness of LLM-based AIOps (inference cost may make small models + OCEs preferable); (2) deeper use of diverse failure data — ""no current work has effectively incorporated traces data"" and incident-report-driven RCA ""disrupts the automation flow of AIOps""; (3) generalizability and model adaptability under software evolution lack empirical validation; (4) integration with existing AIOps toolchains and smaller models rather than building entirely new methods (Sec. 7, pp. 24-26)"
"Relevance to My Thesis","This survey is a foundational map for the thesis: its Failure Perception -> Root Cause Analysis -> Assisted Remediation pipeline aligns directly with the MTTD (detection) and MTTR (diagnosis + remediation) phases of incident response. The five-level automation taxonomy gives a ready framework for positioning an Agentic AI copilot on the human-in-the-loop spectrum, and its catalog of agentic systems (RCACopilot, RCAgent, AIOpsLab, LLexus) identifies concrete baselines and benchmarks. Critically, it shows that surveyed evaluations use classification/generation/execution metrics rather than MTTD/MTTR, exposing exactly the measurement gap the thesis targets. Its challenges on inference latency, cost, and toolchain integration also inform the copilot's design constraints."
"Relevance Score","Medium — a comprehensive LLM4AIOps survey covering the full incident lifecycle and agentic tool-augmented approaches, but it does not itself measure MTTD/MTTR"
"Paper ID","P05"
