"Field","Extraction"
"Title","AgentAI: A comprehensive survey on autonomous agents in distributed AI for industry 4.0"
"Authors","Francesco Piccialli; Diletta Chiaro; Sundas Sarwar; Donato Cerciello; Pian Qi; Valeria Mele"
"Year & Venue","2025; Expert Systems With Applications (ESWA), Elsevier, vol. 291, article 128404 (Review article)"
"Core Problem Addressed","Existing surveys on AgentAI examine it only in ""fragmented or application-specific contexts, with limited focus on agent autonomy and architectural frameworks"", lacking a comprehensive cross-sectoral perspective; the paper fills this gap with a multi-domain taxonomy analyzing both non-autonomous and fully autonomous AgentAI systems in Industry 4.0 (Sec. 1.2, p. 2; Abstract, p. 1)"
"Proposed Solution / Agentic AI Role","Survey (no new system): synthesizes AgentAI architecture as perception, cognition, and action modules (Sec. 3.1, p. 4); core techniques RL/DRL/MARL (QMIX, G2ANet), transformers, and LLMs (GPT-3/4, Llama, Gemini, DeepSeek) plus alternative paradigms (symbolic reasoning, graph-based policies, behaviour trees, probabilistic/Bayesian agents) (Sec. 3.2, pp. 4-6); an AgentAI lifecycle (creation, deployment, migration, integration, shutdown) with human-in-the-loop supervision and interruptibility in high-risk domains (Sec. 3.3, pp. 6-7); and a taxonomy of 66 works across nine Industry 4.0 domains: Transportation, Energy, Healthcare, Networking, Defence, Gaming, Governance, Marketing, E-Learning (Sec. 5, p. 8)"
"Methodology","SLR following PRISMA guidelines; search of Scopus, Web of Science, IEEE Xplore, and ScienceDirect with query TITLE-ABS-KEY (""AgentAI"" OR ""AgenticAI"" OR ""Agentic AI""); 255 initial articles (130 Scopus, 64 WoS, 25 ScienceDirect, 36 IEEE Xplore) reduced to 144 after removing non-English and duplicates, then to a final set of 66 experimental articles (reviews/surveys excluded, past decade only); screening artifacts shared via a public GitHub repository (Sec. 2, p. 3)"
"Impact on MTTD & MTTR Metrics","Not applicable — no MTTD, MTTR, alert-fatigue, or incident-resolution metrics are reported in this survey; qualitatively, anomaly detection in robots is said to reduce ""waste and downtime"" (Sec. 4, p. 8), LLM-based multi-agent smart-city systems shorten ""decision-making cycles from days to hours"" (Sec. 5.1, p. 9), and Industry 6.0 agents are envisioned to monitor system health and execute recovery actions in self-healing ecosystems (Sec. 6.3, p. 15)"
"General Impact on Agentic AI / Multi-Agent Systems","Reports surveyed results: MARL (QMIX, G2ANet) in wastewater treatment achieved ""up to a 25 % reduction in aeration energy consumption and a 7 % improvement in effluent quality"" (Sec. 5.2, p. 9); LLM-based multi-agent urban systems improve query routing accuracy (94 %-99 %) (Sec. 5.1, p. 9); fine-tuning lets agents execute tasks more efficiently, optimizing computational costs and reducing latency (Sec. 3, p. 4); documented multi-agent failure modes include coordination failures, adversarial conduct, and input spoofing (Sec. 5.7, p. 12); human-in-the-loop control remains essential in high-risk domains for output verification, ethical alignment, and exception handling (Sec. 3.3, p. 6)"
"Limitations / Future Work","Challenges: agents struggle with evolving goals, changing contexts, and high-modality observations; multi-agent frameworks rest on idealized communication assumptions that break down under latency, noise, and incomplete data; scalability, data scarcity, fragmented data silos, limited interoperability, and poor generalizability of simulation-trained models; tension between autonomy and human oversight (Sec. 6.1-6.2, p. 14). Future work: real-time adaptability, context-aware reasoning, privacy-preserving mechanisms, human-centric Industry 5.0 collaboration, and an Industry 6.0 blueprint of decentralized multi-agent coordination, intention inference, and self-managing, self-healing infrastructure (Sec. 6.2-6.3, pp. 14-15)"
"Relevance to My Thesis","This survey supplies conceptual scaffolding for the thesis rather than incident-response evidence. Its perception-cognition-action component model, comparison of agent paradigms, and lifecycle stages (including human-in-the-loop supervision and interruptibility) can ground the architectural framing of an Agentic AI copilot for incident response. The Industry 6.0 vision of agents that monitor system health, execute recovery actions, and rebalance workloads without centralized oversight directly parallels self-healing AIOps goals behind MTTD/MTTR reduction. Its catalogued multi-agent failure modes (coordination failures, input spoofing) and challenges (latency, noisy data, oversight balance) inform threat and limitation sections. However, it offers no incident-management metrics or IT-operations case studies, so it serves as background/taxonomy support only."
"Relevance Score","Medium — a comprehensive Agentic AI / multi-agent taxonomy, architecture, and human-in-the-loop lifecycle reference directly supporting the thesis' conceptual foundations, but it targets Industry 4.0 domains and reports no MTTD/MTTR or AIOps/incident-response results."
"Paper ID","P24"
