"Field","Extraction"
"Title","Agentic AI: Autonomous Intelligence for Complex Goals—A Comprehensive Survey"
"Authors","Deepak Bhaskar Acharya; Karthigeyan Kuppan; B. Divya"
"Year & Venue","2025; IEEE Access, vol. 13, pp. 18912-18936; DOI 10.1109/ACCESS.2025.3532853"
"Core Problem Addressed","No IT-operations/SRE-specific problem is targeted. The survey addresses the lack of a comprehensive, boundary-setting introduction to Agentic AI — autonomous systems pursuing ""complex goals with minimal human intervention"" — covering foundational concepts, methodologies, applications, and ethical/governance challenges, since traditional rule-based and generative AI fail at open-ended, dynamic, multi-goal tasks (Abstract; Sec. I.A-I.C, pp. 18912-18913)"
"Proposed Solution / Agentic AI Role","Survey (no system proposed). Synthesizes technical foundations: reinforcement learning, goal-oriented architectures, adaptive control (Sec. II.D, p. 18915); architectural approaches: Multi-Agent Systems (MAS), Hierarchical Reinforcement Learning (HRL), goal-oriented modular architectures (Sec. IV.A, p. 18917); agent capabilities: reasoning/planning, tool use and API integration, episodic/semantic memory, RAG, instruction fine-tuning (Sec. IV.C, p. 18917); human oversight via Human-in-the-Loop (HITL) and Human-on-the-Loop (HOTL) plus override protocols (Sec. IX.B, p. 18926); tools: OpenAI Gym, Unity ML-Agents, TensorFlow Agents, PyMARL, Rasa (Sec. IV.E, p. 18918)"
"Methodology","Narrative/comprehensive literature survey with comparative analysis; no systematic (Kitchenham) protocol, search strings, or paper counts reported. Includes qualitative case studies (healthcare monitoring, algorithmic trading, e-commerce customer support, predictive maintenance) (Sec. VI.B, pp. 18922-18923); a set of comparison metrics (Table 8) and benchmark datasets/environments: MIMIC-III, PhysioNet, Yahoo Finance/NASDAQ, CARLA, OpenAI Gym, MultiWOZ, NASA Prognostics Data Repository (Sec. VI.A-VI.C, pp. 18922-18924). No dataset, environment, or sample size of its own (Sec. I.C, p. 18913)"
"Impact on MTTD & MTTR Metrics","Not applicable — no MTTD, MTTR, alert-fatigue, or incident-resolution measurements are reported. Only qualitative adjacent claims: a hospital Agentic AI case study ""improves the time taken to respond to various health issues"" (Sec. VI.B, p. 18922); customer-service agents ""enhancing response time and client satisfaction"" (Sec. V.B, p. 18919); predictive maintenance systems ""have reduced downtime by proactively anticipating equipment failures"" (Sec. VI.D, p. 18924). No baselines or percentages given"
"General Impact on Agentic AI / Multi-Agent Systems","Proposes evaluation metrics for agentic deployments: adaptability, goal achievement efficiency, learning rate/convergence, robustness and resilience, scalability, user satisfaction/human-AI collaboration efficiency (Sec. VI.A, Table 8, p. 18922-18923). Critical evaluation: hybrid classical+agentic models ""often yield superior results""; failure modes include overfitting to historical trends, data heterogeneity, legacy-system integration, and scalability constraints (Sec. VI.D, p. 18924). Multi-agent scaling magnifies goal dependency and resource usage; decentralized control, federated learning, and hierarchical structures are mitigation directions (Sec. VII.C-VII.D, pp. 18924-18925; Sec. X.F, p. 18929). High computation/energy cost of RL-based agents noted (Sec. VII.C, p. 18924)"
"Limitations / Future Work","Authors identify open challenges: goal alignment with human values (IRL/CIRL), environmental/situational adaptability, resource constraints, scalability, accountability, bias/fairness/transparency, privacy/security, and evolving regulation (Sec. VII, pp. 18924-18925; Sec. VIII, pp. 18925-18926). Research roadmap: value alignment, decentralized architectures and federated learning, meta-/transfer-learning for adaptation without retraining, energy-efficient hardware/algorithms, universal ethical and governance frameworks, real-time learning systems (Sec. X.J, p. 18932). No limitations of the survey method itself are stated (Sec. X, pp. 18928-18932)"
"Relevance to My Thesis","This survey supplies the conceptual backbone for the thesis: working definitions of Agentic AI versus traditional/generative AI, and the MAS, HRL, and goal-oriented modular architectures that an incident-response copilot could adopt. Its treatment of HITL/HOTL oversight and override protocols maps directly onto the copilot (human-supervised) design intended to reduce MTTD/MTTR safely. The proposed evaluation metrics (adaptability, goal achievement efficiency, robustness, human-AI collaboration efficiency) can complement MTTD/MTTR as secondary evaluation dimensions. However, it contains no AIOps, observability, or incident-management content and no quantitative operational metrics, so it serves as foundational background rather than direct evidence."
"Relevance Score","Medium — it is a foundational reference on Agentic AI/MAS architectures, HITL oversight, and agentic evaluation metrics (priority themes), but it addresses no incident-response context and reports no MTTD/MTTR data."
"Paper ID","P10"
