"Field","Extraction"
"Title","From LLM Reasoning to Autonomous AI Agents: A Comprehensive Review"
"Authors","Mohamed Amine Ferrag; Norbert Tihanyi; Mérouane Debbah"
"Year & Venue","2026; IEEE Access, vol. 14 (DOI 10.1109/ACCESS.2026.3698694)"
"Core Problem Addressed","The landscape of evaluation benchmarks, AI-agent frameworks, and agent collaboration protocols for LLMs and autonomous AI agents is fragmented and lacks a unified taxonomy or comprehensive survey, despite a growing need for standardized evaluation and integration (Abstract, p. 84237; Sec. I, p. 84238)."
"Proposed Solution / Agentic AI Role","Survey that consolidates the field: side-by-side comparison of benchmarks (2019–2025); taxonomy of approx. 60 LLM/AI-agent benchmarks in 8 categories; review of AI-agent frameworks (2023–2025) integrating LLMs with modular toolkits for autonomous decision-making and multi-step reasoning (LangChain, LlamaIndex, CrewAI, Swarm, OpenAI Agents SDK); applications in healthcare, materials science, software engineering, finance, etc.; agent-to-agent protocols ACP, MCP, and A2A; human-in-the-loop patterns (User Confirmation and Return of Control in Amazon Bedrock Agents) (Sec. I, p. 84238; Sec. IV, pp. 84251–84277)."
"Methodology","Comprehensive literature review (secondary study) with comparative tables and a taxonomy covering approx. 60 benchmarks (2019–2025), AI-agent frameworks and applications (2023–2025), 3 agent protocols, and 3 training datasets; no empirical experiment of its own and no formal SLR protocol (search strings, inclusion/exclusion criteria) is reported (Sec. I, p. 84238; Sec. III, p. 84242; Sec. IV, p. 84251)."
"Impact on MTTD & MTTR Metrics","Not applicable — theoretical survey of LLM/agent benchmarks, frameworks, and protocols; incident response, MTTD, MTTR, and alert fatigue are not addressed, and reported quantitative results concern benchmark performance only (Sec. III, pp. 84242–84250)."
"General Impact on Agentic AI / Multi-Agent Systems","Reports third-party results: Agent-as-a-Judge reaches 90% alignment with human judgments vs. 60–70% for LLM-as-a-Judge, cutting evaluation cost to approx. 2.29% ($30.58 vs. $1,297.50) and time to 118.43 minutes vs. 86.5 hours (Sec. III-H, p. 84246); in MultiAgentBench, cognitive planning gives a 3% improvement in milestone achievement while ""adding more agents can decrease performance"" (Sec. III-U, p. 84249); a study of 5 frameworks across 150 tasks identifies 14 failure modes of multi-agent LLM systems in 3 categories (design/specification shortcomings, inter-agent misalignment, task verification and termination) (Sec. V-B, p. 84278); MCP's decentralized design lacks standardized authentication and robust logging, raising security risks (Sec. V-F, p. 84279)."
"Limitations / Future Work","Open problems listed by the authors: advanced reasoning strategies (Meta-CoT), understanding failure modes in multi-agent LLM systems, automated scientific discovery, dynamic tool integration via reinforcement learning, integrated search via RL, and security vulnerabilities in agent protocols (Sec. V, pp. 84278–84279); remaining challenges include ""automating multi-step reasoning without human oversight, balancing structured guidance with model flexibility, and integrating long-context retrieval at scale"" (Sec. VI, p. 84279); no limitations of the survey method itself are stated (Not specified)."
"Relevance to My Thesis","This survey supplies the conceptual backbone for the agentic layer of the thesis: its taxonomy of AI-agent frameworks (LangChain, CrewAI, Swarm, Agents SDK) and of the ACP/MCP/A2A protocols directly informs architecture and orchestration choices for an Agentic AI Copilot. The catalogued multi-agent failure modes and MCP security vulnerabilities work as a ready-made risk checklist for deploying a copilot in incident response pipelines. The HITL patterns (User Confirmation, Return of Control) map onto approval gates for remediation actions that affect MTTR. Since it contains no incident-management or observability evidence, it supports the design and related-work chapters rather than the MTTD/MTTR evaluation itself."
"Relevance Score","Medium — foundational survey of Agentic AI frameworks, multi-agent failure modes, protocols, and HITL patterns adjacent to the thesis architecture, but it does not address incident response or measure MTTD/MTTR."
"Paper ID","P54"
