"Field","Extraction"
"Title","LLM-Based Multi-Agent Systems for Software Engineering: Literature Review, Vision and the Road Ahead"
"Authors","Junda He; Christoph Treude; David Lo"
"Year & Venue","2025; arXiv preprint (arXiv:2404.04834v4, 18 Jul 2025), formatted as an ACM article with placeholder DOI (10.1145/nnnnnnn); ⚠ Ambiguous: final publication venue not identified in the PDF"
"Core Problem Addressed","Single LLM-based agents are limited because real-world software engineering problems span multiple domains and require expertise from various fields; the paper targets the lack of a systematic mapping of LLM-Based Multi-Agent (LMA) systems across the software development lifecycle and the absence of a structured research agenda for autonomous, scalable, trustworthy LMA systems (Sec. 1, pp. 1-3)"
"Proposed Solution / Agentic AI Role","Defines an LMA system as an orchestration platform plus LLM-based agents: coordination models (cooperative, competitive, hierarchical, mixed), communication mechanisms (centralized, decentralized, hierarchical), and planning styles (CPDE/DPDE) (Sec. 2.3, p. 4); catalogs recurring agent roles for code generation — Orchestrator, Programmer, Reviewer, Tester, Information Retriever — with iterative feedback loops (Sec. 3.2, pp. 6-7); reviews frameworks such as ChatDev, MetaGPT, AgileCoder (Waterfall/Agile process emulation) and human-in-the-loop designs (AISD, MARE) (Sec. 3.5, pp. 9-10; Sec. 5.2.1, p. 17); proposes a two-phase research agenda: enhancing individual agent capabilities and optimizing agent synergy (Sec. 5, pp. 12-22)"
"Methodology","Systematic literature review (Kitchenham-style with inclusion/exclusion criteria): keyword search on DBLP conducted November 14th, 2024, yielding 41 primary studies, plus backward/forward snowballing to transitive closure adding 30 papers, totaling 71 primary studies (Sec. 3, pp. 5-6); complemented by two case studies using ChatDev (agents powered by GPT-3.5-turbo, temperature 0.2) to autonomously develop Snake and Tetris games (Sec. 4, p. 10)"
"Impact on MTTD & MTTR Metrics","Not applicable (literature review and vision paper; no MTTD, MTTR, alert fatigue, or incident resolution time metrics are reported); the closest reviewed works are RCAgent, which ""performs root cause analysis in cloud environments"" by collecting system data, analyzing logs, and diagnosing issues, and AgentFL for three-phase fault localization, but no incident metrics are given (Sec. 3.3, p. 8)"
"General Impact on Agentic AI / Multi-Agent Systems","Case studies: ChatDev produced a fully functional Snake game on the second attempt, averaging 76 seconds and $0.019 per attempt; for Tetris it succeeded only on the tenth attempt, still lacking row-removal functionality, averaging 70 seconds and $0.020 per attempt — showing efficiency and low cost but limits ""in handling more complex tasks that require deeper logical reasoning and abstraction"" (Sec. 4, pp. 11-12); LMA systems are argued superior to Mixture of Experts because agents communicate, integrate external tool feedback (compilers, static analyzers, testing frameworks), and support continuous human-in-the-loop collaboration (Sec. 6.1, p. 22)"
"Limitations / Future Work","Threat to validity: possible inadvertent exclusion of relevant studies during search/selection, mitigated via DBLP coverage and snowballing (Sec. 6.2, p. 22); identified gaps: general-purpose LLMs lack nuanced SE expertise for specialized roles, human-centered prompting frameworks, underexplored human-agent task allocation, benchmarks that ignore collaboration, scaling bottlenecks (communication overload, memory limits, conflicting shared information), static architectures lacking dynamic adaptation, and unresolved privacy/partial-information sharing across organizations (Sec. 5, pp. 13-22); future work: specialized datasets and pre-training for SE roles, advanced prompting strategies, human-agent task allocation, scalable methodologies, and data access control (Sec. 7, p. 23)"
"Relevance to My Thesis","This paper supplies a reusable architectural vocabulary for my agentic-copilot design: the orchestration platform taxonomy (coordination models, communication topologies, CPDE/DPDE planning) and the Orchestrator/Programmer/Reviewer/Tester role pattern map directly onto multi-agent incident-response pipelines for detection, diagnosis, and remediation. Its coverage of RCAgent (cloud root cause analysis) and AgentFL (fault localization) identifies concrete LMA precedents for reducing MTTD/MTTR, even though the review itself reports no incident metrics. The research agenda on human-agent task allocation, human-in-the-loop intervention points, and collaboration-aware evaluation benchmarks informs how I should design and evaluate a copilot that keeps SRE operators in the loop. Finally, its case-study evidence on cost, latency, and failure modes of LMA systems grounds expectations about orchestration overhead in production incident scenarios."
"Relevance Score","Medium — adjacent work: it provides LMA architecture patterns and reviews root-cause-analysis/fault-localization agents relevant to incident response, but it is SE-lifecycle-focused and measures no MTTD/MTTR metrics."
"Paper ID","P04"
