Field,Extraction
"Title","Surveying Root Cause Analysis Techniques: A Comprehensive Review of Aspects for Multi-Service Applications"
"Authors","Zhijing Li; Jianbo Yu; Zhijun Huang; Yusheng Huang"
"Year & Venue","2026 (accepted 8 November 2025; published 13 November 2025); IEEE Transactions on Services Computing (TSC), Vol. 19, No. 1, January/February 2026"
"Core Problem Addressed","Root Cause Analysis (RCA) techniques remain ""highly fragmented, often developed for isolated domains and lacking integration across multi-service environments""; complex interdependencies among monitoring components in distributed, microservice, and cloud-based systems make identifying the root cause of failures a crucial but difficult operation and maintenance task (Sec. I, p. 808-809)"
"Proposed Solution / Agentic AI Role","Not a proposed system but a survey: it organizes RCA methods along two orthogonal axes - application scenarios (cloud services, microservices, industrial systems) and input-data types (logs, traces, metrics, reports) - and synthesizes algorithmic families, hybrid/LLM approaches, datasets, tools, and evaluation metrics (Abstract; Sec. I, p. 808-809); regarding agentic AI, it reviews LLM-based RCA: fine-tuned GPT-3.x inferring root causes and fixes from 40K+ Microsoft incident summaries [64], a ReAct-based LLM agent retrieving logs, metrics, and incident tickets for out-of-distribution RCA [65], and the OpenRCA benchmark for LLM agents [66] (Sec. VII, p. 815)"
"Methodology","Systematic literature review following Kitchenham et al. guidelines; structured keyword search across five databases (Google Scholar, IEEE Xplore, ACM Digital Library, DBLP, Scopus); 96 keyword-venue combination queries via an automated crawler; studies published 2017-2025; 845 papers collected, 97 peer-reviewed studies selected after inclusion/exclusion criteria; graph-based analysis used to map research connections (Sec. II, p. 809-810)"
"Impact on MTTD & MTTR Metrics","Not specified as MTTD/MTTR values; only a qualitative claim that log analysis ""can be found quickly, leading to a faster time to identify and fix problems"" (Sec. III.B, p. 811); the survey's reviewed evaluation metrics are Accuracy, Precision, Recall, F1-Score, Top@N (e.g., AC@k, PR@k, HR@k), MRR, runtime, FP/FN, and clustering metrics - not detection/recovery time metrics (Sec. X, p. 820-822)"
"General Impact on Agentic AI / Multi-Agent Systems","Reports third-party results: fine-tuned LLMs ""surpass encoder-decoder baselines in generating effective explanations and mitigation plans"" on 40K+ Microsoft incidents [64]; a ReAct-based LLM agent matches strong baselines with higher factual accuracy, while post-mortem comments offer no added benefit [65]; on the OpenRCA benchmark (335 failures, 68 GB telemetry) ""even the best LLM agent solves only 11.3% of cases"" [66]; LLM-based methods are ""constrained by limited context, susceptibility to hallucinations, and low real-world success rates"" (Sec. VII, p. 815; Sec. XII, p. 822)"
"Limitations / Future Work","Authors acknowledge their 96 keyword+venue search ""may have excluded valuable work from other venues"" and call for including gray literature (Sec. XIII, p. 823); open issues: algorithmic limitations (correlation/heuristic methods fail to capture true causality; lack of interpretability), scarcity of large-scale, realistic, multi-modal RCA datasets, and poor cross-domain generalization; future work: improved LLM contextual understanding and reduced hallucinations, multimodal telemetry fusion (logs, traces, metrics, topology), and explainable real-time RCA tools with causal reasoning and streaming inference (Sec. XII, p. 822-823)"
"Relevance to My Thesis","This survey maps the RCA landscape that an Agentic AI incident-response copilot must operate in, organizing techniques by telemetry input (logs, traces, metrics, reports) and scenario (cloud, microservices) - directly matching the observability data a copilot would consume to reduce MTTD/MTTR. Its Section VII on hybrid and LLM-based RCA, especially the ReAct agent study and the OpenRCA finding that the best LLM agent solves only 11.3% of cases, provides sobering baseline evidence for the feasibility claims of my thesis. Its consolidated inventory of public/industrial datasets (e.g., TrainTicket, Sock Shop, HDFS) and evaluation metrics (Top@N, MRR) is directly reusable for designing my experimental evaluation. However, it offers no MTTD/MTTR measurements, so it serves as background and gap evidence rather than a metric baseline."
"Relevance Score","Medium - it is an adjacent AIOps/RCA survey covering LLM-agent approaches and observability data highly relevant to an incident-response copilot, but it does not measure MTTD/MTTR with an agentic approach."
"Paper ID","P26"
