"Field","Extraction"
"Title","Transforming Cybersecurity with Agentic AI to Combat Emerging Cyber Threats"
"Authors","Nir Kshetri"
"Year & Venue","⚠ Ambiguous: no publication year printed; SSRN preprint no. 5159598, marked ""This preprint research paper has not been peer reviewed""; reference retrieval dates indicate 2025"
"Core Problem Addressed","How agentic AI can transform cybersecurity practices against emerging threats and what cybersecurity risks its integration introduces (RQ1/RQ2); motivated by SOC workload, adversary breakout times of ""two minutes and seven seconds"", and a global shortage of nearly 4 million cybersecurity professionals (Sec. 1, pp. 2-4)"
"Proposed Solution / Agentic AI Role","Conceptual analysis of agentic AI automating SOC decision-making, threat detection, alert triage, and incident response; describes AI agent modules (Interfaces, Memory, Profile, Planning, Action); surveys vendor solutions — ReliaQuest GreyMatter (multiple agents/models executing tasks simultaneously), CrowdStrike Charlotte AI Detection Triage, Twine digital employee Alex (creates task plans, seeks human approval before executing), Darktrace/ENDPOINT self-learning AI; proposes a Risk Management Framework (threat + vulnerability + potential impact) for agentic AI risks (Sec. 2, pp. 5-7; Sec. 3, pp. 7-11; Sec. 4, Table 2, pp. 11-17)"
"Methodology","Conceptual/narrative review (non-empirical) structured around two research questions, synthesizing industry reports, vendor claims, consultancy surveys, and press sources; no dataset, experiment, prototype, or sample size reported; not peer reviewed (Sec. 1, p. 4; Secs. 2-6 throughout)"
"Impact on MTTD & MTTR Metrics","MTTD/MTTR not named; vendor-claimed (not independently measured) time metrics: ReliaQuest GreyMatter ""processes security alerts 20 times faster"", automates 98% of security alerts, ""reduces threat containment time to under five minutes"", improves detection accuracy by 30%; CrowdStrike Charlotte AI triages detections with over 98% accuracy eliminating more than 40 hours of manual work per week; Darktrace/ENDPOINT ""Reduces triage time by 90%""; Gartner forecast: AI will enhance SOC efficiency by 40% by 2026 vs 2024 (Sec. 1, p. 3; Sec. 3 and Table 1, pp. 8-11)"
"General Impact on Agentic AI / Multi-Agent Systems","Multi-agent systems create new attack vectors (data breaches, prompt injection, data poisoning); a breach in one agent can cascade across the system; ""a bug in the orchestration layer can trigger thousands of actions, causing a denial of service""; overall risk greater than sum of component vulnerabilities; agents consume CPU/memory/network resources and managing hundreds or thousands of agents is complex and time-consuming; multi-agent systems with well-defined roles are easier to secure than single agents; agent security requires rules plus monitoring for the LLM and policy enforcement for actions (Sec. 4, p. 13; Sec. 5, pp. 18-19; Sec. 6, pp. 22-24)"
"Limitations / Future Work","No explicit limitations section; paper flags itself as a non-peer-reviewed preprint; future research proposed: evolution of autonomous AI agents in cybercrime organizations, whether attacker-defender asymmetry shifts with agentic AI, and applying principal-agency theory to how criminals manage AI agents; notes criminal use of autonomous agents is still hindered by unreliability (Sec. 6, Future research, pp. 24-26)"
"Relevance to My Thesis","This paper supplies concrete, vendor-reported figures on how agentic AI shortens detection, triage, and containment times in SOCs (20x faster alert processing, containment under five minutes, 90% triage-time reduction), which map directly onto MTTD/MTTR-style incident metrics even though those terms are not used. Its framing of agentic AI automating alert triage and incident response, with human-in-the-loop approval (Twine Alex), parallels the copilot model in my thesis. The Risk Management Framework and the multi-agent failure modes (cascading breaches, orchestration bugs) inform the risk and governance considerations of deploying an agentic copilot in production incident response. However, all quantitative claims are vendor marketing figures from a cybersecurity (not SRE/AIOps) domain and are not empirically validated, so the paper serves motivation and context rather than evidence."
"Relevance Score","Medium — addresses agentic AI reducing detection/response/containment times in security operations (adjacent to incident response), but is a non-empirical review relying on unvalidated vendor claims and never measures MTTD/MTTR directly."
"Paper ID","P14"
