"Field","Extraction"
"Title","A Research Landscape of Agentic AI and Large Language Models: Applications, Challenges and Future Directions"
"Authors","Sarfraz Brohi; Qurat-ul-ain Mastoi; N. Z. Jhanjhi; Thulasyammal Ramiah Pillai"
"Year & Venue","2025; Algorithms (MDPI journal), vol. 18, article 499; Received 1 July 2025, Published 11 August 2025"
"Core Problem Addressed","A notable lack of peer-reviewed research at the intersection of LLMs and Agentic AI: no existing study brings together the conceptual, technical, and ethical aspects of both in a single coherent analysis, including how LLM challenges (security, privacy, trust, bias, misinformation, energy, value alignment, transparency) propagate into autonomous Agentic AI systems (Sec. 1, p. 4)"
"Proposed Solution / Agentic AI Role","No system is built; the paper proposes a unified forward-looking research landscape. It frames Agentic AI as LLM-powered: the LLM is the reasoning core handling instruction decomposition and dialogue via an orchestrator layer, while specialised agents (e.g., search, filtering, booking) act through an External Services Layer of APIs and tools (Sec. 1, Fig. 3, p. 3). It maps eight Agentic AI challenges to research directions: Trustworthy, Aligned, Explainable, Collaborative, Memory-Aware, Cooperative, Safe, and Accountable Agents (Sec. 5, Table 2, p. 22), plus human-in-the-loop mechanisms and mixed-initiative control for oversight (Sec. 5.4, p. 23)"
"Methodology","Structured scoping review with thematic analysis (not a formal systematic review), four-phase method: search of Google Scholar, Scopus, and arXiv (English, 2020-2025) yielding 327 documents (142 Google Scholar, 110 Scopus, 75 arXiv), screened to 71 papers plus 13 manual sources = 84 final sources; deduplication in Zotero; keyword co-occurrence analysis with VOSviewer 1.6.20 (Sec. 2, pp. 5-8). Complemented by small-scale illustrative demonstrations of bias and cultural inclusivity using GPT-4o and DeepSeek-R1: three rephrased prompts per issue, per model, on three different days, via public web interfaces with default settings (Sec. 4, pp. 12-13)"
"Impact on MTTD & MTTR Metrics","Not applicable (no MTTD/MTTR measurements; landscape review). Qualitative claims only: in cybersecurity, agents can ""rapidly assess the situation, prioritise risks, and execute containment and remediation actions"" minimising operational disruption, and firms such as ReliaQuest and CrowdStrike deploy Agentic AI to automate SOC tasks, enhance accuracy, and accelerate response times (Sec. 3.3, p. 10); in customer service, Agentic AI systems ""cut down response times"" (Sec. 3.6, p. 12)"
"General Impact on Agentic AI / Multi-Agent Systems","Identifies that LLM challenges (security/privacy/trust, misinformation/misuse/bias, energy, value misalignment, explainability) propagate and intensify inside Agentic AI, and adds eight Agentic-specific challenges: security/privacy/trust, goal misalignment, opaque decision-making, limited human oversight, context management, multi-agent coordination, long-term safety, ethical/legal accountability (Secs. 4-5, Tables 1-2, pp. 12, 22). Notes coordination failure modes from incomplete information and governance gaps (Sec. 5.6, p. 24), behavioural drift and error accumulation over time (Sec. 5.7, p. 24), extra energy demands of coordinating multiple agents (Sec. 4.3, p. 17), and reports Med-Flamingo achieving ""up to a 20% improvement in diagnostic accuracy compared to prior models"" (Sec. 3.2, p. 10); bias demos show consistent divergence between ChatGPT and DeepSeek outputs (Sec. 4.2, pp. 14-15)"
"Limitations / Future Work","Authors state the scoping review ""was not based on a formal systematic review framework""; future reviews should adopt protocol-based reviews, meta-analyses and systematic reviews as the literature matures (Sec. 6, p. 25). The GPT-4o/DeepSeek-R1 demonstrations are ""not intended to be rigorous or fully reproducible"" and are illustrative, not formal experiments (Sec. 4, pp. 12-13). Future research roadmap: trustworthy/secure agent architectures (sandboxing, scoped credentials), value alignment via inverse reinforcement learning and human feedback, explainable autonomy, mixed-initiative human oversight, persistent memory architectures, scalable multi-agent coordination protocols, long-term safety benchmarks and runtime monitoring, and accountability protocols with audit trails (Sec. 5, Table 2, pp. 21-25)"
"Relevance to My Thesis","This paper supplies conceptual scaffolding rather than incident-response evidence. Its LLM-as-reasoning-core plus orchestrator plus tool-using-agents architecture (Fig. 3) mirrors the copilot design an MTTD/MTTR-reduction agent would need, and its cybersecurity section documents real SOC deployments (ReliaQuest, CrowdStrike) where Agentic AI accelerates detection and response, directly adjacent to incident management. The eight Agentic AI challenges, especially limited human oversight, opaque decision-making, context management, and multi-agent coordination, enumerate the risks a thesis copilot must mitigate to be trusted in production incident response. Its human-in-the-loop and collaborative-agent research directions can justify the copilot (rather than fully autonomous) framing of my research. However, it provides no AIOps datasets or MTTD/MTTR baselines, so it serves as background and challenge taxonomy, not as empirical support"
"Relevance Score","Medium — an adjacent landscape review of Agentic AI/multi-agent challenges with qualitative SOC response-time claims, but no measurement of MTTD/MTTR or incident-management metrics"
"Paper ID","P03"
