"Campo","Extração"
"Título","From LLM Reasoning to Autonomous AI Agents: A Comprehensive Review"
"Autores","Mohamed Amine Ferrag; Norbert Tihanyi; Mérouane Debbah"
"Ano e Veículo","2026; IEEE Access, vol. 14 (DOI 10.1109/ACCESS.2026.3698694)"
"Problema Central Abordado","O panorama de benchmarks de avaliação, frameworks de AI agents e protocolos de colaboração entre agentes para LLMs e autonomous AI agents está fragmentado e carece de uma taxonomia unificada ou survey abrangente, apesar da crescente necessidade de avaliação padronizada e integração (Abstract, p. 84237; Sec. I, p. 84238)."
"Solução Proposta / Papel da Agentic AI","Survey que consolida a área: comparação lado a lado de benchmarks (2019–2025); taxonomia de aprox. 60 benchmarks de LLM/AI agents em 8 categorias; revisão de frameworks de AI agents (2023–2025) que integram LLMs a toolkits modulares para tomada de decisão autônoma e raciocínio multi-step (LangChain, LlamaIndex, CrewAI, Swarm, OpenAI Agents SDK); aplicações em healthcare, ciência de materiais, engenharia de software, finanças etc.; protocolos agente-a-agente ACP, MCP e A2A; padrões human-in-the-loop (User Confirmation e Return of Control no Amazon Bedrock Agents) (Sec. I, p. 84238; Sec. IV, pp. 84251–84277)."
"Metodologia","Revisão de literatura abrangente (estudo secundário) com tabelas comparativas e taxonomia cobrindo aprox. 60 benchmarks (2019–2025), frameworks e aplicações de AI agents (2023–2025), 3 protocolos de agentes e 3 datasets de treinamento; sem experimento empírico próprio e sem protocolo formal de SLR (strings de busca, critérios de inclusão/exclusão) reportado (Sec. I, p. 84238; Sec. III, p. 84242; Sec. IV, p. 84251)."
"Impacto nas Métricas de MTTD e MTTR","Not applicable — survey teórico sobre benchmarks, frameworks e protocolos de LLM/agents; incident response, MTTD, MTTR e alert fatigue não são abordados, e os resultados quantitativos reportados referem-se apenas a desempenho em benchmarks (Sec. III, pp. 84242–84250)."
"Impacto Geral em Agentic AI / Sistemas Multiagente","Reporta resultados de terceiros: Agent-as-a-Judge atinge 90% de alinhamento com julgamentos humanos vs. 60–70% do LLM-as-a-Judge, reduzindo o custo de avaliação a aprox. 2,29% ($30.58 vs. $1,297.50) e o tempo a 118,43 minutos vs. 86,5 horas (Sec. III-H, p. 84246); no MultiAgentBench, o planejamento cognitivo traz 3% de melhoria no cumprimento de milestones, enquanto ""adding more agents can decrease performance"" (Sec. III-U, p. 84249); estudo de 5 frameworks em 150 tarefas identifica 14 modos de falha de sistemas multiagente com LLMs em 3 categorias (falhas de design/especificação, desalinhamento entre agentes, verificação e término de tarefas) (Sec. V-B, p. 84278); o design descentralizado do MCP carece de autenticação padronizada e logging robusto, elevando riscos de segurança (Sec. V-F, p. 84279)."
"Limitações / Trabalhos Futuros","Problemas em aberto listados pelos autores: estratégias avançadas de raciocínio (Meta-CoT), compreensão dos modos de falha em sistemas multiagente com LLMs, descoberta científica automatizada, integração dinâmica de ferramentas via reinforcement learning, busca integrada via RL e vulnerabilidades de segurança em protocolos de agentes (Sec. V, pp. 84278–84279); desafios remanescentes incluem ""automating multi-step reasoning without human oversight, balancing structured guidance with model flexibility, and integrating long-context retrieval at scale"" (Sec. VI, p. 84279); limitações do método do próprio survey não são declaradas (Not specified)."
"Relevância para Minha Dissertação","Este survey fornece a espinha dorsal conceitual da camada agêntica da dissertação: sua taxonomia de frameworks de AI agents (LangChain, CrewAI, Swarm, Agents SDK) e dos protocolos ACP/MCP/A2A informa diretamente as escolhas de arquitetura e orquestração de um Agentic AI Copilot. O catálogo de modos de falha multiagente e de vulnerabilidades de segurança do MCP funciona como checklist de riscos pronto para implantar um copilot em pipelines de incident response. Os padrões HITL (User Confirmation, Return of Control) mapeiam-se em portões de aprovação para ações de remediação que afetam o MTTR. Como não traz evidências de incident management ou observabilidade, apoia os capítulos de design e trabalhos relacionados, e não a avaliação de MTTD/MTTR em si."
"Pontuação de Relevância","Medium — survey fundacional sobre frameworks de Agentic AI, modos de falha multiagente, protocolos e padrões HITL, adjacente à arquitetura da dissertação, mas que não aborda incident response nem mede MTTD/MTTR."
"ID do Artigo","P54"
