"Field","Extraction"
"Title","AIOps for log anomaly detection in the era of LLMs: A systematic literature review"
"Authors","Miguel De la Cruz Cabello; Tiago Prince Sales; Marcos R. Machado"
"Year & Venue","2025; Intelligent Systems with Applications (Elsevier), vol. 28, art. 200608; received 13 July 2025, available online 19 November 2025"
"Core Problem Addressed","Modern IT systems generate large volumes of log data that challenge timely and effective anomaly detection; traditional methods ""often require intensive feature engineering and struggle to adapt to dynamic operational environments"", limiting scalability, contextual awareness, and adaptability to new anomaly types (Abstract, p. 1; Sec. 1, p. 2)"
"Proposed Solution / Agentic AI Role","SLR synthesizing how AIOps benefits from LLMs for log anomaly detection, showing prompt engineering and RAG boost accuracy and interpretability without extensive fine-tuning; contributes a taxonomy of LLM/RAG-based methods along three dimensions (Model Architecture; Knowledge Augmentation Strategy; Inference Objective) and a CRISP-ML-mapped framework with three stages (project definition; vector-database construction; LLM+RAG anomaly detection with output evaluation); reviewed agentic examples include ChatCNC's three LLM agents (Question Identifier, Data Retriever, Response Generator) and Loevenich et al.'s MARL+LLM+rule-based autonomous cyber defense agents; LLMs positioned ""as an external tool to help IT operators, system administrators, and maintainers"" (Abstract, p. 1; Sec. 4.2-4.4, pp. 12-14; Sec. 5, p. 14)"
"Methodology","Systematic Literature Review: 4 knowledge questions; Scopus as primary database plus arXiv via backward/forward snowballing (Wohlin, 2014); 3 search queries combining AIOps, anomaly/incident detection, LLMs, RAG, military keywords; inclusion/exclusion criteria (conference/journal papers, computer science/engineering, English, published 2021 onwards for initial search, free version available); 33 articles total (23 from Scopus queries); quality assessed via titles/abstracts; data extracted into appendix table; VOSviewer keyword network analysis (Sec. 2, p. 3; Fig. 1-2, pp. 3-4; Sec. 3.3, p. 4)"
"Impact on MTTD & MTTR Metrics","No MTTD/MTTR measurements; MTTD, MTTR, and alert fatigue are not used as evaluation metrics in any reviewed study — dominant metrics are F1-score, precision, recall, AUROC (Sec. 4.2, p. 10; Sec. 5, p. 14; Table A1). Qualitative only: AIOps enables ""more streamlined operations and faster incident resolution"", rapid detection/diagnosis of bottlenecks, and reduced downtime and operational costs (Sec. 4.1, p. 7); reviewed quantitative detection results include LogLLM F1-scores on average 6.6% better than existing methods and RAPID overall F1-score of 0.97 (Sec. 4.2, p. 9); real-time gap noted: with a 10 s failure-perception window the model must infer within 1 s, and ""no LLM-based work has adequately tackled this problem"" (Sec. 4.4, p. 13)"
"General Impact on Agentic AI / Multi-Agent Systems","LLM-based approaches outperform traditional methods on F1-score/precision/recall and improve interpretability; RAG mitigates hallucinations, outdated knowledge, and domain drift by injecting external context, outperforming fine-tuning in Ovadia et al.'s experiments (Sec. 4.2-4.3, pp. 9-10). Trade-offs reported: full-sized LLMs incur higher memory/compute, inference latency, GPU/API costs; RAG adds vector-database and embedding costs plus pipeline complexity (retrieval, prompt engineering, vector DB maintenance), privacy risks with third-party models, and drift/hallucination monitoring needs (Sec. 4.2, p. 10; Sec. 4.3, p. 12). Multi-agent evidence is peripheral: ChatCNC three-agent RAG system evaluated by human raters (1-5 scale) and MARL+LLM blue agents defending simulated NATO-inspired military networks (Sec. 4.3, p. 11; Sec. 4.4, p. 12)"
"Limitations / Future Work","Scopus/arXiv coverage ""not entirely exhaustive"", potentially introducing selection bias (footnote 11, Sec. 2, p. 3); benchmark datasets (HDFS, BGL, Thunderbird, Liberty) are narrow, with post-hoc human labels that can introduce bias, limiting generalizability (Sec. 4.3, pp. 11-12); F1/precision/recall are sensitive to class imbalance and may not reflect domain priorities — future work should add MCC, AUC-PR, and domain-specific cost functions (Sec. 4.2, p. 10); most studies operate offline, limiting timeliness (Sec. 4.4, p. 13); future directions: real-time anomaly detection pipelines, RAG tailored to log datasets (storing log templates in vector databases), and military-domain log analytics where research remains scarce (Sec. 4.4, pp. 13-14)"
"Relevance to My Thesis","This SLR maps the AIOps pipeline (preprocessing, failure perception, root cause analysis, auto-remediation) in which an Agentic AI copilot for incident response would operate, and anomaly detection is the stage that directly conditions MTTD. Its evidence that LLM+RAG approaches outperform traditional detection methods supports the design choice of an LLM-based copilot grounded in operational context via retrieval. Critically, it confirms a gap my thesis targets: none of the 33 reviewed studies evaluates MTTD/MTTR or operator-facing incident metrics, relying instead on F1/precision/recall, and no LLM-based work handles the real-time (sub-second inference) constraint of live incident detection. The cost/latency/hallucination trade-off analysis and the proposed CRISP-ML framework offer reusable design and evaluation considerations for building and validating a copilot prototype."
"Relevance Score","Medium — directly adjacent (AIOps, LLM-based log anomaly detection, RAG for IT operations) but does not measure MTTD/MTTR and covers agentic/multi-agent systems only peripherally."
"Paper ID","P29"
