"Field","Extraction"
"Title","A Comprehensive Survey on LLM-Based Network Management and Operations"
"Authors","Jibum Hong; Nguyen Van Tu; James Won-Ki Hong"
"Year & Venue","2025; International Journal of Network Management (IJNM), Wiley; vol. 35, no. 6, e70029; DOI 10.1002/nem.70029"
"Core Problem Addressed","Growing network scale, traffic demand, and heterogeneity (SDN/NFV, 5G/B5G, MEC) make traditional manual and rule-based network management inadequate: fixed policies, passive/reactive management, and limited scalability hinder performance and reliability; the paper surveys how LLMs can address these gaps versus ML/DL/RL and IBN approaches (Sec. 1, pp. 1-2; Sec. 2.1.1, pp. 3-4)"
"Proposed Solution / Agentic AI Role","Comprehensive survey of LLM-based approaches across five network management tasks: design, configuration, fault management, security, and orchestration (automation/optimization); reviews domain adaptation techniques (fine-tuning/LoRA, prompt engineering/CoT, RAG, feedback-based adaptation including RLHF, human-in-the-loop, self-refinement) (Sec. 2.2.2, pp. 7-8; Sec. 3, pp. 8-12); covers agentic/multi-agent case studies such as CommLLM (GPT-3.5 multiagent framework for 6G), multiagent GPT-4 collective-intelligence power saving, multi-agent LLM slicing management, MAPE-K closed-loop policy generation, and multiagent debate (MAD) (Sec. 4.1.2, p. 16; Sec. 4.5.1, pp. 35-36; Table 9, pp. 39-42); recommends LLMs ""as auxiliary tools augmented with human verification"" rather than replacing human network managers (Sec. 5.1.4, p. 44)"
"Methodology","Literature survey with case-by-case analysis: reviews and compares LLM-based network management studies against rule-based and ML/DL/RL methods, analyzing methods, contributions, limitations, and differences per study; compares itself with 7 existing LLM-based surveys (Table 1, p. 3); no systematic review protocol (e.g., search strings, inclusion criteria, or study count) is reported (Sec. 1, pp. 2-3; Sec. 4, pp. 13-42); Not specified: dataset and sample size for the survey itself"
"Impact on MTTD & MTTR Metrics","MTTD/MTTR are not measured; qualitative claim that LLM-based fault management strengthens resilience by ""minimizing service downtime due to faults"" across monitoring, analysis, detection/prediction, and recovery stages (Sec. 3.3, p. 11); reported metrics from surveyed studies are detection/diagnosis accuracies, not time-to-detect/recover: WirelessLLM 91% anomaly detection accuracy; MSADM 89% fault diagnosis accuracy; LogGPT F1 0.618 (BGL) and 0.694 (Spirit); Ciri up to 45% higher configuration error detection; Kwon et al. 48% Ansible script error correction accuracy (Sec. 4.3, pp. 23-27); intent-assurance study maintained 99.99% availability while improving intent drift detection and correction speed by three times (Sec. 4.5.1, p. 36); alert fatigue Not specified"
"General Impact on Agentic AI / Multi-Agent Systems","Multiagent GPT-4 system achieved ""over 5% power savings"" in wireless networks (Sec. 4.5.2, p. 38); CommLLM multiagent framework noted for unaddressed slow response time needing real-world verification (Sec. 4.1.2, p. 16); reported failure modes: hallucination propagating faulty configurations through closed-loop controllers, semantic inconsistency, unstable coordination among multiple agents, and limited runtime adaptability (Sec. 5.1.2, p. 43; Sec. 4.5.2, p. 38); overhead/cost: 13B-parameter model consumes about 26 GB memory, digital-twin verification adds tens to hundreds of milliseconds per request, and inference latency conflicts with sub-second control loops in carrier-grade networks (Sec. 5.1.1, p. 43; Sec. 5.1.2, p. 43); autonomy currently limited to auxiliary use with human verification (Sec. 5.1.4, p. 44)"
"Limitations / Future Work","Open challenges: real-time processing/performance (inference latency, memory, power), hallucination and output verification, domain-specific adaptation and legacy system (OSS, SDN/NFV) integration, reliability/explainability of LLM-generated rationales, and security/privacy (prompt injection, data leakage, inference attacks) (Sec. 5.1, pp. 42-44); future directions: lightweight/efficient LLMs (pruning, distillation, quantization, LoRA), modular MoE-style domain-specific LLMs, integration with existing rule-based/ML/DRL systems and human-in-the-loop frameworks, distributed edge-cloud inference and offloading, and enhanced reliability/security/privacy (adversarial training, XAI, federated learning, sandbox validation, accountability guidelines) (Sec. 5.2, pp. 44-46); the authors note the survey mostly covers studies evaluated in simulation with limited real-world validation (Sec. 4.3, p. 27; Sec. 4.5.2, p. 38)"
"Relevance to My Thesis","This survey maps the LLM-for-operations landscape adjacent to my thesis: its fault management taxonomy (monitoring, analysis, detection/prediction, recovery) mirrors the incident response pipeline where an Agentic AI copilot would act to reduce MTTD and MTTR. It catalogs concrete copilot-style systems (DIO Copilot, GeNet co-pilot, OCE-Helper incident management, HuntGPT) and multi-agent frameworks, plus the human-in-the-loop positioning that matches my copilot framing. Crucially, it confirms a gap my thesis can exploit: surveyed studies report accuracy/F1 rather than time-based incident metrics, so MTTD/MTTR measurement of agentic approaches is largely absent. Its challenge analysis (hallucination, latency, verification pipelines, digital-twin pretesting) provides design constraints and evaluation criteria for a trustworthy incident-response copilot."
"Relevance Score","Medium - adjacent AIOps/network operations survey covering LLM-based fault management, copilots, and some multi-agent systems, but it does not measure MTTD/MTTR or incident time metrics with an agentic approach"
"Paper ID","P40"
