"Field","Extraction"
"Title","Transitioning from MLOps to LLMOps: Navigating the Unique Challenges of Large Language Models"
"Authors","Pahune, Saurabh; Akhtar, Zahid"
"Year & Venue","2025; Information (MDPI journal), vol. 16, article 87; DOI 10.3390/info16020087"
"Core Problem Addressed","Many ML applications fail to reach production, and traditional MLOps techniques do not fully address the unique operational challenges of LLMs — scalability, security, ethical considerations, and infrastructure requirements; the authors note that ""the industry currently prioritizes MLOps but ignores LLMOps"" and that gaps remain in addressing LLM challenges (Sec. 1, pp. 1-3)."
"Proposed Solution / Agentic AI Role","No agentic system is proposed; the paper is a review that characterizes LLMOps as a specialized subcategory of MLOps, describing an LLMOps architecture pattern based on RAG (user prompt -> embedding model -> vector database -> context augmentation -> LLM output), the 4D lifecycle framework (Discover, Distill, Deploy, Deliver), Human-in-the-Loop (HITL) oversight, and comparative evaluations of platforms such as LangChain, Hugging Face Transformers, DeepSpeed, Vertex AI, and Azure Bot Service with OpenAI (Sec. 3.2, pp. 10-11; Sec. 3.4, pp. 12-13; Sec. 3.6, pp. 15-16)."
"Methodology","Narrative literature review (article typed ""Review""; not a systematic review — no search protocol, dataset, or sample size reported); comparative analysis of MLOps, LLMOps, and DevOps concepts, lifecycles, and platforms via structured comparison tables (Tables 1-6) and six guiding research questions (Sec. 1, pp. 3-4; Secs. 2-5, pp. 4-22)."
"Impact on MTTD & MTTR Metrics","Not applicable — review paper with no incident-response experiments; MTTD/MTTR, alert fatigue, and resolution time are never measured; AIOps is only briefly defined as using AI ""to automate IT operations tasks to improve system performance and optimize workflows (autoscaling, identifying anomalies, etc.)"" (Sec. 1, p. 3)."
"General Impact on Agentic AI / Multi-Agent Systems","No quantitative agentic/multi-agent results; qualitative notes only: LangChain supports ""interactive agent and prompt management"" and agent-based workflows (Table 2, p. 15); LLM-Computer Interaction (LLMCI) combines LLMs with computer vision so models can manipulate UI elements and execute tasks analogous to human interactions (Sec. 3.5, p. 14); GitHub Copilot is cited as an example of LLM-based program assistance (Sec. 3.3, p. 11)."
"Limitations / Future Work","Open issues: computational costs, inaccuracies, error handling, and biases when integrating LLMs into CI/CD pipelines; difficulty capturing/reproducing test scripts across heterogeneous devices and platforms; future work: human feedback loops to improve outputs, mitigating biases and ethical concerns, fine-tuning with domain-specific data, and best practices for incorporating LLMs into CI/CD pipelines (Sec. 6, pp. 22-23); the authors also flag that their own figures omit nuances such as prompt engineering, model drift, and multimodal LLMs (Secs. 2.1, 3.3, pp. 5, 11)."
"Relevance to My Thesis","This review supplies the operational backbone for the thesis: any Agentic AI copilot for incident response is an LLM system in production, and the paper maps the LLMOps practices (deployment, monitoring, HITL, CI/CD, security) such a copilot depends on. Its Figure 1 hierarchy explicitly situates AIOps, MLOps, and LLMOps by specialization, giving vocabulary to position the copilot within AIOps tooling operated under LLMOps. The RAG architecture pattern and the platform comparisons (LangChain, Vertex AI) inform concrete implementation choices for the copilot prototype. However, it offers no incident-management metrics, so it supports the engineering context rather than the MTTD/MTTR evidence base."
"Relevance Score","Medium — adjacent work: it covers LLM operations (LLMOps) and touches AIOps, but proposes no agentic incident-response approach and reports no MTTD/MTTR measurements."
"Paper ID","P74"
