"Campo","Extração"
"Título","AI Agents vs. Agentic AI: A Conceptual taxonomy, applications and challenges"
"Autores","Ranjan Sapkota; Konstantinos I. Roumeliotis; Manoj Karkee"
"Ano e Veículo","2026; Information Fusion (Elsevier), vol. 126, artigo 103599; recebido em 29 de maio de 2025, disponível online em 22 de agosto de 2025"
"Problema Central Abordado","Os surveys existentes confundem AI Agents e Agentic AI sob o amplo guarda-chuva de agentes inteligentes, causando ambiguidade conceitual e projetos de sistemas desalinhados; os desenvolvedores carecem de um framework claro para escolher entre agentes isolados e arquiteturas agênticas colaborativas, arriscando subdimensionar cenários complexos ou superdimensionar cenários simples (Sec. 1, pp. 2-3). Não é um artigo específico de operações de TI, mas a lacuna afeta diretamente benchmarking, protocolos de segurança e estratégia de implantação para sistemas baseados em agentes (Sec. 1, p. 2)."
"Solução Proposta / Papel da Agentic AI","Uma taxonomia conceitual estruturada separando AI Agents (sistemas modulares, de entidade única, guiados por LLM/LIM e aumentados por ferramentas para automação de tarefas restritas) de Agentic AI (ecossistemas multiagente orquestrados com decomposição de objetivos, atribuição dinâmica de papéis, memória persistente episódica/semântica/vetorial e autonomia coordenada) (Sec. 3.0.1-3.1, pp. 7-13). A análise arquitetural cobre módulos de percepção/raciocínio/ação/aprendizado para AI Agents e aprimoramentos para Agentic AI: conjuntos de agentes especializados, raciocínio/planejamento avançado (ReAct, CoT, Tree of Thoughts), memória persistente e camadas de orquestração/meta-agentes, com exemplos de AutoGPT, LangChain, AutoGen, CrewAI, MetaGPT e ChatDev (Sec. 3.1.1-3.1.2, pp. 10-13). Dez soluções direcionadas são propostas, incluindo RAG, raciocínio aumentado por ferramentas (function calling), loops agênticos ReAct, arquiteturas de memória, orquestração multiagente com especialização de papéis, autocrítica reflexiva, pipelines programáticos de prompts, modelagem causal, pipelines de monitoramento/auditoria/explicabilidade e arquiteturas orientadas a governança (Sec. 6.1, pp. 22-24)."
"Metodologia","Revisão de literatura (survey conceitual/taxonômico); uma metodologia híbrida de busca consultando doze plataformas: bases acadêmicas (Google Scholar, IEEE Xplore, ACM Digital Library, Scopus, Web of Science, ScienceDirect, arXiv) e interfaces com IA (ChatGPT, Perplexity.ai, DeepSeek, Hugging Face Search, Grok), usando combinações booleanas de termos como ""AI Agents"", ""Agentic AI"", ""LLM Agents"", ""Tool-augmented LLMs"", ""Multi-Agent AI Systems"" (Sec. 1.1.1, p. 4). Inclusão baseada em novidade, avaliação empírica, contribuição arquitetural e impacto de citações; os autores adotam explicitamente uma estrutura sequencial em camadas ""[r]ather than organizing the study around formal research questions"" (Sec. 1, p. 2; Sec. 1.1, p. 3). Número de artigos incluídos: Não especificado. Nenhum dataset, experimento ou implantação é reportado."
"Impacto nas Métricas de MTTD e MTTR","Não aplicável (revisão conceitual; nenhuma medição ou baseline de MTTD/MTTR é reportada). Alegações qualitativas relevantes para resposta a incidentes: em um exemplo de resposta a incidentes de cibersegurança corporativa, o modelo agêntico ""enhances decision latency, reduces false positives, and supports proactive threat containment"" em comparação com sistemas baseados em regras (Sec. 4.0.2, p. 16); no apoio à decisão em UTI, agentes coordenados são descritos como ""reducing cognitive load, shortening decision times, and minimizing oversight risks"" (Sec. 4.0.2, p. 16); AI Agents de triagem de e-mail ""reduce cognitive overload"" (Sec. 4.0.1, pp. 13-14). A Table 11 lista o Atera AI Copilot para operações de TI, que ""Diagnoses/resolves IT issues, automates ticketing, and learns from evolving infrastructures"" (Table 11, p. 19). Nenhum número quantitativo é fornecido para essas alegações."
"Impacto Geral em Agentic AI / Sistemas Multiagente","Fornece um framework comparativo multidimensional (Tables 1-9) distinguindo Generative AI, AI Agents, Agentic AI e Generative Agents quanto a autonomia, memória, orquestração e coordenação (Sec. 3.0.2, pp. 8-12). Documenta modos de falha de Agentic AI: déficits de causalidade amplificados e cascatas de erros entre agentes, gargalos de comunicação/coordenação, comportamento emergente e instabilidade (loops infinitos de planejamento, deadlocks), complexidade de escalabilidade e depuração, opacidade agravada em confiança/explicabilidade/verificação, superfície de ataque adversarial expandida (ponto único de comprometimento) e lacunas de responsabilização ética/de governança (Sec. 5.0.2, pp. 20-21). Observa também o custo computacional e a latência de AI Agents porque cada ciclo de decisão ""may require several LLM invocations"" (Sec. 5.0.1, p. 17). Nenhuma medição quantitativa de eficácia, overhead ou custo é reportada."
"Limitações / Trabalhos Futuros","Os autores reconhecem limitações de todo o campo: dependência excessiva de LLMs propensos a alucinações e sem raciocínio causal; protocolos de orquestração não padronizados que dificultam interoperabilidade e reprodutibilidade; e que ""many benchmark evaluations for agentic systems rely on artificial environments"" enquanto os frameworks enfatizam ""architectural novelty over rigorous empirical validation"" (Sec. 5.1, p. 22). Implementações reais de Agentic AI em saúde estão ""still lacking due to the nascent nature of the field"" (Sec. 4.0.2, p. 16). Roadmap futuro: inteligência proativa, integração de ferramentas, raciocínio causal, aprendizado contínuo e confiança/segurança para AI Agents; escalonamento multiagente, orquestração unificada, memória persistente, planejamento por simulação, governança ética e sistemas específicos de domínio para Agentic AI, além do paradigma de aprendizado por self-play Absolute Zero (AZR) (Sec. 6.2, pp. 24-25). Nenhuma seção explícita sobre as limitações metodológicas da própria revisão (Não especificado)."
"Relevância para Minha Dissertação","Este artigo fornece o vocabulário conceitual central da dissertação: separa formalmente AI Agents de entidade única da Agentic AI orquestrada, distinção necessária para posicionar um copiloto de resposta a incidentes no espectro de autonomia. Seu caso de uso de resposta a incidentes de cibersegurança (agentes de classificação de ameaças, correlação de logs, conformidade e mitigação sob um orquestrador central com analistas humanos no loop) é um template arquitetural direto para um copiloto de redução de MTTD/MTTR em contextos de SRE/AIOps. O catálogo de modos de falha de Agentic AI (cascatas de erros, gargalos de coordenação, instabilidade emergente) e os dez mecanismos de mitigação (RAG, loops ReAct, orquestração, pipelines de auditoria) podem informar tanto o design quanto a discussão de ameaças à validade do protótipo da dissertação. Entretanto, não oferece métricas de incidentes, servindo como fundamentação taxonômica e arquitetural, e não como evidência empírica de impacto em MTTD/MTTR."
"Pontuação de Relevância","Média; é uma taxonomia fundacional de Agentic AI / multiagente com um exemplo de aplicação em resposta a incidentes, mas é puramente conceitual e não reporta MTTD/MTTR nem outras métricas de incidentes."
"ID do Artigo","P09"
