Field,Extraction
"Title","A Joint Study of the Challenges, Opportunities, and Roadmap of MLOps and AIOps: A Systematic Survey"
"Authors","Josu Diaz-de-Arcaya; Ana I. Torre-Bastida; Gorka Zárate; Raúl Miñón; Aitor Almeida"
"Year & Venue","2023; ACM Computing Surveys (ACM Comput. Surv.), Vol. 56, No. 4, Article 84, October 2023; DOI 10.1145/3625289"
"Core Problem Addressed","Operationalizing data science/AI projects in production is far harder than pure software engineering, and organizations struggle to convert data-science insights into business value; the young MLOps and AIOps paradigms lack a joint, systematic understanding of their open issues, opportunities, frameworks, and application fields, which hinders wider adoption in industry and academia (Sec. 1, pp. 2-3; Sec. 1.2, pp. 3-4)"
"Proposed Solution / Agentic AI Role","No system or agent is proposed; this is a survey that jointly maps MLOps and AIOps around five research questions (challenges, MLOps trends, AIOps trends, frameworks/architectures, application fields) and proposes a comparison framework (Table 1) where AIOps aims to ""reduce human intervention"" and build ""self-learning and self-healing applications"" for IT (Sec. 1.1, Table 1, p. 3; Table 2, p. 4); it surveys AIOps roles in anomaly detection, root cause analysis via logs, proactive incident triage/remediation, KPI degradation inference, and resource management (Sec. 4.3.1, p. 15; Sec. 4.4.1, p. 17; Sec. 4.5, pp. 19-20). No agentic AI, multi-agent, or LLM-copilot architecture is used; LLMs appear only as an emerging concern/opportunity (Sec. 4.1.4, p. 12; Sec. 4.2.2, p. 14)"
"Methodology","Systematic Literature Review following Kitchenham-style guidelines [65] and PRISMA reporting; automated retrieval via a custom Scopus API client (code on GitHub); 600 search strings from topic/action/dimension term combinations plus a dedicated AIOps query; window 2018-2023; 44,903 records identified, 23,508 passed to screening, 21,940 excluded by title and 1,111 by abstract, 452 full papers downloaded, 93 studies included; quality appraisal with 7 weighted metrics scoring 0-10 (Sec. 2, pp. 4-6; Sec. 3.1, pp. 7-8, Fig. 3, Table 5; Table 4, p. 7)"
"Impact on MTTD & MTTR Metrics","Not specified — no MTTD/MTTR/alert-fatigue numbers are reported. Qualitative only: AIOps thrives in proactive and reactive failure management (""prevention, prediction, detection, root cause analysis, remediation"") (Sec. 4.5.1, p. 19); AIOps in ITSM shows ""potential for predicting and resolving IT incidents in the shortest time"" [1] (Sec. 4.5.2, p. 20); log analysis supports incident remediation [76, 86] and data-driven proactive incident triage [76] (Sec. 4.5.2, p. 20; Sec. 4.4.1, p. 17)"
"General Impact on Agentic AI / Multi-Agent Systems","Not applicable — no agentic or multi-agent systems are evaluated. Related findings: prior work observes that in AIOps ""many of the solutions focus on detection and root cause analysis, but automation is still limited"" [25] (Sec. 5, p. 21); AIOps monitoring can free IT professionals for more innovative tasks (Sec. 4.3.1, p. 15); LLM challenges now center on ""the trustworthiness of the results"" (Sec. 4.1.4, p. 12)"
"Limitations / Future Work","Authors acknowledge relevant manuscripts may have been missed by the automated process, and gray literature was excluded (Sec. 3.2, p. 9); geographical skew (~51% Europe, none from South America/Africa) plausibly due to query alignment (Sec. 3.3, p. 9); AIOps manuscripts are scarce/underrepresented, so challenges cannot yet be distinguished from MLOps ones — future AIOps literature should enable this; ""the recent upsurge in LLMs will spread to MLOps and AIOps, and further analysis on this subject will be necessary"" (Sec. 6, p. 22); AIOps use in ML-lifecycle stages such as deployment remains underrepresented (Abstract, p. 1; Sec. 4.4, p. 18)"
"Relevance to My Thesis","This SLR provides the methodological and conceptual backdrop for the thesis: it formalizes AIOps as AI aimed at reducing human intervention in IT operations and maps where AIOps already touches incident response (anomaly detection, root cause analysis, log-based remediation, proactive incident triage, ITSM incident prediction/resolution). Its finding that AIOps automation is still limited and detection/RCA-centric substantiates the gap an agentic copilot for MTTD/MTTR reduction would fill. The explicit call to analyze the LLM upsurge in AIOps directly motivates LLM-based agentic copilots as a next step. Its Kitchenham/PRISMA protocol (automated Scopus search, staged screening, quality metrics) is a reusable template for the thesis SLR, though it offers no incident metrics or agent architectures to reuse."
"Relevance Score","Medium — a foundational AIOps/MLOps survey that frames incident management, observability, and the AIOps-LLM gap, but it measures no MTTD/MTTR and contains no agentic or multi-agent approach."
"Paper ID","P16"
