"Field","Extraction"
"Title","Toward Robust Security Orchestration and Automated Response in Security Operations Centers with a Hyper-Automation Approach Using Agentic Artificial Intelligence"
"Authors","Ismail; Rahmat Kurnia; Zilmas Arjuna Brata; Ghitha Afina Nelistiani; Shinwook Heo; Hyeongon Kim; Howon Kim"
"Year & Venue","2025; Information (MDPI), vol. 16, article 365"
"Core Problem Addressed","Traditional no-code/low-code SOAR platforms in SOCs face restricted flexibility, scalability challenges, inadequate support for advanced logic, and difficulty managing large playbooks, which hinders effective automation, reduces adaptability, and underutilizes analysts' technical expertise while SOC teams are overwhelmed by rising alert volume and complexity (Abstract, p. 1; Sec. 1, p. 1)."
"Proposed Solution / Agentic AI Role","A hyper-automation SOAR platform powered by agentic-LLM that shifts from rigid no-code playbooks to AI-generated code, plus the IVAM framework (Investigation, Validation, Active Monitoring) integrating MITRE ATT&CK, NIST CSF, and Quantitative Risk Assessment (QRA); three-layer multi-agent architecture: (i) planning/data management with a Vector DB for incident similarity retrieval, (ii) model orchestration with an Agent Router over two LLMs (Llama-3.3-70B-Instruct for broad security policy and DeepSeek-R1-Distill-Llama-70B for deep domain-specific analysis), (iii) tooling/execution with a Technical Step Builder, a human_interrupt_node for human-in-the-loop review/approval, and a WebSocket Agent Client for remote command execution; flow logic implemented as a state transition graph of modular nodes (router, incident similarity, problem extraction, technical steps, script capture, executor, report) (Sec. 3.1, p. 10; Sec. 3.2, pp. 15-19; Sec. 3.4, pp. 22-24)."
"Methodology","Prototype pilot deployment in a controlled SOC-like virtualized environment (VirtualBox on Ubuntu 22.04.5 LTS, 13th-gen Intel Core i7 host) integrated with the Wazuh SIEM, using an SSH brute-force attack proof-of-concept as the use case; the agent-generated mitigation (ten actions) was qualitatively compared against the Cortex XSOAR ""Brute-Force Investigation—Generic"" playbook (38 steps); QRA applied incrementally per mitigation step; MTTR measured over three remediation activities; no sample size beyond the single use case reported (Sec. 4.1, p. 25; Sec. 4.3, pp. 26-28; Sec. 4.4, p. 28; Sec. 4.6, p. 30)."
"Impact on MTTD & MTTR Metrics","MTTD: Not specified. MTTR (defined here as Mean Time to Remediate) measured across three remediation activities: analysis ""approximately 1 min and 30 s on average"", update command execution ""around 1 min"", compilation ""approximately 1 min and 30 s""; comparison is against the literature (a referenced Microsoft Copilot for Security study [83]), NOT an own baseline: the referenced platforms averaged ""approximately 45 s"" for analysis and compilation and ""around 30 s"" for command updates, i.e., the proposed system was slower, and the authors state closed access to alternative-platform data prevented direct comparative analysis; additionally, the AI agent condensed the 38-step XSOAR playbook into ten key actions; Sec. 4.1 (p. 25) frames Mean Time to Respond (MTTR) benchmarking as future work, indicating internal terminology inconsistency (Sec. 4.6, p. 30; Sec. 4.3, p. 26; Sec. 4.1, p. 25)."
"General Impact on Agentic AI / Multi-Agent Systems","The pilot ""successfully processed real-time security alerts and autonomously executed mitigation workflows without human intervention"", providing empirical evidence of operational viability of an autonomous agent-based SOAR architecture; workflow condensation from 38 XSOAR steps to ten actions with more granular tool recommendations (Fail2Ban, AIDE, auditd, Google Authenticator MFA); adaptive error resolution demonstrated a failure mode: repeated sudo-password authentication failures led the agent to iterate diagnostics over 5 steps and issue a Human Intervention Request (Table 3); QRA showed ""a measurable reduction in security risk at each stage of the response lifecycle""; noted autonomy constraints include limited access to agentless OT devices and WebSocket-based active response (Sec. 4.1, p. 25; Sec. 4.3, p. 26; Sec. 4.5, pp. 29-30; Sec. 5, p. 31)."
"Limitations / Future Work","Limitations: risk of misclassification/false positives requiring human validation; effectiveness depends on quality/completeness of training data; interpretability and trust of AI-generated recommendations; integration with third-party tools; limited direct access to agentless devices such as OT systems; constraints of WebSocket-based active responses; validation ""remains limited in scope"" (single brute-force use case); restricted/closed access to alternative-platform remediation data limited the MTTR comparison. Future work: continuous learning and validation against real-world attack datasets; improved explainability and human-in-the-loop validation; broader validation strategies across diverse environments; extension to phishing detection, privilege escalation, and ransomware mitigation; collection of quantitative metrics (MTTR, mitigation success rate, reduction in analyst intervention) benchmarked against conventional SOAR platforms (Sec. 5, p. 31; Sec. 6, p. 31; Sec. 4.6, p. 30; Sec. 4.1, p. 25)."
"Relevance to My Thesis","Highly relevant: it presents a full agentic-LLM incident-response pipeline (multi-agent orchestration, vector-memory retrieval, human-in-the-loop approval) that operates as a SOC copilot, matching the thesis architecture space. It is one of the few primary studies reporting concrete measured MTTR values for an agentic approach, and its result — slower than the Microsoft Copilot for Security literature reference — is a valuable cautionary datapoint that agentic autonomy can carry latency costs. The IVAM framework and per-step QRA offer a reusable structure for validating copilot actions and quantifying risk reduction during response. Its gaps map directly onto the thesis opportunity: MTTD is not measured, and the MTTR comparison lacks an own controlled baseline, motivating a design with proper before/after MTTD-MTTR measurement."
"Relevance Score","High — it directly measures MTTR with an agentic-LLM multi-agent SOAR approach in an incident-response pilot (though MTTD is not measured and the MTTR comparison is against literature rather than an own baseline)."
"Paper ID","P76"
